,School,Date,Item,Remarks,
,Buralyang,Post 1939,[14/7357],Administrative file,
,Buralyang,Pre 1939,[5/15174.3],Administrative file,
,Buralyang,17.6.1954-22.9.1965,[1/10280 part],Disposal of site papers,
,Buralyang,1946-1954,[1/6466],Examination book,
,Buramilong,Post 1939,[14/7358],Administrative file,
,Buramilong,Pre 1939,[5/15175.1],Administrative file,
,Burbong,-,[5/18289],Proposed school,
,Burburgate,Pre 1939,[5/15175.2],Administrative file,
,Burcher,Post 1939,[14/7358],Administrative file,
,Burcher,Pre 1939,[5/15175.3],Administrative file,
,Burdett,1956,[1/7722 part],Closed school correspondence,
,Burdett,1897-1951,[1/7728],Closed school correspondence,
,Burdett,Post 1939,[14/7358],Administrative file,
,Burdett,Pre 1939,[5/15175.4],Administrative file,
,Bureen,27.6.1961-23.2.1970,[1/5146],Visitors' book,
,Bureen,1957-1967,[1/5147],Equipment register,
,Bureen,12.9.1961-6.4.1970,[1/5148],Admission register,
,Bureen,Post 1939,[14/7358],Administrative file,
,Bureen,Pre 1939,[5/15175.5],Administrative file,
,Burgaria,Post 1939,[14/7358],Administrative file,
,Burgoon,Pre 1939,[5/15176.1],Administrative file,
,Burgooney,Post 1939,[14/7358],Administrative file,
,Burgooney,Pre 1939,[5/15176.2],Administrative file,
,Burindi,-,[5/18289],Proposed school,
,Burke Ward,Post 1939,[14/7358],Administrative file,
,Burke Ward,1895-1905,[5/15177],Administrative file,
,Burke Ward,1905-1916,[5/15178],Administrative file,
,Burke Ward,1916-1925,[5/15179],Administrative file,
,Burke Ward,1925-1939,[5/15180],Administrative file,
,Burkeville,Pre 1939,[5/15176.3],Administrative file,
,Burkeward (Broken Hill),1940-1958,[1/10463],Observation book,
,Burkeward (Broken Hill),1953-1959,[1/10464],Press cuttings,
,Burkeward (Broken Hill),1969-1971,[1/10465],Miscellaneous correspondence,
,Burkeward (Broken Hill),1922-1935,[1/8601],Observation book,
,Burkeward (Broken Hill),1905-1921,[1/8602],Observation book,
,Burkeward (Broken Hill),1923-1952,[1/8603],Admission register,
,Burkeward (Broken Hill),1948-1964,[1/8604],Admission register,
,Burkeward (Broken Hill),1932-1960,[1/8605],Admission register,
,Burnside,Post 1939,[14/7358],Administrative file,
,Burnside,Pre 1939,[5/15181],Administrative file,
,Burnt Bridge,20.2.1946-29.1.1969,[1/3698],Admission register,
,Burnt Bridge,1.2.1957-4.4.1968,[1/3701],Visitors' book,
,Burnt Bridge,1964-1967,[1/3702],"Contributions, P & C Assoication",
,Burnt Bridge,6.3.1964-14.11.1968,[1/3703],Variation of routine,
,Burnt Bridge,1935-1956,[1/3705],Observation book,
,Burnt Bridge,1965-1968,[1/3706],Observation book,
,Burnt Bridge,1962-1968,[1/3708],Examination book,
,Burnt Bridge,23.10.1905-26.11.1965,[1/3712],Punishment Book,
,Burnt Bridge Aboriginal,Post 1939,[14/7359],Administrative file,
,Burnt Bridge Aboriginal,Pre 1939,[5/15182.1],Administrative file,
,Burnt Flat,Pre 1939,[5/15182.2],Administrative file,
,Burnt Hut Creek,Pre 1939,[5/15182.3],Administrative file,
,Burnt Yards,1951-1952,[1/7729],Correspondence,
,Burnt Yards,Post 1939,[14/7359],Administrative file,
,Burnt Yards,Pre 1939,[5/15182.4],Administrative file,
,Buronga,Post 1939,[14/7359],Administrative file,
,Burra (1) - (2),Pre 1939,[5/15183.1],Administrative file,
,Burra Burra,1868-1871,[5/15183.2],Administrative file,
,Burra Burra Station,-,[5/18289],Proposed school,
,Burra Creek,1949-1951,[1/2762],Examination book,
,Burra Creek,1941-1948,[1/2763],Examination book,
,Burra Creek,1.11.1927-2.11.1951,[1/2764],Visitors' book,
,Burra Creek,2.12.1948-13.8.1951,[1/2765],Observation book,
,Burra Creek,1880-1939,[5/15183.3],Administrative file,
,Burra Lake,Post 1939,[14/7360],Administrative file,
,Burra Lake,Pre 1939,[5/15188.1],Administrative file,
,Burraboi,Post 1939,[14/7359],Administrative file,
,Burradoo,-,[5/18289],Proposed school,
,Burraduc,Pre 1939,[5/15183.4],Administrative file,
,Burraga,Post 1939,[14/7359],Administrative file,
,Burraga,1882-1913,[5/15184],Administrative file,
,Burraga,1913-1939,[5/15185.1],Administrative file,
,Burragan,Pre 1939,[5/15185.2],Administrative file,
,Burragate,Post 1939,[14/7359],Administrative file,
,Burragate,1839-1910,[5/15185.3],Administrative file,
,Burragate,1910-1939,[5/15186.1],Administrative file,
,Burragorang (1),Pre 1939,[5/15186.2],Administrative file,
,Burragorang Central,Post 1939,[14/7359],Administrative file,
,Burragorang Central,Pre 1939,[5/15186.3],Administrative file,
,Burragorang House,Post 1939,[14/7359],Administrative file,
,Burragorang Upper,Post 1939,[14/7360],Administrative file,
,Burragorang Upper,Pre 1939,[5/15187.1],Administrative file,
,Burragowang,Pre 1939,[5/15187.2],Administrative file,
,Burragundra,Pre 1939,[5/15187.3],Administrative file,
,Burrajaa (1) - (2),Pre 1939,[5/15187.4],Administrative file,
,Burrajaa North,Post 1939,[14/7360],Administrative file,
,Burrajaa North,Pre 1939,[5/15187.5],Administrative file,
,Burrandana,1922-1970,[1/5836],Visitors' book,
,Burrandana,1938-1966,[1/5837],Observation book,
,Burrandana (1) - (2),Pre 1939,[5/15188.2],Administrative file,
,Burrandana (2),Post 1939,[14/7360],Administrative file,
,Burraneer Bay,Post 1939,[14/7360],Administrative file,
,Burraneer Bay,Pre 1939,[5/15189.1],Administrative file,
,Burrangong,23.12.1955-23.6.1962,[1/10280 part],General correspondence,
,Burrangong,Pre 1939,[5/15189.2],"Administrative file (2 bundles, A and B)",
,Burrangong (1) - (2),Post 1939,[14/7360],Administrative file,
,Burrangong Heights,Pre 1939,[5/15190.1],Administrative file,
,Burrapine,1921,[SR Plan 61604],Plan,
,Burrapine,1901-1928,[1/9975],Admission register,
,Burrapine,12.8.1925-12.8.1967,[1/9976],Admission register,
,Burrapine,20.9.1944-11.8.1967,[1/9977],Observation book,
,Burrapine,29.10.1901-7.8.1967,[1/9978],Punishment Book,
,Burrapine,21.9.1901-12.12.1967,[1/9979],Visitors' book,
,Burrapine,Pre 1939,[5/15190.2],Administrative file,
,Burrawang,11.3.1909-1970,[1/4322],Punishment Book,
,Burrawang,21.5.1929-24.6.1946,[1/4323],Observation book,
,Burrawang,2.2.1943-23.3.1970,[1/4324],Visitors' book,
,Burrawang,1965,[1/4325],Programme and lesson register,
,Burrawang,1966,[1/4327],Programme and lesson register,
,Burrawang,1966,[1/4328],Programme and lesson register,
,Burrawang,1965,[1/4329],Programme and lesson register,
,Burrawang,3.5.1948-18.3.1968,[1/4330],Observation book,
,Burrawang,17.10.1904-14.9.1942,[NRS 20618],Admission register,
,Burrawang,Post 1939,[14/7360],Administrative file,
,Burrawang,1876-1896,[5/15190.3],Administrative file,
,Burrawang,1896-1939,[5/15191.1],Administrative file,
,Burrawang East,Pre 1939,[5/15191.2],Administrative file,
,Burrawang Station,Pre 1939,[5/15192.1],Administrative file,
,Burrawong,-,[5/18289],Proposed school,
,Burrembooka,Pre 1939,[5/15192.2],Administrative file,
,Burren Burren,Pre 1939,[5/15192.3],Administrative file,
,Burren Junction,Post 1939,[14/7360],Administrative file,
,Burren Junction,Pre 1939,[5/15193],Administrative file,
,Burrendong,Pre 1939,[5/15192.4],Administrative file,
,Burrendulla,Pre 1939,[5/15192.5],Administrative file,
,Burrier,Post 1939,[14/7360],Administrative file,
,Burrier,Pre 1939,[5/15194.1],Administrative file,
,Burrill,1876-1902,[5/15194.2],Administrative file,
,Burrill,1902-1939,[5/15195.1],Administrative file,
,Burrill Lake,Post 1939,[14/7361],Administrative file,
,Burrill Lake,Pre 1939,[5/15195.2],Administrative file,
,Burringbar,Post 1939,[14/7361],Administrative file,
,Burringbar,1890-1908,[5/15195.3],Administrative file,
,Burringbar,1908-1939,[5/15196.1],Administrative file,
,Burringbar Upper,Post 1939,[14/7361],Administrative file,
,Burringbar Upper,Pre 1939,[5/15196.2],Administrative file,
,Burrinjuck,Post 1939,[14/7361],Administrative file,
,Burrinjuck,Pre 1939,[5/15197.1],Administrative file,
,Burrinjuck (Dam) Upper,Post 1939,[14/7361],Administrative file,
,Burrowa,Pre 1939,[5/15197.2],Administrative file,
,Burrowa Flats,Pre 1939,[5/15198.2],Administrative file,
,Burrowa R.C.,Pre 1939,[5/15198.1],Administrative file,
,Burrowa River,-,[5/18289],Proposed school,
,Burroway,Pre 1939,[5/15198.3],Administrative file,
,Burrumbuttock (1),Post 1939,[14/7361],Administrative file,
,Burrumbuttock (1),Pre 1939,[5/15198.4],Administrative file,
,Burrumbuttock (East) (2),Pre 1939,[5/15199.1],Administrative file,
,Burrumbuttock North,Pre 1939,[5/15199.2],Administrative file,
,Burrumbuttock West,Pre 1939,[5/15200.1],Administrative file,
,Burrundulla,Post 1939,[14/7361],Administrative file,
,Burrundulla,Pre 1939,[5/15200.2],Administrative file,
,Burry,Pre 1939,[5/15201.1],Administrative file,
,Burtundy,Pre 1939,[5/15201.2],Administrative file,
,Burwood (1) - (2),Post 1939,[14/7362],Administrative file,
,Burwood (1) - (2),1876-1893,[5/15202],Administrative file,
,Burwood (1) - (2),1893-1902,[5/15203],Administrative file,
,Burwood (1) - (2),1902-1912,[5/15204],Administrative file,
,Burwood (1) - (2),1912-1913,[5/15205],Administrative file,
,Burwood (1) - (2),1914-1915,[5/15206],Administrative file,
,Burwood (1) - (2),1916-1919,[5/15207],Administrative file,
,Burwood (1) - (2),1920-1923,[5/15208],Administrative file,
,Burwood (1) - (2),1924-1926,[5/15209],Administrative file,
,Burwood (1) - (2),1927,[5/15210],Administrative file,
,Burwood (1) - (2),1928-1930,[5/15211],Administrative file,
,Burwood (1) - (2),1930-1935,[5/15212],Administrative file,
,Burwood (1) - (2),1936-1939,[5/15213],Administrative file,
,Burwood C of E,Pre 1939,[5/15216.2],Administrative file,
,Burwood Central Domestic Science,Post 1939,[14/7362],Administrative file,
,Burwood Central Domestic Science,1928-1934,[5/15214],Administrative file,
,Burwood Central Domestic Science,1934-1939,[5/15215],Administrative file,
,Burwood Girls High,Post 1939,[14/7362],Administrative file,
,Burwood North,Pre 1939,[5/15216.1],Administrative file,
,Busby,Post 1939,[14/7362],Administrative file,
,Busby High (James Busby High),Post 1939,[14/7363],Administrative file,
,Busby West,Post 1939,[14/7363],Administrative file,
,Busbys Flat,10.7.1952-11.3.1965,[1/9861],Visitors' book,
,Busbys Flat,24.9.1952-2.9.1964,[1/9862],Observation book,
,Busbys Flat,29.1.1952-8.9.1964,[1/9863],Admission register,
,Busbys Flat,Post 1939,[14/7363],Administrative file,
,Busbys Flat,Pre 1939,[5/15216.3],Administrative file,
,Bushmede,Pre 1939,[5/15216.4],Administrative file,
,Bushy Park,Post 1939,[14/7363],Administrative file,
,Bushy Park,Pre 1939,[5/15216.5],Administrative file,
,Bute (1) - (2),Pre 1939,[5/15216.6],Administrative file,
,Butmaroo,Pre 1939,[5/15217.2],Administrative file,
,Buttai,Post 1939,[14/7364],Administrative file,
,Buttai,Pre 1939,[5/15217.3],Administrative file,
,Butterwah,Pre 1939,[5/15217.1],Administrative file,
,Buttsworth Swamp,Pre 1939,[5/15217.4],Administrative file,
,Buttuba see Rathmines,-,[14/7363],Administrative file,
,Buxton,Post 1939,[14/7364],Administrative file,
,Buxton,Pre 1939,[5/15218],Administrative file,
,Byabarra,Post 1939,[14/7364],Administrative file,
,Byabarra,Pre 1939,[5/15219.1],Administrative file,
,Byabarra,Pre 1939,[5/15219.1],Administrative file,
,Byabarra,1932,[SR Plan 61605],Plan,
,Byamee,6.12.1935-18.7.1955,[1/9375],Observation book,
,Byamee,26.3.1957-9.3.1960,[1/9376],Visitors' book,
,Byamee,24.1.1923-11.2.1960,[1/9377],Admission register,
,Byamee,Pre 1939,[5/15219.3],Administrative file,
,Byangum,Pre 1939,[5/15220.1],Administrative file,
,Bygaldrie,Post 1939,[14/7364],Administrative file,
,Bygalorie,Pre 1939,[5/15220.2],Administrative file,
,Bylong,Pre 1939,[5/15220.3],Administrative file,
,Bylong Tunnel Upper,Post 1939,[14/7364],Administrative file,
,Bylong Tunnel Upper,Pre 1939,[5/15220.4],Administrative file,
,Bylong Upper,Post 1939,[14/7364],Administrative file,
,Bylong Upper,Pre 1939,[5/15220.5],Administrative file,
,Byng,1898-1899,[1/7691],Class roll,
,Byng,1883-1885,[1/7692],Class roll,
,Byng,1882-1935,[1/7693],Visitors' book,
,Byng,1936-1959,[1/7694],Visitors' book,
,Byng,1936-1958,[1/7695],Punishment Book,
,Byng,1898-1925,[1/7696],Punishment Book,
,Byng,1906-1925,[1/7697],Observation book,
,Byng,1935,[1/7698],Observation Book,
,Byng,1936-1958,[1/7699],Admission register,
,Byng,1932-1936,[1/7700],Admission register,
,Byng,1953,[1/7721 part],Correspondence,
,Byng,1959-1961,[1/7730],Correspondence,
,Byng,Post 1939,[14/7364],Administrative file,
,Byng,Pre 1939,[5/15221.1],Administrative file,
,Bynya,Pre 1939,[5/15221.2],Administrative file,
,Byong,Pre 1939,[5/15221.3],Administrative file,
,Byrill Creek,Pre 1939,[5/15221.4],Administrative file,
,Byrnedale,Post 1939,[14/7364],Administrative file,
,Byrnedale,Pre 1939,[5/15222.1],Administrative file,
,Byrock,Post 1939,[14/7364],Administrative file,
,Byrock,1884-1915,[5/15222.2],Administrative file,
,Byrock,1915-1939,[5/15223.1],Administrative file,
,Byron,-,[5/18289],Proposed school,
,Byron Bay,1905-1968,[NRS 20425],Observation Book,
,Byron Bay,1951-1965,[1/6736],Visitors' book,
,Byron Bay,1937-1951,[1/6737],Visitors' book,
,Byron Bay,1916-1954,[1/6738],Punishment Book,
,Byron Bay,1916-1971,[NRS 20424],Admission register,
,Byron Bay,Post 1939,[14/7364],Administrative file,
,Byron Bay,1892-1916,[5/15223.2],Administrative file,
,Byron Bay,1916-1932,[5/15224],Administrative file,
,Byron Bay,1932-1939,[5/15225.1],Administrative file,
,Byron Creek,Pre 1939,[5/15225.2],Administrative file,
,Byrrill Creek,28.8.1923-8.10.1962,[1/9433],Admission register,
,Byrrill Creek,26.10.1938-29.3.1961,[1/9434],Punishment Book,
,Byrrill Creek,29.5.1934-3.9.1960,[1/9435],Observation Book,
,Byrrill Creek,5.11.1923-11.12.1962,[1/9436],Visitors' book,
,Byrrill Creek,Post 1939,[14/7364],Administrative file,
,Bywong,Pre 1939,[5/15225.3],Administrative file,
,Cabbage Tree Island (Aboriginal),Post 1939,[14/7365],Administrative file,
,Cabbage Tree Island (Aboriginal),Pre 1939,[5/15225.4],Administrative file,
,Cables Siding,-,[5/18289],Proposed school,
,Cabramatta,Post 1939,[14/7365],Administrative file,
,Cabramatta,1882-1926,[5/15226],Administrative file,
,Cabramatta,1926-1939,[5/15227.1],Administrative file,
,Cabramatta High,Post 1939,[14/7365],Administrative file,
,Cabramatta R.C.,Pre 1939,[5/15227.2],Administrative file,
,Cabramatta West,Post 1939,[14/7365],Administrative file,
,Caddigat,Pre 1939,[5/15228.1],Administrative file,
,Cadell,Pre 1939,[5/15228.2],Administrative file,
,Cades Creek,-,[5/18289],Proposed school,
,Cadia,1951-1961,[1/7731],Correspondence,
,Cadia,Post 1939,[14/7365],Administrative file,
,Cadia,Pre 1939,[5/15228.3],Administrative file,
,Cadiangallong Creek,-,[5/18289],Proposed school,
,Cadjangarry,-,[5/18289],Proposed school,
,Cadogan,Pre 1939,[5/15229.1],Administrative file,
,Cadonas,-,[5/18289],Proposed school,
,Caergurle,Pre 1939,[5/15229.2],Administrative file,
,Caffils,-,[5/18289],Proposed school,
,Caffreys Flat,2.2.1960-30.1.1963,[1/9340],Admission register,
,Caffreys Flat,6.4.1960-4.8.1961,[1/9341],Punishment Book,
,Caffreys Flat,6.4.1960-6.8.1963,[1/9342],Visitors' book,
,Caffreys Flat,Pre 1939,[5/15229.3],Administrative file,
,Caigan,Pre 1939,[5/15229.4],Administrative file,
,Cainbill Creek,Pre 1939,[5/15229.5],Administrative file,
,Cainsborough,Pre 1939,[5/15230.1],Administrative file,
,Cairn Hill,-,[5/18289],Proposed school,
,Cairnmore,Pre 1939,[5/15230.2],Administrative file,
,Cal Lal (1) - (2),Post 1939,[14/7366],Administrative file,
,Cal Lal (1) - (2),Pre 1939,[5/15232.1],Administrative file,
,Calabash,Pre 1939,[5/15230.3],Administrative file,
,Calala,Post 1939,[14/7365],Administrative file,
,Calala,Pre 1939,[5/15230.4],Administrative file,
,Calamia,Pre 1939,[5/15230.5],Administrative file,
,Calare (1),Post 1939,[14/7366],Administrative file,
,Calare (1),Pre 1939,[5/15230.6],Administrative file,
,Calarie,Post 1939,[14/7366],Administrative file,
,Calarie,Pre 1939,[5/15230.7],Administrative file,
,Caldwell,Post 1939,[14/7366],Administrative file,
,Caldwell,Pre 1939,[5/15231.1],Administrative file,
,Caldwells Farm,-,[5/18289],Proposed school,
,Caledonia,Pre 1939,[5/15231.2],Administrative file,
,Calga,Post 1939,[14/7366],Administrative file,
,Calga,Pre 1939,[5/15231.3],Administrative file,
,Callaghans Creek (1) - (2),Pre 1939,[5/15231.4],Administrative file,
,Calleen,10.1.1958-6.1.1966,[1/10280 part],General correspondence,
,Calleen (Siding),Pre 1939,[5/15232.2],Administrative file,
,Calliope,Post 1939,[14/7366],Administrative file,
,Calliope,1959-1973,[41/2315],"Minute  book, P & C Association (Record at University of New England)",
,Calliope,1973-1979,[41/2316],"Minute  book, P & C Association (Record at University of New England)",
,Calliope,1979-198?,[41/2317],"Minute  book, P & C Association (Record at University of New England)",
,Calliope,Pre 1939,[5/15232.3],Administrative file,
,Caloola (1) - (3),Post 1939,[14/7366],Administrative file,
,Caloola (1) - (3),Pre 1939,[5/15233.1],Administrative file,
,Calorafield,1929-1985,[NRS 20360],Register of Admission,
,Calorafield,1960,[1/6781],Programme and lesson register,
,Calorafield,Post 1939,[14/7366],Administrative file,
,Calorafield,Pre 1939,[5/15233.2],Administrative file,
,Calorafield Public School,1929-1962,[NRS 20377],Visitors Book,
,Calvert,Pre 1939,[5/15233.3],Administrative file,
,Cam Creek,-,[5/18289],Proposed school,
,Cambalong,Pre 1939,[5/15233.4],Administrative file,
,Cambawongla,Pre 1939,[5/15233.5],Administrative file,
,Camberwarra,Post 1939,[14/7366],Administrative file,
,Camberwell,Pre 1939,[5/15234.1],Administrative file,
,Cambewarra,1876-1923,[5/15234.2],Administrative file,
,Cambewarra,1923-1939,[5/15235.1],Administrative file,
,Cambewarra West,Pre 1939,[5/15235.2],Administrative file,
,Camboon,Pre 1939,[5/15235.3],Administrative file,
,Camborah,Pre 1939,[5/15236.1],Administrative file,
,Cambra,23.3.1938-11.3.1964,[1/8947],Visitors' book,
,Cambra,5.4.1954-29.5.1963,[1/8948],Punishment Book,
,Cambra,18.3.1937-28.1.1964,[1/8950],Admission register,
,Cambra,Post 1939,[14/7366],Administrative file,
,Cambridge Gardens,Post 1939,[14/7366],Administrative file,
,Cambridge Park,Post 1939,[14/7367],Administrative file,
,Camden,1940-1955,[14/7367],Administrative file,
,Camden,1960-1967,[14/7368],Administrative file,
,Camden,1876-1911,[5/15236.2],Administrative file,
,Camden,1911-1934,[5/15237],Administrative file,
,Camden,1934-1939,[5/15238.1],Administrative file,
,Camden C of E,Pre 1939,[5/15238.2],Administrative file,
,Camden Haven,Pre 1939,[5/15238.4],Administrative file,
,Camden Haven Upper,Pre 1939,[5/15239.1],Administrative file,
,Camden High,Post 1939,[14/7368],Administrative file,
,Camden Park,Pre 1939,[5/15239.2],Administrative file,
,Camden R C,Pre 1939,[5/15238.3],Administrative file,
,Camden South,Post 1939,[14/7368],Administrative file,
,Camdenville,Post 1939,[14/7368],Administrative file,
,Camdenville,1882-1891,[5/15239.3],Administrative file,
,Camdenville,1891-1903,[5/15240],Administrative file,
,Camdenville,1903-1912,[5/15241],Administrative file,
,Camdenville,1912-1924,[5/15242],Administrative file,
,Camdenville,1924-1932,[5/15243],Administrative file,
,Camdenville,1932-1939,[5/15244],Administrative file,
,Camdenville Boys High Annexe,Pre 1939,[5/15245.1],Administrative file,
,Camerons Creek,Pre 1939,[5/15245.2],Administrative file,
,Camira,Pre 1939,[5/15245.3],Administrative file,
,Camira Creek,12.07.1968-19.09.1969,[1/3920],Observation book,
,Camira Creek,11.02.1929 - 30.09.1969,[1/3921],Visitors’ book,
,Camira Creek,26.09.1949 - 22.09.1962,[1/3922],Observation book,
,Camira Creek,27.02.1929 - 15.11.1947,[1/3923],Observation book,
,Camira Creek,09.02.1969 - 12.06.1969,[1/3925],Day book,
,Camira Creek,02.08.1929 - 11.09.1969,[1/3926],Punishment book,
,Camira Creek,12.11.1928 - 30.01.1968,[1/3927],Admission register,
,Camira Creek (Railway Station),Post 1939,[14/7369],Administrative file,
,Camira Creek (Railway Station),Pre 1939,[5/15245.4],Administrative file,
,Cammeray,Post 1939,[14/7369],Administrative file,
,Cammeray,1926-1932,[5/15246],Administrative file,
,Cammeray,1932-1939,[5/15247],Administrative file,
,Camp Fire,Pre 1939,[5/15256.3],Administrative file,
,Camp Hill,-,[5/18289],Proposed school,
,Camp Plain,Pre 1939,[5/15256.5],Administrative file,
,Campbellfield,Post 1939,[14/7369],Administrative file,
,Campbells Creek,Pre 1939,[5/15248.1],Administrative file,
,Campbells Creek Upper,Pre 1939,[5/15248.2],Administrative file,
,Campbells River (1),Pre 1939,[5/15248.3],Administrative file,
,Campbelltown,Post 1939,[14/7369],Administrative file,
,Campbelltown,1876-1903,[5/15248.4],Administrative file,
,Campbelltown,1903-1939,[5/15249],Administrative file,
,Campbelltown East,Post 1939,[14/7369],Administrative file,
,Campbelltown High,Post 1939,[14/7370],Administrative file,
,Campbelltown North,Post 1939,[14/7371],Administrative file,
,Campbelltown R.C.,Pre 1939,[5/15250.1],Administrative file,
,Campbelltown South,Post 1939,[14/7371],Administrative file,
,Campbelltown South,Pre 1939,[5/15250.2],Administrative file,
,Campbellville,-,[5/18289],Proposed school,
,Camperdown,Post 1939,[14/7371],Administrative file,
,Camperdown,1876-1905,[5/15250.3],Administrative file,
,Camperdown,1876-1888,[5/15251],Administrative file,
,Camperdown,1906-1913,[5/15252],Administrative file,
,Camperdown,1914-1926,[5/15253],Administrative file,
,Camperdown,1926-1931,[5/15254],Administrative file,
,Camperdown,1932-1939,[5/15255],Administrative file,
,Camperdown R.C.,Pre 1939,[5/15256.1],Administrative file,
,Campfield,Pre 1939,[5/15256.2],Administrative file,
,Camphield,Pre 1939,[5/15256.4],Administrative file,
,Campsie,1876-1910,[5/15256.6],Administrative file,
,Campsie (1) - (2),Post 1939,[14/7371],Administrative file,
,Campsie (1) - (2),1910-1916,[5/15257]],Administrative file,
,Campsie (1) - (2),1916-1922,[5/15258],Administrative file,
,Campsie (1) - (2),1922-1928,[5/15259],Administrative file,
,Campsie (1) - (2),1928-1931,[5/15260],Administrative file,
,Campsie (1) - (2),1932-1935,[5/15261],Administrative file,
,Campsie (1) - (2),1935-1939,[5/15262],Administrative file,
,Canadian Lead,Pre 1939,[5/15263.1],Administrative file,
,Canandlas,Pre 1939,[5/15263.2],Administrative file,
,Canangles,Pre 1939,[5/15263.3],Administrative file,
,Canbelego,14.03.1959 - 1969,[1/4068],"Minute book, P & C Assoc.",
,Canbelego,26.06.1942 - 18.04.1969,[1/4069],Observation book,
,Canbelego,28.03.1956 - 18.04.1969,[1/4070],Visitors’ book,
,Canbelego,31.01.1913 - 18.04.1969,[1/4071],Punishment book,
,Canbelego,Post 1939,[14/7371],Administrative file,
,Canbelego,Pre 1939,[5/15264],Administrative file,
,Canberra,Post 1939,[14/7371],Administrative file,
,Canberra,Pre 1939,[5/15265.1],Administrative file,
,Canberra C of E,Pre 1939,[5/15265.2],Administrative file,
,Canberra Community Hospital,Post 1939,[14/7371],Administrative file,
,Canberra High,Post 1939,[14/7372],Administrative file,
,Canberra High,Pre 1939,[5/15265.3],Administrative file,
,Candelo,1878-1939,[5/15266],Administrative file,
,Candelo,1961,[1/4756],Programme & Lesson register,
,Candelo,Post 1939,[14/7372],Administrative file,
,Canford,-,[5/18289],Proposed school,
,Cangai (1),Pre 1939,[5/15267.1],Administrative file,
,Cangai (Copper Mine) (2),Pre 1939,[5/15267.2],Administrative file,
,Cangai (Copper Mine) (2),1911,[SR Plan 61606],Plan of residence. Extracted from the School File [5/15267],
,Cangarinni,-,[5/18289],Proposed school,
,Caniaba,1886-1934,[5/15267.3],Administrative file,
,Caniaba,1934-1939,[5/15268.1],Administrative file,
,Canimbla,1951-1954,[1/7708],Correspondence,
,Canimbla,Post 1939,[14/7372],Administrative file,
,Canimbla,Pre 1939,[5/15268.2],Administrative file,
,Canimbla Creek,Pre 1939,[5/15268.3],Administrative file,
,Canley Heights,Post 1939,[14/7372],Administrative file,
,Canley Heights,Pre 1939,[5/15268.4],Administrative file,
,Canley Vale,1941 - 1966,[1/10666],Observation book (Infants),
,Canley Vale,1955 - 1970,[1/10667],Observation book (Primary),
,Canley Vale,1952 - 1974,[1/10668],Punishment book (Primary),
,Canley Vale,Post 1939,[14/7372],Administrative file,
,Canley Vale,1883-1914,[5/15269],Administrative file,
,Canley Vale,1914-1928,[5/15270],Administrative file,
,Canley Vale,1928-1939,[5/15271],Administrative file,
,Cannon Flat,-,[5/18289],Proposed school,
,Cannonbar,Pre 1939,[5/15272.1],Administrative file,
,Canobolas,Pre 1939,[5/15272.2],Administrative file,
,Canobolas High,Post 1939,[14/7373],Administrative file,
,Canoona,-,[5/18289],Proposed school,
,Canowindra,Post 1939,[14/7373],Administrative file,
,Canowindra,1876-1922,[5/15273.1],Administrative file,
,Canowindra,1923-1933,[5/15274],Administrative file,
,Canowindra,1933-1939,[5/15275],Administrative file,
,Canowindra High,Post 1939,[14/7373],Administrative file,
,Canterbury,Post 1939,[14/7373],Administrative file,
,Canterbury,1877-1903,[5/15276],Administrative file,
,Canterbury,1904-1913,[5/15277],Administrative file,
,Canterbury,1913-1917,[5/15278],Administrative file,
,Canterbury,1918-1921,[5/15279],Administrative file,
,Canterbury,1922-1925,[5/15280],Administrative file,
,Canterbury,1926-1928,[5/15281],Administrative file,
,Canterbury,1929-1931,[5/15282],Administrative file,
,Canterbury,1932-1935,[5/15283],Administrative file,
,Canterbury,1936-1939,[5/15284],Administrative file,
,Canterbury Boys High,Post 1939,[14/7234],Administrative file,
,Canterbury Boys High,1925-1931,[5/15285],Administrative file,
,Canterbury Boys High,1931-1935,[5/15286],Administrative file,
,Canterbury Boys High,1936-1939,[5/15287],Administrative file,
,Canterbury Boys Junior High,Post 1939,[14/7375],Administrative file,
,Canterbury Central Domestic Science,1930-1935,[5/15288],Administrative file,
,Canterbury Central Domestic Science,1935-1939,[5/15289],Administrative file,
,Canterbury Girls High,Post 1939,[14/7375],Administrative file,
,Canterbury Hospital,Post 1939,[14/7375],Administrative file,
,Canterbury South,Pre 1939,[5/15290],Administrative file,
,Canterbury South,Post 1939,[14/7375],Administrative file,
,Canyan Leigh,Pre 1939,[5/15291.1],Administrative file,
,Caoura,Pre 1939,[5/15291.2],Administrative file,
,Caparra,1933 - 1956,[1/8308],Observation book,
,Caparra,1933 - 1957,[1/8309],Admission register,
,Caparra,Post 1939,[14/7375],Administrative file,
,Caparra,Pre 1939,[5/15291.3],Administrative file,
,Cape Byron,-,[5/18289],Proposed school,
,Cape Hawke,Pre 1939,[5/15291.5],Administrative file,
,Capeen,1939 - 1972,[1/8378],Visitors’ book,
,Capeen,1939 - 1972,[1/8379],Admission register,
,Capeen,1953 - 1972,[1/8380],Punishment book,
,Capeen,Post 1939,[14/7375],Administrative file,
,Capeen,Pre 1939,[5/15291.4],Administrative file,
,Capertee,Post 1939,[14/7376],Administrative file,
,Capertee,Pre 1939,[5/15292.1],Administrative file,
,Captains Flat,Post 1939,[14/7376],Administrative file,
