Surname,FirstName,Hotel,Locality,Year,Day/Month,License,Citation,Remarks
BADKIN,Joseph,Queens Arms Inn,"Great South Road, The Cross Roads, District of Berrima",1856,23 April,1049,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Berrima
BAGNELL,John Patrick,Victoria Inn,"the South Head Road, District of Sydney",1848,1 December,0748,NRS 14401 [4/83]; Reel 5062,
BAGWELL,John,"Crimean Hotel, The","Grafton Street, Goulburn",1858,20 April,0655,NRS 14403 [7/1510]; Reel 1240,or BAGWILE
BAILEY,Henry,"Governor Bourke, The","Sussex and Market Streets, Sydney",1858,27 April,0364,NRS 14403 [7/1509]; Reel 1240,
BAILEY,John,"Golden Nugget, The","Honey Creek, District of Stoney Creek",1857,21 April,0322,NRS 14403 [7/1508]; Reel 1239,
BAILEY,John,Golden Nuggett,"Mookerawa to Ophir, Stoney Creek, Gold District of Burrendong, District of Tambaroora",1856,22 April,0446,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Tambaroora
BAILEY,John,"Golden Nugget Inn, The","Stoney Creek, Gold District of Burrendong, District of Tambaroora",1856,22 April,0446,NRS 14403 [7/1505]; Reel 1238,
BAILEY,John,"Golden Nuggett, The","Ophir, District of Orange",1855,28 March,1216,NRS 14403 [4/89]; Reel 5066,2 pages
BAILEY,Moses,"Albion Hotel, The","Devil's Hole Creek, District of Avisford and Louisa Creek",1858,26 April,0565,NRS 14403 [7/1510]; Reel 1240,
BAILEY,Moses,Commercial Inn,"Devils Hole Creek, Meroo Gold Field, District of Avisford",1856,15 April,0496,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Avisford
BAILEY,Moses,"Albion Hotel, The","Devil's Hole Creek, District of Avisford",1857,30 April,0439,NRS 14403 [7/1508]; Reel 1239,
BAILEY,Moses,"Commercial Inn, The","Devils Hole Creek, District of Avisford",1856,15 April,0496,NRS 14403 [7/1505]; Reel 1238,
BAILEY,Samuel,Cottage of Content,East Maitland,1844,3 June,0038,NRS 14401 [4/76]; Reel 5059,or BAILY
BAILEY,Samuel,Cottage of Content,East Maitland,1845,18 June,0115,NRS 14401 [4/77]; Reel 5059,or BAILY
BAILEY,Samuel,"Cottage of Content, The",East Maitland,1848,10 June,0066,NRS 14401 [4/82]; Reel 5062,
BAILEY,Samuel,"Cottage of Content, The",East Maitland,1843,19 May,0014,NRS 14401 [4/75]; Reel 5058,or BAILEY
BAILEY,Samuel,Cottage of Content,East Maitland,1841,20 May,0013,NRS 14401 [7/1501]; Reel 1236,
BAILEY,Samuel,Cottage of Content,East Maitland,1846,10 June,0072,NRS 14401 [4/78]; Reel 5060,or BAILY
BAILEY,Samuel,"Cottage of Content, The",East Maitland,1847,27 May,0030,NRS 14401 [4/79]; Reel 5061,or BAILY
BAILEY,Samuel,Cottage of Content,East Maitland,1842,17 May,0012,NRS 14401 [4/74]; Reel 5057,or BAILY
BAILEY,Samuel,"Cottage of Content, The",East Maitland,1840,4 June,0081,NRS 14401 [4/72]; Reel 5056,or BAILY
BAILEY,Samuel,"Cottage of Content, The","Bank Street, East Maitland",1854,18 April,0123,NRS 14403 [4/87]; Reel 5065,
BAILEY,Samuel,"Cottage of Content, The","Bank Street, East Maitland",1853,19 April,0163,NRS 14403 [4/84]; Reel 5063,
BAILEY,Thomas Henry,"Steam Packet Inn, The","George Street, Parramatta",1845,10 February,0542,NRS 14401 [4/76]; Reel 5059,"see Steam Packet, 1834, 1836, 1840; Transferred to Henry SERJEANT"
BAILEY,William,"Plough Inn, The","O'Connells Plains, Bathurst",1843,28 June,0280,NRS 14401 [4/75]; Reel 5058,"see Plough Inn, 1833, 1836; Plough, 1834-35"
BAILEY,William,Plough Inn,"O'Connells Plains, District of Bathurst",1842,27 June,0290,NRS 14401 [4/74]; Reel 5057,"see Plough Inn, 1833, 1836; Plough, 1834-35"
BAILIE,James,"Victoria Hotel, The","East Street, Ipswich",1858,20 April,1091,NRS 14403 [7/1511]; Reel 1241,
BAILLIE,James,Victoria Hotel,"East Street, Ipswich",1856,2 September,1352,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Ipswich
BAILLIE,James,"Victoria Hotel, The","East Street, Ipswich",1856,2 September,1352,NRS 14403 [7/1507]; Reel 1239,
BAILY,John,"Golden Nuggett, The","Appin, District of Orange",1855,17 April,0438,NRS 14403 [7/1502]; Reel 1236,or BAILEY
BAIN,James,"Hexham Hotel, The","Hexham, District of Newcastle",1856,2 September,1298,NRS 14403 [7/1507]; Reel 1239,
BAIN,James,Hexham Hotel,"Hexham, District of Newcastle",1856,2 September,1298,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Newcastle
BAINES,Edward Joseph,"Colonel Bloomfield and Waterloo Hotel, The","South Head Road, District of Sydney",1853,4 May,0296,NRS 14403 [4/84]; Reel 5063,
BAIRD,Moses,"Bridge Hotel, The",Goulburn,1860,17 April,0635,NRS 14403 [7/1513]; Reel 1242,
BAIRDEN,Joseph Henry,"Goldfinders Inn, The","Kelso, District of Bathurst",1853,19 April,0171,NRS 14403 [4/84]; Reel 5063,or BAISDEN
BAKER,George,-,Narellan,1858,24 April,0766,NRS 14403 [7/1510]; Reel 1240,
BAKER,George,Albion Inn,"Albion Farm Paterson Road, Paterson River, District of Maitland",1856,15 April,1016,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Maitland
BAKER,George,"Queen's Arms, The",Narellan,1857,21 April,0148,NRS 14403 [7/1508]; Reel 1239,
BAKER,George,"Crown Inn, The","Narellan, District of Camden",1853,19 April,0248,NRS 14403 [4/84]; Reel 5063,
BAKER,George,"Albion Inn, The","River Paterson, District of Maitland",1854,18 April,0220,NRS 14403 [4/87]; Reel 5065,
BAKER,George,"Albion Inn, The","Paterson River, District of Maitland",1856,15 April,1016,NRS 14403 [7/1506]; Reel 1238,
BAKER,George,"Albion Inn, The","Paterson, District of Maitland",1855,1 May,0896,NRS 14403 [7/1503]; Reel 1237,
BAKER,George Francis,"Paddington Hotel, The","Paddington, Sydney",1847,26 June,0271,NRS 14401 [4/79]; Reel 5061,
BAKER,George Francis,Masons Arms Hotel,Gosford,1842,13 January,0467,NRS 14401 [7/1501]; Reel 1236,
BAKER,George Francis,"Paddington Hotel, The","Paddington, District of Sydney",1848,20 June,0180,NRS 14401 [4/82]; Reel 5062,removed to Palmer Street South Head Road
BAKER,George Francis,"Paddington Hotel, The","Paddington, Sydney",1846,22 June,0167,NRS 14401 [4/78]; Reel 5060,
BAKER,George Francis,Queens Hotel,"East Gosford, Brisbane Water",1844,22 June,0148,NRS 14401 [4/76]; Reel 5059,
BAKER,Henry Gardiner,"Queen Victoria Inn, The","Camberwell, Falbrook, District of Patricks Plains",1857,21 April,0261,NRS 14403 [7/1508]; Reel 1239,
BAKER,Henry Gardner,"Queen Victoria Inn, The","Camberwell, District of Patricks Plains",1858,April,1398,NRS 14403 [7/1511]; Reel 1241,
BAKER,Jane,"Freemason's Arms, The","Ashfield, District of Sydney",1857,18 May,0483,NRS 14403 [7/1508]; Reel 1239,
BAKER,John Thomas,Clarks Hotel,"King and Philip Streets, Sydney",1858,27 April,0754,NRS 14403 [7/1510]; Reel 1240,
BAKER,John Thomas,Clarks Hotel,"Circular Quay, Sydney",1856,15 April,0548,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Sydney
BAKER,John Thomas,Clark Hotel,"Circular Quay, Sydney",1856,23 April,0548,NRS 14403 [7/1505]; Reel 1238,
BAKER,Margaret,Nelson Inn,"Phillip and Hunter Streets, Sydney",1846,27 June,0355,NRS 14401 [4/80]; Reel 5060,Transferred to Charles BENHAM
BAKER,Reuben,Bush Inn,Narellan,1853,19 April,0576,NRS 14403 [4/85]; Reel 5064,
BAKER,Reuben,"Queens Arms, The",Narellan,1860,21 April,0497,NRS 14403 [7/1512]; Reel 1241,
BAKER,Reuben,"Burton Inn, The",Narellan,1855,17 April,0844,NRS 14403 [7/1503]; Reel 1237,
BAKER,Reuben,"Barton Inn, The","Narellan, District of Camden",1854,18 April,0184,NRS 14403 [4/87]; Reel 5065,
BAKER,Richard,"George Inn, The",Tenterfield,1853,19 April,0016,NRS 14403 [4/84]; Reel 5063,damaged page
BAKER,Richard,"George Inn, The",Tenterfield,1854,2 May,0051,NRS 14403 [4/87]; Reel 5065,
BAKER,Richard,"George Inn, The",Tenterfield,1858,20 April,0117,NRS 14403 [7/1509]; Reel 1240,
BAKER,Richard,"Stroud Hotel, The","Stroud, District of Dungog",1856,5 September,1321,NRS 14403 [7/1507]; Reel 1239,
BAKER,Richard,Stroud Hotel,"on high road in Stroud, District of Dungog",1856,5 September,1321,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Dungog
BAKER,Richard,"Stroud Hotel, The","Stroud, District of Dungog and Port Stephens",1857,21 April,0368,NRS 14403 [7/1508]; Reel 1239,
BAKER,Thomas,"Woolloomooloo Inn, The","Woolloomooloo, Sydney",1848,15 June,0117,NRS 14401 [4/82]; Reel 5062,
BAKER,Thomas,"Crown and Anchor, The","George Street, Sydney",1839,6 June,0051,NRS 14401 [4/70]; Reel 5055,
BAKER,Thomas,"Blue Bell, The","Phillip Street, Sydney",1831,1 July,0101,NRS 14401 [4/62]; Reel 5049,"see Bell, 1830, 1832, 1834-37"
BAKER,Thomas,Crown and Anchor,"George Street, Sydney",1836,4 July,0210,NRS 14401 [4/67]; Reel 5053,
BAKER,Thomas,"Peacock, The","Erskine and Sussex Streets, Sydney; York Street, 1833-",1834,4 July,0237,NRS 14401 [4/65]; Reel 5052,"see Peacock Inn, 1835, 1837"
BAKER,Thomas,Crown and Anchor,"George and Market Streets, Sydney",1844,3 June,0042,NRS 14401 [4/76]; Reel 5059,
BAKER,Thomas,"Union, The","Bigge Square, Liverpool, Parish of St Luke",1835,25 June,0028,NRS 14401 [4/66]; Reel 5052,
BAKER,Thomas,Crown and Anchor,"George and Market Streets, Sydney",1845,13 June,0083,NRS 14401 [4/77]; Reel 5059,
BAKER,Thomas,"Woolloomooloo Inn, The","William Street, Sydney",1853,30 April,0863,NRS 14403 [4/86]; Reel 5064,
BAKER,Thomas,"Victoria Hotel, The","Pitt Street, Sydney",1860,17 April,0969,NRS 14403 [7/1513]; Reel 1242,
BAKER,Thomas,Crown and Anchor,"York Street, Sydney",1835,4 July,0278,NRS 14401 [4/66]; Reel 5052,
BAKER,Thomas,"Woolloomoolloo Inn, The","William and Brougham Streets, Sydney",1847,13 August,0653,NRS 14401 [4/81]; Reel 5061,
BAKER,Thomas,Crown and Anchor,"George Street, Sydney",1838,29 June,0106,NRS 14401 [4/69]; Reel 5054,
BAKER,Thomas,"Peacock, The","Erskine and Sussex Streets, Sydney; York Street, 1833-",1832,29 June,0060,NRS 14401 [4/63]; Reel 5050,"see Peacock Inn, 1835, 1837"
BAKER,Thomas,"City Arms, The","Market Street, Sydney",1843,28 June,0299,NRS 14401 [4/75]; Reel 5058,
BAKER,Thomas,Clarke's Hotel,"Circular Quay, Sydney",1855,26 April,0685,NRS 14403 [7/1502]; Reel 1236,
BAKER,Thomas,"Peacock, The","Erskine and Sussex Streets, Sydney; York Street, 1833-",1833,8 July,0285,NRS 14401 [4/64]; Reel 5051,"see Peacock Inn, 1835, 1837"
BAKER,Thomas,Crown and Anchor,"George Street, Sydney",1842,11 May,0004,NRS 14401 [4/74]; Reel 5057,
BAKER,Thomas,Crown and Anchor,"George Street, Sydney",1840,20 May,0032,NRS 14401 [4/72]; Reel 5056,
BAKER,Thomas,Crown and Anchor,Sydney,1841,31 May,0047,NRS 14401 [7/1501]; Reel 1236,
BAKER,Thomas,"Crown and Anchor, The","George Street, Sydney",1837,29 June,0080,NRS 14401 [4/68]; Reel 5053,
BAKER,Thomas,Crown and Anchor,"George and Market Streets, Sydney",1846,26 June,0319,NRS 14401 [4/80]; Reel 5060,Transferred to George SIMPSON
BAKER,William,"Royal Hotel, The",Tenterfield,1860,17 April,0464,NRS 14403 [7/1512]; Reel 1241,
BALBI,Alexander,Bush Inn,"Fassifern, District of Ipswich",1856,15 April,0061,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Ipswich
BALBI,Alexander,"Bush Inn, The","Fassifern, District of Ipswich",1856,15 April,0061,NRS 14403 [7/1504]; Reel 1237,
BALBI,Alexander,"Bush Inn, The","Fassifern, Ipswich",1857,21 April,0113,NRS 14403 [7/1508]; Reel 1239,or BALBIE
BALBIE,Alexander,"Bush Inn, The","Fassefern, Warwick Road, District of Ipswich",1858,20 April,0063,NRS 14403 [7/1509]; Reel 1240,or BALBI; 2 pages
BALDOCK,Thomas,"Welcome Home Inn, The","Camberwell, District of Patrick's Plains",1858,20 April,0692,NRS 14403 [7/1510]; Reel 1240,
BALDOCK,William,Commercial Hotel,"King and Sussex Streets, Sydney",1843,30 June,0475,NRS 14401 [4/75]; Reel 5058,
BALDWIN,Richard,"Hope, The","Cumberland Street, Sydney",1833,12 July,0332,NRS 14401 [4/64]; Reel 5051,
BALDWIN,Wynn,Woolpack Inn,West Maitland,1836,14 July,0356,NRS 14401 [4/67]; Reel 5053,"see Woolpack, 1830-32, 1834-35, 1845; unnamed, 1844"
BALE,Elizabeth,-,North Grafton,1856,2 December,0066,NRS 14403 [7/1507]; Reel 1239,Confectioner's license; on List of Certificates under Grafton
BALE,Elizabeth,-,Grafton,1858,20 April,0004,NRS 14403 [7/1511]; Reel 1241,Confectioner's license; 2 pages
BALE,John,-,"Queen Street, Brisbane",1856,2 December,-,NRS 14403 [7/1507]; Reel 1239,Confectioner's license; on List of Certificates under Brisbane
BALL,Andrew,"Britannia, The","George Street, Sydney; 1 Goulburn Street, 1836-",1830,29 June,0087,NRS 14401 [4/61]; Reel 5049,"or Brittannia; see Britannia Arms, 1840"
BALL,Andrew,"Britannia, The","George Street, Sydney; 1 Goulburn Street, 1836-",1831,1 July,0134,NRS 14401 [4/62]; Reel 5049,"or Brittannia; see Britannia Arms, 1840"
BALL,Andrew,"Britannia, The","George Street, Sydney; 1 Goulburn Street, 1836-",1832,9 July,0253,NRS 14401 [4/63]; Reel 5050,"or Brittannia; see Britannia Arms, 1840"
BALL,Henry,"Fox Under the Hill, The","Kent Street, Sydney; Market Street, 1833",1833,15 July,0347,NRS 14401 [4/64]; Reel 5051,
BALL,Henry,"Fox Under the Hill, The","Kent Street, Sydney; Market Street, 1833",1832,7 July,0221,NRS 14401 [4/63]; Reel 5050,
BALL,Henry,"Fox and Hounds, The","King and Castlereagh Streets, Sydney",1831,29 June,0024,NRS 14401 [4/62]; Reel 5049,
BALL,Henry,Fox and Hounds,"King and Castlereagh Streets, Sydney",1830,29 June,0099,NRS 14401 [4/61]; Reel 5049,
BALLARD,Robert,"Wheatsheaf, The","Morpeth, Maitland",1847,23 June,0185,NRS 14401 [4/79]; Reel 5061,
BALLARD,Robert,"Wheat Sheaf, The","Morpeth, Maitland",1845,21 May,0012,NRS 14401 [4/77]; Reel 5059,
BALLARD,Robert,Wheatsheaf,"Morpeth, District of Maitland",1848,22 June,0225,NRS 14401 [4/82]; Reel 5062,
BALLARD,Robert,Wheat Sheaf,"Morpeth, Maitland",1846,19 June,0158,NRS 14401 [4/78]; Reel 5060,
BALLARD,Robert,"Wheatsheaf, The","Morpeth, District of Maitland",1853,19 April,0498,NRS 14403 [4/85]; Reel 5064,
BALLARD,Robert,"Wheat Sheaf, The","Morpeth, Maitland",1844,24 October,0523,NRS 14401 [4/76]; Reel 5059,
BALLARD,William Joseph,Woolpack,Sydney,1840,29 June,0374,NRS 14401 [4/72]; Reel 5056,
BAMFORD,Frederick,"Hunters River Inn, The",Sofala,1853,26 April,0155,NRS 14403 [4/84]; Reel 5063,
BANNERMAN,Arthur,"Bush Inn, The","Kempsey, District of [Port] Macquarie",1853,19 April,0211,NRS 14403 [4/84]; Reel 5063,
BANNISTER,Samuel,"South Head Family Hotel, The","South Head, District of Sydney",1853,30 April,0785,NRS 14403 [4/85]; Reel 5064,
BANNISTER,Samuel,"South Head Family Hotel, The","South Head, District of Sydney",1854,27 April,0878,NRS 14403 [4/89]; Reel 5066,
BARBER,William,Case is Altered,"Mullingullingong, Goulburn; Bungornia, 1840",1840,29 June,0369,NRS 14401 [4/72]; Reel 5056,
BARBER,William,"Case is Altered, The","Mullingullingong, Goulburn; Bungornia, 1840",1839,29 June,0446,NRS 14401 [4/70]; Reel 5055,
BARBIER,Alphonse,Aux Freres Proveucaux,"George Street, Sydney",1855,27 April,1139,NRS 14403 [7/1503]; Reel 1237,
BARDEN,Levi,Bold Forester,"Cooks River, District of Sydney",1856,15 April,0897,NRS 14403 [7/1507]; Reel 1239,on list of Certificates under Sydney
BARDEN,Levi,"Bold Forester, The","Cook's River, District of Sydney",1858,21 May,1355,NRS 14403 [7/1511]; Reel 1241,
BARDEN,Levi,"Bold Forester, The","Cook's River, District of Sydney",1853,30 April,0468,NRS 14403 [4/85]; Reel 5064,
BARDEN,Levi,"Bold Forrester, The","Cooks River, District of Sydney",1854,3 May,0588,NRS 14403 [4/88]; Reel 5065,
BARDEN,Levi,"Bold Forester, The","Cooks River, District of Sydney",1856,24 April,0897,NRS 14403 [7/1506]; Reel 1238,
BARDEN,Levi,"Bold Forester, The","Cook's River, District of Sydney",1855,26 April,0596,NRS 14403 [7/1502]; Reel 1236,
BARDEN,Mary,"Bold Forester, The","Cook's River, District of Sydney",1860,17 April,0998,NRS 14403 [7/1513]; Reel 1242,
BARDEN,Spencer,"Currency Lass, The","Cook's River, District of Sydney",1860,17 April,0997,NRS 14403 [7/1513]; Reel 1242,
BARKER,Charles,"Plough, The","Richmond Road, District of Windsor",1853,19 April,0098,NRS 14403 [4/84]; Reel 5063,
BARKER,Charles,"Plough and Horses, The","Richmond Road, District of Windsor",1856,15 April,0078,NRS 14403 [7/1504]; Reel 1237,
BARKER,Charles,"Bell Inn, The","Catherine Street, Windsor",1860,17 April,0600,NRS 14403 [7/1513]; Reel 1242,
BARKER,Charles,Plough and Horses,"Richmond Road, District of Windsor",1856,15 April,0078,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Windsor
BARKER,Charles,"Plough and Horses, The","Richmond Rod, District of Windsor",1854,18 April,0885,NRS 14403 [4/89]; Reel 5066,
BARKER,James,"Goldsmiths Arms, The","George Street, Sydney",1834,10 November,0409,NRS 14401 [4/65]; Reel 5052,40/- license; removal of license; re license number 396
BARKER,James,"Goldsmiths Arms, The","King Street, Sydney",1834,12 September,0396,NRS 14401 [4/65]; Reel 5052,40/- license; removal of license; re license number 310
BARKER,James,Goldsmiths Arms,"Pitt Street, Sydney",1834,8 July,0310,NRS 14401 [4/65]; Reel 5052,
BARKER,John,"White Hart, The","George Street, Windsor",1834,30 June,0112,NRS 14401 [4/65]; Reel 5052,
BARKER,John,"White Hart, The","George Street, Windsor",1837,26 June,0025,NRS 14401 [4/68]; Reel 5053,
BARKER,John,White Hart,"George Street, Windsor",1836,27 June,0015,NRS 14401 [4/67]; Reel 5053,
BARKER,John,"White Hart, The","George Street, Windsor",1838,28 June,0064,NRS 14401 [4/69]; Reel 5054,
BARKER,John,White Hart,"George Street, Windsor",1835,30 June,0162,NRS 14401 [4/66]; Reel 5052,
BARKER,John,"White Hart, The","George Street, Windsor",1839,27 June,0334,NRS 14401 [4/70]; Reel 5055,
BARKER,John Thomas,-,"Sussex Street, Sydney",1856,15 April,0029,NRS 14403 [7/1507]; Reel 1239,Confectioner's license; on List of Certificates under Sydney
BARKER,Jonah,White Conduit House,"George Street, Sydney",1836,11 July,0319,NRS 14401 [4/67]; Reel 5053,
BARKER,Thomas,"Sportsman, The","Church Street, Parramatta",1856,15 April,1129,NRS 14403 [7/1506]; Reel 1238,
BARKER,Thomas,"Sportsman, The","Church Street, Parramatta",1858,20 April,1184,NRS 14403 [7/1511]; Reel 1241,
BARKER,Thomas,"Sportsman, The","Church Street, Parramatta",1855,17 April,0863,NRS 14403 [7/1503]; Reel 1237,
BARKER,Thomas,"Sportsman, The","Church Street, Parramatta",1854,5 December,1186,NRS 14403 [4/89]; Reel 5066,
BARKER,Thomas,Sportsman,"Church Street, Parramatta",1856,15 April,1129,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Parramatta
BARKER,Thomas,"Sportsman, The","Church Street, Parramatta",1853,19 April,0458,NRS 14403 [4/85]; Reel 5064,
BARKHAUSEN,George Philip,City Hotel and Wine Vaults,"George Street, Sydney",1858,21 May,1356,NRS 14403 [7/1511]; Reel 1241,
BARLOW,John,Pine Apple Inn,"Fitzroy Street, Surry Hills, District of Sydney",1856,15 April,0360,NRS 14403 [7/1507]; Reel 1239,on list of Certificates under Sydney
BARLOW,John,"Pine Apple Inn, The","Fitzroy Street, Surry Hills, District of Sydney",1856,24 April,0360,NRS 14403 [7/1504]; Reel 1237,
BARLOW,John,Pineapple,"Surry Hills, Sydney",1848,24 June,0274,NRS 14401 [4/82]; Reel 5062,
BARLOW,John,"Pine Apple, The","Fitzroy Street, Sydney",1858,29 June,1204,NRS 14403 [7/1511]; Reel 1241,
BARLOW,John,"Pine Apple Inn, The","Fitzroy Street, Surrey Hills, District of Sydney",1854,8 May,0602,NRS 14403 [4/88]; Reel 5065,
BARLOW,John,"Pineapple Inn, The","Fitzroy Street, Sydney",1860,17 April,0686,NRS 14403 [7/1513]; Reel 1242,
BARLOW,John,"Pine Apple, The","Fitroy Street, Surry Hills, Sydney",1853,30 April,0261,NRS 14403 [4/84]; Reel 5063,
BARNABY,Thomas,Coach and Horses,"Round Swamp, Bathurst",1846,30 June,0535,NRS 14401 [4/80]; Reel 5060,
BARNABY,Thomas,"Coach and Horses, The","Jackall's Creek, District of Bathurst",1853,19 April,0385,NRS 14403 [4/84]; Reel 5063,
BARNABY,Thomas,"Coach and Horses Inn, The","Round Swamp, Bathurst",1847,31 May,0033,NRS 14401 [4/79]; Reel 5061,"Coach and Horses, 1845"
BARNABY,Thomas,"Coach and Horses, The","Round Swamp, Mudgee Road, District of Rylestone",1858,20 April,0423,NRS 14403 [7/1509]; Reel 1240,
BARNABY,Thomas,"Coach and Horses, The","Round Swamp, on the Mudgee Road, District of Rylstone",1856,2 September,0273,NRS 14403 [7/1507]; Reel 1239,Transfer of license; on List of Certificates under Rylstone
BARNABY,Thomas,Coach and Horses,"Round Swamp, District of Bathurst",1845,19 June,0122,NRS 14401 [4/77]; Reel 5059,"Coach and Horses Inn, 1844"
BARNABY,Thomas,"Coach and Horses, The","Round Swamp, District of Rylstone",1860,17 April,0162,NRS 14403 [7/1512]; Reel 1241,
BARNABY,Thomas,"Coach and Horses Inn, The","Round Swamp, Bathurst",1844,28 August,0513,NRS 14401 [4/76]; Reel 5059,"Coach and Horses, 1845"
BARNABY,Thomas,"Round Swamp, The","The Round Swamp, Mudgee Road, District of Bathurst",1848,9 June,0058,NRS 14401 [4/82]; Reel 5062,
BARNES,John,"Royal Oak, The",Tamworth,1853,19 April,0064,NRS 14403 [4/84]; Reel 5063,
BARNES,John,"Royal Oak, The",Tamworth,1854,18 April,0203,NRS 14403 [4/87]; Reel 5065,
BARNES,John,"Royal Oak Inn, The","Tamworth, District of Liverpool Plains",1858,20 April,0011,NRS 14403 [7/1509]; Reel 1240,2 pages
BARNES,John,"Royal Oak, The",Tamworth,1860,17 April,0371,NRS 14403 [7/1512]; Reel 1241,
BARNES,Joseph,Red Lion,"Church Street, Parramatta",1856,15 April,0844,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Parramatta
BARNES,Joseph,"Red Lion, The","Church Street, Parramatta",1858,20 April,0656,NRS 14403 [7/1510]; Reel 1240,
BARNES,Joseph,"Red Lion, The","Church Street, Parramatta",1855,17 April,0907,NRS 14403 [7/1503]; Reel 1237,
BARNES,Joseph,"Red Lion, The","Church Street, Parramatta",1853,19 April,0137,NRS 14403 [4/84]; Reel 5063,
BARNES,Joseph,"Red Lion, The","Church Street, Parramatta",1854,18 April,0696,NRS 14403 [4/88]; Reel 5065,
BARNES,Joseph,"Red Lion, The","Church Street, Parramatta",1856,15 April,0844,NRS 14403 [7/1505]; Reel 1238,
BARNES,Joseph,"Red Lion, The","Church Street, Parramatta",1860,17 April,0818,NRS 14403 [7/1513]; Reel 1242,
BARNES,Lydia,"Trafalgar, The","New Bathurst Road, Bathurst",1834,9 August,0389,NRS 14401 [4/65]; Reel 5052,"see Trafalgar Inn, 1835, 1837-39"
BARNES,Mary,Forbes Hotel,Sydney,1839,17 June,0157,NRS 14401 [4/70]; Reel 5055,
BARNES,Robert,"Three Horse Shoes, The","Pitt Street, Sydney",1831,1 July,0123,NRS 14401 [4/62]; Reel 5049,
BARNES,Robert,Hole in the Wall,"Pitt Street, Sydney",1835,7 July,0320,NRS 14401 [4/66]; Reel 5052,
BARNES,Robert,"Saint Patrick, The","Clarence Street, Sydney",1832,10 July,0275,NRS 14401 [4/63]; Reel 5050,or BURNS
BARNES,Robert,Hole in the Wall,"Pitt Street, Sydney",1836,15 July,0357,NRS 14401 [4/67]; Reel 5053,
BARNES,Robert,"Hole in the Wall, The","Pitt Street, Sydney",1834,11 July,0343,NRS 14401 [4/65]; Reel 5052,
BARNES,Robert,"Hole in the Wall, The","Pitt Street, Sydney",1837,10 July,0336,NRS 14401 [4/68]; Reel 5053,
BARNES,Sarah,Saint John's Tavern,"George and Bridge Streets, Sydney",1844,29 June,0422,NRS 14401 [4/76]; Reel 5059,
BARNES,Sarah,"Saint John's Tavern, The","George and Bridge Streets, Sydney",1845,30 June,0439,NRS 14401 [4/77]; Reel 5059,
BARNES,Sarah,Saint John Tavern,"George and Bridge Streets, Sydney",1843,29 June,0344,NRS 14401 [4/75]; Reel 5058,or Saint John's Tavern
BARNES,Sarah,Saint John Tavern,"George and Bridge Streets, Sydney",1842,27 June,0298,NRS 14401 [4/74]; Reel 5057,or St John's Tavern
BARNES,T W Panten,"Lily of St Leonards', The","North Shore, Sydney",1855,11 May,1088,NRS 14403 [7/1503]; Reel 1237,
BARNES,Thomas,Trafalgar Inn,"Honeysuckle Flat, Vale of Clwyd, Hartley; Bathurst; Meadowflat Sydney and Bathurst Roads",1838,28 June,0081,NRS 14401 [4/69]; Reel 5054,"see Trafalgar, 1834"
BARNES,Thomas,Trafalgar Inn,"Honeysuckle Flat, Bathurst; Meadowflat Sydney and Bathurst Roads",1835,4 July,0285,NRS 14401 [4/66]; Reel 5052,"see Trafalgar, 1834"
BARNES,Thomas,"Trafalgar Inn, The","Honeysuckle Flat, Vale of Clwyd; Meadowflat Sydney and Bathurst Roads",1837,21 July,0413,NRS 14401 [4/68]; Reel 5053,"see Trafalgar, 1834"
BARNES,Thomas,"Queen Victoria Inn, The","Camberwell, District of Patricks Plains",1860,17 April,0367,NRS 14403 [7/1512]; Reel 1241,
BARNES,Thomas,"Trafalgar Inn, The","Honeysuckle Flat, Bathurst; Meadowflat Sydney and Bathurst Roads",1839,11 June,0097,NRS 14401 [4/70]; Reel 5055,"see Trafalgar, 1834"
BARNES,Thomas,Golden Fleece,"Kelso Parish, Bathurst",1840,12 June,0135,NRS 14401 [4/72]; Reel 5056,
BARNES,Thomas W P,"Lily of St Leonards, The","North Shore, District of Sydney",1858,21 May,1342,NRS 14403 [7/1511]; Reel 1241,
BARNES,Thomas William P,Lily of St Leonards,"North Shore, District of Sydney",1856,15 April,1131,NRS 14403 [7/1507]; Reel 1239,on list of Certificates under Sydney
BARNES,Thomas William Paxton,"Lily of St Leonards, The","North Shore, District of Sydney",1856,24 April,1131,NRS 14403 [7/1506]; Reel 1238,
BARNES,William,Saint John's Tavern,"George and Bridge Streets, Sydney",1840,24 June,0285,NRS 14401 [4/72]; Reel 5056,
BARNES,William,Saint John's Tavern,"George and Bridge Streets, Sydney",1838,5 July,0327,NRS 14401 [4/69]; Reel 5054,
BARNES,William,St Johns Tavern,Sydney,1841,11 June,0117,NRS 14401 [7/1501]; Reel 1236,
