,Item,Reel,Year,Pre,Nos,Title,Place,Minister,Church,Remarks,
,[4/2107],,1831,,3548 - 3928,,,,,,
,[4/2108],,1831,,3929 - 4362,,,,,,
,[4/2109],,1831,,4363 - 4735,,,,,,
,[4/2110],,1831,,4736 - 5120,,,,,,
,[4/2111],,1831,,5121 - 5515,,,,,,
,[4/2112],,1831,,5516 - 5984,,,,,,
,[4/2113],,1831,,5985 - 6277,,,,,,
,[4/2114],,1831,,6278 - 6603,,,,,,
,[4/2115.1],,1831,,6606 - 6854,,,,,,
,[4/2116],,1831,,6855 - 7298,,,,,,
,[4/2117],,1831,,7299 - 7708,,,,,,
,[4/2118],,1831,,7709 - 8279,,,,,,
,[4/2119],,1831,,8280 - 8820,,,,,,
,[4/2120],,1831,,8821 - 9243,,,,,,
,[4/2121],,1831,,9244 - 9708,,,,,,
,[4/2122],,1831,,9709 - 10060,,,,,,
,[4/2123],,1831,,10061 - 10339,,,,,,
,[4/2124],,1831,,10340 - 10619,,,,,,
,[4/2125.1],,1831,,,Public Buildings in New South Wales,,,,mainly letter from the Director of Public Works,
,[4/2125.2],,1831,,,Benevolent Society,,,,,
,[4/2125.3],,1831,,,Customs,,,,,
,[4/2125.4],,1831,,,Crown Solicitor,,,,,
,[4/2125.5],719,1831,,,Clergy - Presbyterian,,,,[note],
,[4/2125.6],,1831,,,Court of Requests,,,,,
,[4/2126.1],719,1831,,,Clergy - Church of England,Port Macquarie,"Cross, Revd",,Applications for the publication of banns; [note],
,[4/2126.2],719,1831,,,Clergy - Church of England,Parramatta,"Marsden, Revd",,Applications for the publication of banns; [note],
,[4/2126.3],719,1831,,,Clergy - Church of England,Sydney,"Cowper, Revd",St Philips,Applications for the publication of banns; [note],
,[4/2126.4],719,1831,,,Clergy - Church of England,Newcastle,"Wilton, Revd",,Applications for the publication of banns; [note],
,[4/2126.5],719,1831,,,Clergy - Church of England,Maitland,"Wood, Mr J",,Applications for the publication of banns; [note],
,[4/2126.6],719,1831,,,Clergy - Church of England,Bathurst,"Keane, Revd",,Applications for the publication of banns; [note],
,[4/2126.7],719,1831,,,Clergy - Church of England,Sydney,"Hill, Revd",St James,Applications for the publication of banns; in bundle 'Revd R Hill & Revd Vincent (St James Sydney)'; [note],
,[4/2126.7],719,1831,,,Clergy - Church of England,Sydney,"Vincent, Revd",St James,Applications for the publication of banns; in bundle 'Revd R Hill & Revd Vincent (St James Sydney)'; [note],
,[4/2127.1],720,1831,,,Clergy - Church of England,Campbelltown,"Reddall, Revd",,Applications for the publication of banns; [note],
,[4/2127.2],720,1831,,,Clergy - Church of England,Narellan,"Hassall, Revd",,"Applications for the publication of banns; in bundle 'Revd T Hassall & Mr Layton (Narellan, Sutton Forrest)'; [note]",
,[4/2127.2],720,1831,,,Clergy - Church of England,Sutton Forest,"Layton, Mr J",,"Applications for the publication of banns; in bundle 'Revd T Hassall & Mr Layton (Narellan, Sutton Forrest)'; [note]",
,[4/2127.3],720,1831,,,Clergy - Church of England,Liverpool,"Cartwright, Revd",,Applications for the publication of banns; [note],
,[4/2127.4],720,1831,,,Clergy - Church of England,Pitt Town,"Meares, Revd",,"Applications for the publication of banns; in bundle 'Revd M D Meares (Wilberforce, Pitt Town & Sackville Reach)'; [note]",
,[4/2127.4],720,1831,,,Clergy - Church of England,Sackville Reach,"Meares, Revd",,"Applications for the publication of banns; in bundle 'Revd M D Meares (Wilberforce, Pitt Town & Sackville Reach)'; [note]",
,[4/2127.4],720,1831,,,Clergy - Church of England,Wilberforce,"Meares, Revd",,"Applications for the publication of banns; in bundle 'Revd M D Meares (Wilberforce, Pitt Town & Sackville Reach)'; [note]",
,[4/2127.5],720,1831,,,Clergy - Church of England,Richmond,"Docker, Revd",,"Applications for the publication of banns; in bundle 'Revd H Fulton, Revd J Docker & Mr Sharpe (Castlereagh, Windsor & Richmond, Lower Hawkesbury)'; [note]",
,[4/2127.5],720,1831,,,Clergy - Church of England,Windsor,"Docker, Revd",,"Applications for the publication of banns; in bundle 'Revd H Fulton, Revd J Docker & Mr Sharpe (Castlereagh, Windsor & Richmond, Lower Hawkesbury)'; [note]",
,[4/2127.5],720,1831,,,Clergy - Church of England,Castlereagh,"Fulton, Revd",,"Applications for the publication of banns; in bundle 'Revd H Fulton, Revd J Docker & Mr Sharpe (Castlereagh, Windsor & Richmond, Lower Hawkesbury)'; [note]",
,[4/2127.5],720,1831,,,Clergy - Church of England,Lower Hawkesbury,"Sharpe, Mr T",,"Applications for the publication of banns; in bundle 'Revd H Fulton, Revd J Docker & Mr Sharpe (Castlereagh, Windsor & Richmond, Lower Hawkesbury)'; [note]",
,[4/2127.6],720,1831,,,Clergy - Roman Catholic,,"Dowling, Revd",,Applications for the publication of banns; in bundle 'Revd J J Therry and Revd C V Dowling'; [note],
,[4/2127.6],720,1831,,,Clergy - Roman Catholic,,"Therry, Revd",,Applications for the publication of banns; in bundle 'Revd J J Therry and Revd C V Dowling'; [note],
,[4/2127.7],,1831,,,New Zealand,New Zealand,,,,
,[4/2128.1],,1831,,,Public Buildings in New South Wales,,,,"1830-31 (including papers relating to the Benevolent Asylum, Court House Maitland, Sydney Gaol, Windsor Hospital)",
,[4/2130],,1832,,1 - 239,,,,,,
,[4/2131],,1832,,240 - 579,,,,,,
,[4/2132.1],,1832,,586 - 708,,,,,,
,[4/2133],,1832,,710 - 999,,,,,,
,[4/2134],,1832,,1000 - 1332,,,,,,
,[4/2135],,1832,,1333 - 1582,,,,,,
,[4/2136.1],,1832,,1583 - 1680,,,,,,
,[4/2137],,1832,,1681 - 2000,,,,,,
,[4/2138],,1832,,2001 - 2349,,,,,,
,[4/2139],,1832,,2350 - 2750,,,,,,
,[4/2140],,1832,,2751 - 3045,,,,,,
,[4/2141],,1832,,3049 - 3345,,,,,,
,[4/2142],,1832,,3346 - 3613,,,,,,
,[4/2143],,1832,,3614 - 3999,,,,,,
,[4/2144],,1832,,4000 - 4420,,,,,,
,[4/2145],,1832,,4421 - 4697,,,,,,
,[4/2146],,1832,,4705 - 4955,,,,,,
,[4/2147],,1832,,4956 - 5276,,,,,,
,[4/2148],,1832,,5300 - 5548,,,,,,
,[4/2149],,1832,,5549 - 5803,,,,,,
,[4/2150.1],721,1832,,,Clergy - Returns of applications for the publication of banns,Sydney,,St James,[note],
,[4/2150.2],721,1832,,,Clergy - Returns of applications for the publication of banns,Newcastle,,Christ Church,[note],
,[4/2150.3],721,1832,,,Clergy - Returns of applications for the publication of banns,Parramatta,,St Johns,[note],
,[4/2150.4],721,1832,,,Clergy - Returns of applications for the publication of banns,Castlereagh,,,"in bundle 'Lower Hawkesbury, Castlereagh, Field of Mars, Maitland'; [note]",
,[4/2150.4],721,1832,,,Clergy - Returns of applications for the publication of banns,Field of Mars,,,"in bundle 'Lower Hawkesbury, Castlereagh, Field of Mars, Maitland'; [note]",
,[4/2150.4],721,1832,,,Clergy - Returns of applications for the publication of banns,Lower Hawkesbury,,,"in bundle 'Lower Hawkesbury, Castlereagh, Field of Mars, Maitland'; [note]",
,[4/2150.4],721,1832,,,Clergy - Returns of applications for the publication of banns,Maitland,,,"in bundle 'Lower Hawkesbury, Castlereagh, Field of Mars, Maitland'; [note]",
,[4/2150.5],721,1832,,,Clergy - Returns of applications for the publication of banns,Sydney,,Scots Church,[note],
,[4/2151.1],722,1832,,,Clergy - Returns of applications for the publication of banns,Campbelltown,,St Peters,"in bundle 'St Lukes Liverpool, Narellan & Sutton Forest, St Peters Campbelltown'; [note]",
,[4/2151.1],722,1832,,,Clergy - Returns of applications for the publication of banns,Liverpool,,St Lukes,"in bundle 'St Lukes Liverpool, Narellan & Sutton Forest, St Peters Campbelltown'; [note]",
,[4/2151.1],722,1832,,,Clergy - Returns of applications for the publication of banns,Narellan,,,"in bundle 'St Lukes Liverpool, Narellan & Sutton Forest, St Peters Campbelltown'; [note]",
,[4/2151.1],722,1832,,,Clergy - Returns of applications for the publication of banns,Sutton Forest,,,"in bundle 'St Lukes Liverpool, Narellan & Sutton Forest, St Peters Campbelltown'; [note]",
,[4/2151.2],722,1832,,,Clergy - Returns of applications for the publication of banns,Bathurst,,,"in bundle 'Windsor & Richmond, Bathurst, Wilberforce, Sackville Reach & Pitt Town, Port Macquarie'; [note]",
,[4/2151.2],722,1832,,,Clergy - Returns of applications for the publication of banns,Pitt Town,,,"in bundle 'Windsor & Richmond, Bathurst, Wilberforce, Sackville Reach & Pitt Town, Port Macquarie'; [note]",
,[4/2151.2],722,1832,,,Clergy - Returns of applications for the publication of banns,Port Macquarie,,,"in bundle 'Windsor & Richmond, Bathurst, Wilberforce, Sackville Reach & Pitt Town, Port Macquarie'; [note]",
,[4/2151.2],722,1832,,,Clergy - Returns of applications for the publication of banns,Richmond,,,"in bundle 'Windsor & Richmond, Bathurst, Wilberforce, Sackville Reach & Pitt Town, Port Macquarie'; [note]",
,[4/2151.2],722,1832,,,Clergy - Returns of applications for the publication of banns,Sackville Reach,,,"in bundle 'Windsor & Richmond, Bathurst, Wilberforce, Sackville Reach & Pitt Town, Port Macquarie'; [note]",
,[4/2151.2],722,1832,,,Clergy - Returns of applications for the publication of banns,Wilberforce,,,"in bundle 'Windsor & Richmond, Bathurst, Wilberforce, Sackville Reach & Pitt Town, Port Macquarie'; [note]",
,[4/2151.2],722,1832,,,Clergy - Returns of applications for the publication of banns,Windsor,,,"in bundle 'Windsor & Richmond, Bathurst, Wilberforce, Sackville Reach & Pitt Town, Port Macquarie'; [note]",
,[4/2151.3],722,1832,,,Clergy - Returns of applications for the publication of banns,Sydney,,St Philips,[note],
,[4/2151.4],722,1832,,,Clergy - Returns of applications for the publication of banns,,,Roman Catholic Chapel,[note],
,[4/2152],,1832,,5805 - 6049,,,,,,
,[4/2153],,1832,,6050 - 6294,,,,,,
,[4/2154],,1832,,6295 - 6750,,,,,,
,[4/2155],,1832,,6751 - 7082,,,,,,
,[4/2156],,1832,,7083 - 7401,,,,,,
,[4/2157],,1832,,7402 - 7713,,,,,,
,[4/2158],,1832,,7714 - 8000,,,,,,
,[4/2159],,1832,,8001 - 8252,,,,,,
,[4/2160],,1832,,8254 - 8505,,,,,,
,[4/2161],,1832,,8510 - 8926,,,,,,
,[4/2162],,1832,,8927 - 9254,,,,,,
,[4/2163],,1832,,9256 - 9538,,,,,,
,[4/2164.1],,1832,,9539 - 9618,,,,,,
,[4/2164.2],,1833,,,New Zealand,New Zealand,,,1832-33,
,[4/2165],2193,1832,,,Convicts,,,,part 1 of 2 for 1832,
,[4/2166.1],2193,1832,,,Convicts,,,,part 2 of 2 for 1832,
,[4/2166.2],,1832,,,Moreton Bay,Moreton Bay,,,,
,[4/2166.3],,1832,,,Naval,,,,,
,[4/2166.4],,1832,,,Public Buildings in New South Wales,,,,mainly letters from the Director of Public Works,
,[4/2167],"2194, 1900",1832,,,Petitions,,,,"Petitions and memorials, 1827-32 – unregistered (index in State Records' reading rooms on Reels 1250-1251)",
,[4/2169],,1833,,,Archdeacon,,,,,
,[4/2170.1],,1833,,,Attorney General,,,,,
,[4/2170.2],,1833,,,Solicitor General,,,,,
,[4/2170.3],,1833,,,Crown Solicitor,,,,,
,[4/2171.1],,1833,,,Auditor General,,,,,
,[4/2171.2],,1833,,,Botanist,,,,,
,[4/2172.1],,1833,,,Carters Barracks,,,,,
,[4/2172.2],,1833,,,Census,,,,,
,[4/2172.3],723,1833,,,Clergy - Church of England,,,,,
,[4/2173],723,1833,,,Clergy - Church of England,,,,"Marriage Returns (1); extracted list of 120 female convicts embarked on board the ship Kains for New South Wales, 5 July 1830, at [SRDocument No.115]; [note]",
,[4/2174.1],724,1833,,,Clergy - Church of England,,,,Marriage Returns (2); [note],
,[4/2174.2],724,1833,,,Clergy - Presbyterian,,,,Marriage Returns (1); [note],
,[4/2175.1],724,1833,,,Clergy - Presbyterian,,,,Marriage Returns (2); [note],
,[4/2175.2],724,1833,,,Clergy - Roman Catholic,,,,[note],
,[4/2176.1],,1833,,,Clerks of the Peace,,,,,
,[4/2176.2],,1833,,,Colonial Agent,,,,Minutes and Memoranda,
,[4/2176.3],,1833,,,Colonial Agent,,,,registered correspondence,
,[4/2177.1],,1833,,,Colonial Architect,,,,,
,[4/2177.2],,1833,,,Commissariat,,,,part 1 of 3 for 1833,
,[4/2178],,1833,,,Commissariat,,,,part 2 of 3 for 1833,
,[4/2179.1],,1833,,,Commissariat,,,,part 3 of 3 for 1833,
,[4/2179.2],2194,1833,,,Convicts - re Savings Bank accounts,,,,part 1 of 3 for 1833,
,[4/2179.3],,1833,,,Convicts - Assignment Board,,,,,
,[4/2180.1],2194,1833,,,Convicts - re Savings Bank accounts,,,,part 2 of 3 for 1833,
,[4/2180.2],2195,1833,,,Convicts - Ticket of leave applications,,,,part 1 of 2 for 1833,
,[4/2181.1],2195,1833,,,Convicts - re Savings Bank accounts,,,,part 3 of 3 for 1833,
,[4/2181.2],,1833,,,Poundkeepers,,,,,
,[4/2181.3],2195,1833,,,Convicts - Ticket of leave applications,,,,part 2 of 2 for 1833,
,[4/2182.1],2195,1833,,,Convicts - Miscellaneous,,,,,
,[4/2182.2],2195,1833,,,Convicts - Petitions,,,,part 1 of 2 for 1833,
,[4/2183],2195,1833,,,Convicts - Petitions,,,,part 2 of 2 for 1833,
,[4/2184],,1833,,,Convicts - Principal Superintendent,,,,part 1 of 4 for 1833,
,[4/2185],,1833,,,Convicts - Principal Superintendent,,,,part 2 of 4 for 1833,
,[4/2186],,1833,,,Convicts - Principal Superintendent,,,,part 3 of 4 for 1833,
,[4/2187],,1833,,,Convicts - Principal Superintendent,,,,part 4 of 4 for 1833,
,[4/2189.2],,1833,,,Councils,,,,,
,[4/2189.3],,1833,,,Court of Claims,,,,part 1 of 2 for 1833,
,[4/2189.4],,1833,,,Court of Claims,,,,part 2 of 2 for 1833,
,[4/2189.5],,1833,,,Court of Requests,,,,,
,[4/2190],,1833,,,Customs,,,,1832-33,
,[4/2191.1],,1833,,,Distilleries,,,,1827-33,
,[4/2191.2],,1833,,,Great Britain,Great Britain,,,- letters from/to Colonial Secretary,
,[4/2191.3],,1833,,,Female Factory,,,,,
,[4/2191.4],,1833,,,Government Printer,,,,,
,[4/2192.1],,1833,,,Harbour Master,,,,,
,[4/2193.1],,1833,,,Medical,,,,,
,[4/2193.2],,1833,,,Mineral Surveyor,,,,,
,[4/2193.3],2196,1833,,,Miscellaneous Persons A,,,,,
,[4/2194.1],2196,1833,,,Miscellaneous Persons B,,,,,
,[4/2194.2],2196,1833,,,Miscellaneous Persons C,,,,,
,[4/2194.3],2196,1833,,,Miscellaneous Persons D,,,,,
,[4/2194.4],2196,1833,,,Miscellaneous Persons E,,,,,
,[4/2195.1],2196,1833,,,Miscellaneous Persons F,,,,,
,[4/2195.2],2196,1833,,,Miscellaneous Persons G,,,,,
,[4/2195.3],2196,1833,,,Miscellaneous Persons H,,,,,
,[4/2195.4],2196,1833,,,Miscellaneous Persons J,,,,,
,[4/2195.5],2196,1833,,,Miscellaneous Persons K,,,,,
,[4/2196.1],2196,1833,,,Miscellaneous Persons L,,,,,
,[4/2196.2],2196,1833,,,Miscellaneous Persons M,,,,,
,[4/2196.3],2196,1833,,,Miscellaneous Persons N,,,,,
,[4/2196.4],2196,1833,,,Miscellaneous Persons O,,,,,
,[4/2196.5],2196,1833,,,Miscellaneous Persons P,,,,,
,[4/2196.6],2196,1833,,,Miscellaneous Persons Q,,,,,
,[4/2197.1],2197,1833,,,Miscellaneous Persons R,,,,,
,[4/2197.2],2197,1833,,,Miscellaneous Persons S,,,,,
,[4/2197.3],2197,1833,,,Miscellaneous Persons T,,,,,
,[4/2197.4],2197,1833,,,Miscellaneous Persons W,,,,,
,[4/2198.1],2197,1833,,,Miscellaneous Persons Y,,,,,
,[4/2198.2],,1833,,,Miscellaneous,,,,registered,
,[4/2198.3],,1833,,,Miscellaneous,,,,unregistered,
,[4/2199.1],,1833,,,Military,,,,in bundle 'Naval and Military',
,[4/2199.1],,1833,,,Naval,,,,in bundle 'Naval and Military',
,[4/2200],,1833,,,Norfolk Island,Norfolk Island,,,,
,[4/2201.1],,1833,,,Orphan Schools,,,,,
,[4/2201.2],,1833,,,Police,Bathurst,,,,
,[4/2201.3],,1833,,,Police,Bong Bong,,,,
,[4/2201.4],,1833,,,Police,Camden,,,,
,[4/2202.1],,1833,,,Police,Campbelltown,,,,
,[4/2202.2],,1833,,,Police,Goulburn,,,,
,[4/2202.3],,1833,,,Police,Patrick's Plains,,,,
,[4/2203.1],,1833,,,Police,Liverpool,,,,
,[4/2203.2],,1833,,,Police,Lumley,,,,
,[4/2203.3],,1833,,,Police,Maitland,,,,
,[4/2203.4],,1833,,,Police,Merton,,,,
,[4/2204.1],,1833,,,Police,Newcastle,,,,
,[4/2204.2],,1833,,,Police,Parramatta,,,,
,[4/2204.3],,1833,,,Police,Paterson,,,,
,[4/2204.4],,1833,,,Police,Penrith,,,,
,[4/2204.5],,1833,,,Police,Port Stephens,,,,
,[4/2205],,1833,,,Police,Sydney,,,1826-33,
,[4/2206.1],,1833,,,Police,Windsor,,,,
,[4/2206.2],,1833,,,Police,Wollongong,,,,
,[4/2206.3],,1833,,,Police,Windsor,,,"re Tolls, 1828-32",
,[4/2207 pt],826,1833,,,Moreton Bay,Moreton Bay,,,photocopies of various returns 1827-32 at COD225,
,[4/2207 pt],826,1833,,,Port Macquarie,Port Macquarie,,,photocopies of various convict returns at COD226; part 1 of 2 for 1833,
,[4/2208],,1833,,,Port Macquarie,Port Macquarie,,,part 2 of 2 for 1833,
,[4/2209],,1833,,,Postmaster General,,,,,
,[4/2210.1],,1833,,,Port Stephens,Port Stephens,,,,
,[4/2210.2],,1833,,,Collector of Internal Revenue,,,,,
,[4/2211],,1833,,,Sheriff and Gaolers,,,,part 1 of 2 for 1833,
,[4/2212],,1833,,,Sheriff and Gaolers,,,,part 2 of 2 for 1833,
,[4/2213],,1833,,,Surveyor General,,,,part 1 of 2 for 1833,
,[4/2214],,1833,,,Surveyor General,,,,part 2 of 2 for 1833,
,[4/2216],,1833,,,Supreme Court,,,,,
,[4/2217.1],,1833,,,Treasurer,,,,,
,[4/2218],,1833,,,Van Diemen's Land,Van Diemen's Land,,,,
,[4/2219.1],3706,1835,,,Aborigines,,,,1833-35,
,[4/2220.1],,1834,,,Archdeacon,,,,,
,[4/2221.1],,1834,,,Convicts - Assignment Board,,,,,
,[4/2221.2],,1834,,,Attorney General,,,,,
,[4/2222.1],,1834,,,Auditor General,,,,,
,[4/2222.2],,1834,,,Banks,,,,,
,[4/2222.3],,1834,,,Benevolent Society,,,,,
,[4/2222.4],,1834,,,Botanist,,,,,
,[4/2223.1],,1834,,,Carters Barracks,,,,part 1 of 2 for 1834,
,[4/2223.2],600,1834,,,Carters Barracks,,,,re boys at; part 2 of 2 for 1834,
,[4/2223.3],,1834,,,Church and School Estates,,,,,
,[4/2224.1],725,1834,,,Clergy - Roman Catholic,,,,[note],
,[4/2224.2],725,1834,,,Clergy - Church of England,Bathurst,,,[note],
,[4/2224.3],725,1834,,,Clergy - Church of England,Campbelltown,,,[note],
,[4/2224.4],725,1834,,,Clergy - Church of England,Castlereagh,,,[note],
,[4/2224.5],725,1834,,,Clergy - Church of England,Field of Mars,,,[note],
,[4/2225.1],725,1834,,,Clergy - Church of England,Hawkesbury,,,"in bundle 'Hawkesbury (Pitt Town, Sackville Reach, Wilberforce)'; [note]",
,[4/2225.1],725,1834,,,Clergy - Church of England,Pitt Town,,,"in bundle 'Hawkesbury (Pitt Town, Sackville Reach, Wilberforce)'; [note]",
,[4/2225.1],725,1834,,,Clergy - Church of England,Sackville Reach,,,"in bundle 'Hawkesbury (Pitt Town, Sackville Reach, Wilberforce)'; [note]",
,[4/2225.1],725,1834,,,Clergy - Church of England,Wilberforce,,,"in bundle 'Hawkesbury (Pitt Town, Sackville Reach, Wilberforce)'; [note]",
,[4/2225.2],725,1834,,,Clergy - Church of England,Illawarra,,,"in bundle 'Illawarra, Wollongong'; [note]",
,[4/2225.2],725,1834,,,Clergy - Church of England,Wollongong,,,"in bundle 'Illawarra, Wollongong'; [note]",
,[4/2225.3],725,1834,,,Clergy - Church of England,Liverpool,,,[note],
,[4/2225.4],725,1834,,,Clergy - Church of England,Maitland,,,[note],
,[4/2225.5],725,1834,,,Clergy - Church of England,Narellan,,,[note],
,[4/2225.6],725,1834,,,Clergy - Church of England,Newcastle,,,[note],
,[4/2225.7],725,1834,,,Clergy - Church of England,Parramatta,,,[note],
,[4/2226.1],726,1834,,,Clergy - Church of England,Port Macquarie,,,[note],
,[4/2226.2],726,1834,,,Clergy - Church of England,Sutton Forest,,,[note],
,[4/2226.3],726,1834,,,Clergy - Church of England,Sydney,,St James,[note],
,[4/2226.4],726,1834,,,Clergy - Church of England,Sydney,,St Philips,[note],
,[4/2226.5],726,1834,,,Clergy - Church of England,Richmond,,,in bundle 'Windsor & Richmond'; [note],
,[4/2226.5],726,1834,,,Clergy - Church of England,Windsor,,,in bundle 'Windsor & Richmond'; [note],
,[4/2226.6],,1834,,,Clergy - Church of England,Bathurst,,,- re erection of church at Bathurst (Kelso),
,[4/2226.6],,1834,,,Clergy - Church of England,Kelso,,,- re erection of church at Bathurst (Kelso),
,[4/2227],,1834,,,Commissariat,,,,,
,[4/2228.1],726,1834,,,Clergy - Presbyterian,,,,[note],
,[4/2228.2],,1834,,,Councils,,,,,
,[4/2228.3],,1834,,,Court of Claims,,,,,
,[4/2229],,1834,,,Convicts - Principal Superintendent,,,,part 1 of 4 for 1834,
,[4/2230],,1834,,,Convicts - Principal Superintendent,,,,part 2 of 4 for 1834,
,[4/2231],,1834,,,Convicts - Principal Superintendent,,,,part 3 of 4 for 1834,
,[4/2232],,1834,,,Convicts - Principal Superintendent,,,,part 4 of 4 for 1834,
,[4/2233.1],,1834,,,Court of Requests,,,,,
,[4/2233.2],,1834,,,Crown Solicitor,,,,,
,[4/2233.3],,1834,,,Solicitor General,,,,,
,[4/2233.4],,1834,,,Emigration,,,,,
,[4/2233.5],2197,1834,,,Emigrants Friend Society,,,,,
,[4/2234.1],,1834,,,Estimates,,,,- Stationery,
,[4/2234.2],,1834,,,Estimates,,,,- Printed forms,
,[4/2234.3],,1834,,,Estimates,,,,- Departmental expenditure,
,[4/2234.4],,1834,,,Estimates,,,,"- copies of ""Burns Justice"" required",
,[4/2234.5],,1834,,,Female Factory,,,,,
,[4/2235.2],,1834,,,Customs,,,,,
,[4/2235.3],,1834,,,Distilleries,,,,,
,[4/2235.4],,1834,,,Government Printer,,,,,
,[4/2236.1],,1834,,,Harbour Master,,,,,
,[4/2237.2],,1834,,,Inspector of Slaughter Houses,,,,,
,[4/2237.3],743,1834,,,Lunatic Asylum,,,,,
,[4/2237.4],,1834,,,Medical,,,,,
,[4/2238.1],,1834,,,Military,,,,in bundle 'Military and Mounted Police',
,[4/2238.1],,1834,,,Police,,,,- Mounted; in bundle 'Military and Mounted Police',
,[4/2238.2],2197,1834,,,Miscellaneous Persons A,,,,,
,[4/2238.3],2197,1834,,,Miscellaneous Persons B,,,,,
,[4/2238.4],2197,1834,,,Miscellaneous Persons C,,,,,
,[4/2239.1],2198,1834,,,Miscellaneous Persons D,,,,,
,[4/2239.2],2198,1834,,,Miscellaneous Persons E,,,,,
,[4/2239.3],2198,1834,,,Miscellaneous Persons F,,,,,
,[4/2239.4],2198,1834,,,Miscellaneous Persons G,,,,,
,[4/2239.5],2198,1834,,,Miscellaneous Persons H,,,,,
,[4/2239.6],,1834,,,Miscellaneous,,,,unregistered,
,[4/2240.2],2198,1834,,,Miscellaneous Persons I,,,,"in bundle 'Miscellaneous Persons I, J'",
,[4/2240.2],2198,1834,,,Miscellaneous Persons J,,,,"in bundle 'Miscellaneous Persons I, J'",
,[4/2240.3],2198,1834,,,Miscellaneous Persons K,,,,,
,[4/2240.4],2198,1834,,,Miscellaneous Persons L,,,,,
,[4/2240.5],2198,1834,,,Miscellaneous Persons M,,,,,
,[4/2241.1],2198,1834,,,Miscellaneous Persons N,,,,,
,[4/2241.2],2198,1834,,,Miscellaneous Persons O,,,,,
,[4/2241.3],2198,1834,,,Miscellaneous Persons P,,,,,
,[4/2241.4],2198,1834,,,Miscellaneous Persons R,,,,,
,[4/2241.5],2198,1834,,,Miscellaneous Persons S,,,,,
,[4/2242.1],2198,1834,,,Miscellaneous Persons T,,,,,
,[4/2242.2],2198,1834,,,Miscellaneous Persons V,,,,,
,[4/2242.3],2198,1834,,,Miscellaneous Persons W,,,,,
,[4/2242.4],,1834,,,Miscellaneous,,,,registered,
,[4/2243],,1834,,,Norfolk Island,Norfolk Island,,,1831-32; part 1 of 2 for 1834,
,[4/2244.1],,1834,,,Norfolk Island,Norfolk Island,,,1833-35; part 2 of 2 for 1834,
,[4/2244.2],2199,1834,,,Norfolk Island,Norfolk Island,,,"including petitions, 1834-35; part 1 of 2 for 1834",
,[4/2245],2199,1834,,,Norfolk Island,Norfolk Island,,,"including petitions, 1832-35; part 2 of 2 for 1834",
,[4/2246.1],,1834,,,Moreton Bay,Moreton Bay,,,,
,[4/2246.2],,1834,,,New Zealand,New Zealand,,,,
,[4/2246.3],,1834,,,Orphan School - Female,,,,,
,[4/2246.4],,1834,,,Orphan School - Male,,,,,
,[4/2247],2199,1834,,,Petitions,,,,,
,[4/2248],2200,1834,,,Petitions,,,,,
,[4/2249.1],,1834,,,Police,Argyle,,,,
,[4/2249.2],,1834,,,Police,Bathurst,,,,
,[4/2249.3],,1834,,,Police,Bong Bong,,,,
,[4/2249.4],,1834,,,Police,Brandon,,,,
,[4/2249.5],,1834,,,Police,Brisbane Water,,,,
,[4/2249.6],,1834,,,Police,Campbelltown,,,,
,[4/2250.1],,1834,,,Police,Cassilis,,,,
,[4/2250.2],,1834,,,Police,Cox's River,,,,
,[4/2250.3],,1834,,,Police,Dungog,,,,
,[4/2250.4],,1834,,,Police,Glendon,,,,
,[4/2250.5],,1834,,,Police,Goulburn,,,,
,[4/2250.6],,1834,,,Police,Invermein,,,,
,[4/2250.7],,1834,,,Police,Lake George,,,,
,[4/2251.1],,1834,,,Police,Liverpool,,,,
,[4/2251.2],,1834,,,Police,Maitland,,,,
,[4/2251.3],,1834,,,Police,Merton,,,,
,[4/2251.4],,1834,,,Police,Newcastle,,,,
,[4/2252.1],,1834,,,Police,Parramatta,,,,
,[4/2252.2],,1834,,,Police,Paterson,,,,
,[4/2252.3],,1834,,,Police,Patrick's Plains,,,,
,[4/2252.4],,1834,,,Police,Penrith,,,,
,[4/2252.5],,1834,,,Police,Port Stephens,,,,
,[4/2252.6],,1834,,,Police,Stonequarry,,,,
,[4/2252.7],,1834,,,Police,Strathalan,,,,
,[4/2252.8],,1834,,,Police,Mount Clarence,,,,
,[4/2253],,1834,,,Police,Sydney,,,,
,[4/2254.1],,1834,,,Police,Windsor,,,,
,[4/2254.2],,1834,,,Police,Wingello,,,,
,[4/2254.3],,1834,,,Police,Wollongong,,,,
,[4/2254.4],,1834,,,Police,Yass,,,,
,[4/2254.5],,1834,,,Police,,,,- returns of arms and ammunition,
,[4/2255],,1834,,,Surveyor General,,,,"letters transmitting descriptions of land, including the enclosures, 1832-35",
,[4/2256.1],826,1834,,,Port Macquarie,Port Macquarie,,,photocopies of various convict returns 1833-34 at COD226,
,[4/2256.2],,1834,,,Supreme Court,,,,,
,[4/2257],,1834,,,Postmaster General,,,,,
,[4/2259.1],,1834,,,Collector of Internal Revenue,,,,,
,[4/2259.2],,1834,,,Treasurer,,,,,
,[4/2260],,1834,,,Sheriff,,,,part 1 of 2 for 1834,
,[4/2261],,1834,,,Sheriff,,,,part 2 of 2 for 1834,
,[4/2262],,1834,,,Surveyor General,,,,part 1 of 2 for 1834,
