,Place,Description,Date,Copy,Page,Citation,Remarks,RecordType,
,Callan Park,"Hospital. Chapel, kitchen, male and female dining rooms of the Resident and Medical Officers Wing",18 September 1877,-,-,4335 [Plan 2179],Colonial Architect Plan No. A4076,"Appendix B: Architectural Plans, 1848-1967",
,Callandoon,Court and Watch House,1859,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,Camden,Court and Watch House,1855-57,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,Camden,Lock-up,1859-61,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,Camden,Roman Catholic Church,1859,-,-,4332 [2/641],-,"Appendix A: Correspondence, c.1837-96",
,Camden,Bridge,1857,-,-,4332 [2/641],-,"Appendix A: Correspondence, c.1837-96",
,Campbelltown,Court House,"1857, 1863",-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,Campbelltown,Gaol,1860-65,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,Campbelltown,Lock-up,1851-54,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,Campbelltown,"Police Station, Colo and Bells Line Roads",1862,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,Campbelltown,National School (from the Designs of Public Buildings series),1837,Reel 2660,-,4334 [X693],-,"Appendix C: Designs of public buildings, 1837",
,Campbelltown,Lock-up (from the Designs of Public Buildings series),1837,Reel 2660,-,4334 [X694],-,"Appendix C: Designs of public buildings, 1837",
,Camperdown,"Toll House, Parramatta Road",1859-62,-,-,4332 [2/641],-,"Appendix A: Correspondence, c.1837-96",
,Camperdown,Post Office,-,-,4,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Candelo,Soldiers’ Memorial (obelisk),1921,-,2,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Canonba,Lock-up,1863-64,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,Canterbury,Canterbury Sugar Mill - proposed as premises for a juvenile reformatory,1862-66,-,-,4332 [2/640A],-,"Appendix A: Correspondence, c.1837-96",
,Carcoar,"Court House. Proposed yards, closets etc.  Ground plan, sections and elevation",1880,-,-,4335 [Plan 706],Colonial Architect Plan No. PC115/01,"Appendix B: Architectural Plans, 1848-1967",
,Carcoar,Bridge,1855-56,-,-,4332 [2/8155],-,"Appendix A: Correspondence, c.1837-96",
,Carcoar,Court House,1841-66,-,-,4332 [2/8155],-,"Appendix A: Correspondence, c.1837-96",
,Carcoar,Escort Station,1864,-,-,4332 [2/8155],-,"Appendix A: Correspondence, c.1837-96",
,Carcoar,Hospital,1859,-,-,4332 [2/8155],-,"Appendix A: Correspondence, c.1837-96",
,Carcoar,Police Office,1850,-,-,4332 [2/8155],-,"Appendix A: Correspondence, c.1837-96",
,Carcoar,Police Paddock,-,-,-,4332 [2/8155],-,"Appendix A: Correspondence, c.1837-96",
,Carcoar,Presbyterian Church,1863-65,-,-,4332 [2/8155],-,"Appendix A: Correspondence, c.1837-96",
,Carcoar,Court House,-,-,218,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Carcoar,"Proposed Soldiers’ Memorial, amended design",c.1922,-,78,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Carrington,Post and Telegraph Office,-,-,66,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Carters Barracks,Carter’s Barracks,1848-66,-,-,4332 [2/640A],-,"Appendix A: Correspondence, c.1837-96",
,Carters Barracks,Erection of Mounted Patrol Barracks & Stables,1851-56,-,-,4332 [2/632],-,"Appendix A: Correspondence, c.1837-96",
,Casino,Casino District Hospital,-,-,102,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Casino,Court House and Watch House,1853-66,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,Casino,Lock-up,1853-66,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,Casino,Police Paddock,1853-66,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,Cassilis,"Court and Watch House. Plans, sections and elevations of proposed additions",1879,-,-,4335 [Plan 708],Colonial Architect Plan No. PC123/03,"Appendix B: Architectural Plans, 1848-1967",
,Cassilis,"Court and Watch House. Plans, sections and elevations of proposed additions",1879,-,-,4335 [Plan 710],Colonial Architect Plan No. PC123/05,"Appendix B: Architectural Plans, 1848-1967",
,Cassilis,"Police Quarters. To be erected on site of old building.  Ground plan, sections and elevations",1890,-,-,4335 [Plan 707],Colonial Architect Plan No. PC123/02. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Cassilis,"Police Quarters. To be erected on site of old building.  Ground plan, sections and elevations",1889,-,-,4335 [Plan 709],Colonial Architect Plan No. PC123/04,"Appendix B: Architectural Plans, 1848-1967",
,Cassilis,Court House,-,-,229,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Cassilis,Court and Watch House and Lock-up,1856-61,-,-,4332 [2/584],see also Dalkeith,"Appendix A: Correspondence, c.1837-96",
,Castle Hill,Public School and Teacher’s Residence,1878,-,-,4338 [X14],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Castlereagh,School and Residence,1878,-,-,4338 [X14],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Castlereagh River,Court and Watch House,1853-56,-,-,4332 [2/584],"eg. Mundooran, Dubbo, Coonabarabran","Appendix A: Correspondence, c.1837-96",
,Cessnock,Mental Hospital. Plan showing crossings and ducts for high temperature hot water reticulation (2 copies),November 1960,-,-,"4335 [Plan 2293, 2294]","Colonial Architect Plan No. MH13/11, MH13/12","Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Details of concrete pits and ducts for high temperature hot water,November 1960,-,-,4335 [Plan 2295],Colonial Architect Plan No. MH13/154,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. H.T.H.W. Grading Diagram (2 sheets),July 1961,-,-,4335 [Plan 2296],Colonial Architect Plan No.,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Nurses Home Stage 1.  Engineering services sheet 1; hot water systems,February 1961,-,-,4335 [Plan 2297],Colonial Architect Plan No. 1/6771,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Nurses Home Stage 1.  Engineering services sheet 2; radiation diagrammatics,February 1961,-,-,4335 [Plan 2298],Colonial Architect Plan No. 1/6772,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Treatment and Administrative Wings.  Engineering services; radiation diagrammatics,February 1961,-,-,4335 [Plan 2299],Colonial Architect Plan No. 1/6773,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Female Admission Wing.  Engineering services,-,-,-,4335 [Plan 2300],Colonial Architect Plan No. 1/6774,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Male Continued Treatment Wing.  Engineering services,February 1961,-,-,4335 [Plan 2301],Colonial Architect Plan No. 1/6775,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Geriatric Ward Block (Female).  Engineering services,February 1961,-,-,4335 [Plan 2302],Colonial Architect Plan No. 1/6776,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Office Block.  Engineering services,February 1961,-,-,4335 [Plan 2303],Colonial Architect Plan No. 1/6777,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,"Mental Hospital. N.T. School, Cafe, Morgue, Workshop.  Engineering services",February 1961,-,-,4335 [Plan 2304],Colonial Architect Plan No. 1/6778,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,"Mental Hospital. Miscellaneous, Admission Block.  Engineering services",February 1961,-,-,4335 [Plan 2305],Colonial Architect Plan No. 1/6779,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Kitchen.  Engineering services,February 1961,-,-,4335 [Plan 2306],Colonial Architect Plan No. 1/6780,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Laundry.  Engineering services,February 1961,-,-,4335 [Plan 2307],Colonial Architect Plan No. 1/6781,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Heating system details,February 1961,-,-,4335 [Plan 2308],Colonial Architect Plan No. 1/6782,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Tank details,February 1961,-,-,4335 [Plan 2309],Colonial Architect Plan No. 1/6783,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Heat exchangers,February 1961,-,-,4335 [Plan 2310],Colonial Architect Plan No. 1/6784,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,"High School, Assembly Hall (interior)",-,-,139,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Cessnock,"Mental Hospital. Urns, drying cabinets and unit heaters",February 1961,-,-,4335 [Plan 2311],Colonial Architect Plan No. 1/6785,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Hospital Administration Block,-,-,154,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Cessnock,Mental Hospital. Typical plant room arrangement,February 1961,-,-,4335 [Plan 2312],Colonial Architect Plan No. 1/6786,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Site plan,February 1961,-,-,4335 [Plan 2313],Colonial Architect Plan No. 1/6787,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Engineering services symbols,February 1961,-,-,4335 [Plan 2314],Colonial Architect Plan No. 1/6858,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,"Mental Hospital. Mechanical ventilation for kitchens and laundry, and exhaust systems",February 1961,-,-,4335 [Plan 2315-6],Colonial Architect Plan No. 3/1147-8,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,"Mental Hospital. Site plan, mechanical ventilation",February 1961,-,-,4335 [Plan 2317],Colonial Architect Plan No. 3/1149,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Nurses Home kitchen exhaust plant,February 1961,-,-,4335 [Plan 2318],Colonial Architect Plan No. 3/1229,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,Mental Hospital. Exhaust from observation wards,February 1961,-,-,4335 [Plan 2319],Colonial Architect Plan No. 4/1229,"Appendix B: Architectural Plans, 1848-1967",
,Cessnock,"Mental Hospital. Exhaust systems, male and female admission single rooms",-,-,-,4335 [Plan 2320],Colonial Architect Plan No. 6/1229,"Appendix B: Architectural Plans, 1848-1967",
,Charlestown,Public School,1878,-,-,4338 [X14],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Chatsworth Island,Soldiers’ Memorial,1921,-,23,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,"City View, Ryde",School and Residence,1876,-,-,4338 [X14],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Clarence River,Boat Pier,1855-56,-,-,4332 [2/641],-,"Appendix A: Correspondence, c.1837-96",
,Clarence River,Pilot Station,1854,-,-,4332 [2/641],-,"Appendix A: Correspondence, c.1837-96",
,Clarence Town,Court and Watch House and Police Office,1852-57,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,Clifton,Post Office,-,-,81,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Clwyd,Court House (from the Designs of Public Buildings series),1837,Reel 2660,-,4334 [X693],-,"Appendix C: Designs of public buildings, 1837",
,Clwyd,Court House (from the Designs of Public Buildings series),1837,Reel 2660,-,4334 [X694],-,"Appendix C: Designs of public buildings, 1837",
,Cobar,"Public School. Plan, elevations and sections of new school building",1901,-,-,4335 [Plan 1034],Colonial Architect Plan No. SB365/4,"Appendix B: Architectural Plans, 1848-1967",
,Cobar,"Public School. Plan, elevations and sections, of proposed infants department",1886,-,-,4335 [Plan 1035],Colonial Architect Plan No. SB423/12,"Appendix B: Architectural Plans, 1848-1967",
,Cobargo,Post Office,-,-,33,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Cockatoo Island,Fitzroy Dry Dock,1861-64,-,-,4332 [2/592],-,"Appendix A: Correspondence, c.1837-96",
,Cockatoo Island,"Plans, sections and elevations of buildings (This plan does not have any Colonial Architect markings, however, it does have an “O/2” registration similar to the type used in the Colonial Architect’s Office during the last century)",n.d.,-,-,4335 [Plan (formerly X945) 2008],Colonial Architect Plan No.,"Appendix B: Architectural Plans, 1848-1967",
,"Cockatoo Island, Port Jackson",Fitzroy Dry Dock,1861-64,-,-,4332 [2/592],-,"Appendix A: Correspondence, c.1837-96",
,"Cockatoo Island, Port Jackson",Repairs to buildings,1866,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,Coffs Harbour,Forestry Office,1941,-,155,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Collector,Watch House,1850-57,-,-,4332 [2/585],-,"Appendix A: Correspondence, c.1837-96",
,Collie,Soldiers’ Memorial,1923,-,46,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Colo,Police Barracks,1863-65,-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Concord,"Proposed pavilion, Concord Park",1921,-,27,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Concord,Police Stables,"1848, 1862",-,-,4332 [2/602],Also Longbottom,"Appendix A: Correspondence, c.1837-96",
,Concord,Watch House (from the Designs of Public Buildings series),1837,Reel 2660,-,4334 [X694],-,"Appendix C: Designs of public buildings, 1837",
,Condamine,Court and Watch House,"1853, 1858-59",-,-,4332 [2/641],-,"Appendix A: Correspondence, c.1837-96",
,Condobolin,Court House and Police Officers’ Quarters,-,-,"57, 59",4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Condobolin,"Lock-up, Gaol and Keeper’s Quarters",-,-,"57, 59",4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Condobolin,Court House and Watch House. Plan of Court House and lockup stables for repairs showing additional fencing,1890,-,-,4335 [Plan 728],Colonial Architect Plan No. PC139/01,"Appendix B: Architectural Plans, 1848-1967",
,Condobolin,"Lock-up, Watch House and Gaol",1860-61,-,-,4332 [2/588],-,"Appendix A: Correspondence, c.1837-96",
,Condobolin,"Court House and Watch House. Ground plan, roof plan, stable plan, plan of closets and kitchen, elevations and sections",-,-,-,4335 [Plan 729],Colonial Architect Plan No. PC139/02,"Appendix B: Architectural Plans, 1848-1967",
,Condobolin,"Court House and Watch House. Ground floor plan, section and elevations showing proposed alterations and additions",1881,-,-,4335 [Plan 730],Colonial Architect Plan No. PC139/03. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Cooks River,"Lock-up. Proposed ground plan, sections and elevations",1880,-,-,4335 [Plan 731],Colonial Architect Plan No. PC140/1,"Appendix B: Architectural Plans, 1848-1967",
,Cook’s River,Dam,1849-51,-,-,4332 [2/8152],-,"Appendix A: Correspondence, c.1837-96",
,Coolamon,Soldiers’ Memorial,c.1921,-,13,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Cooma,Gaol,-,-,225,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Cooma,Gaol and Court House,1850-66,-,-,4332 [2/588],-,"Appendix A: Correspondence, c.1837-96",
,Cooma,"Police Buildings. Ground plan of proposed officers’ quarters, revised plan of additions showing roof plan, section and elevation",1878,-,-,4335 [Plan 732],Colonial Architect Plan No. PC146/4,"Appendix B: Architectural Plans, 1848-1967",
,Coonabarabran,Soldiers’ Memorial Clock Tower,1921,-,98,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Coonabarabran,Court and Watch House,1857-64,-,-,4332 [2/588],-,"Appendix A: Correspondence, c.1837-96",
,Coonamble,Public buildings,1884,-,224,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Coonamble,Gaol,-,-,227,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Coonamble,Court House,1884,-,"225, 227",4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Coonamble,Post Office,1884,-,226,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Coonamble,Court and Watch House,1862-66,-,-,4332 [2/588],-,"Appendix A: Correspondence, c.1837-96",
,Coonamble,"Court and Watch House. Proposed ground plan, elevations and sections",-,-,-,4335 [Plan 749],Colonial Architect Plan No. PC149/02,"Appendix B: Architectural Plans, 1848-1967",
,Coonamble,Police Station,-,-,-,4332 [2/588],-,"Appendix A: Correspondence, c.1837-96",
,Coonamble,"Court and Watch House. Plan showing alteration of Court House to a gaol, giving ground plan, elevations and sections",1879,-,-,4335 [Plan 733],Colonial Architect Plan No. PC149/01,"Appendix B: Architectural Plans, 1848-1967",
,Coonamble,Police Station,1862-63,-,-,4332 [2/620],-,"Appendix A: Correspondence, c.1837-96",
,Cootamundra,Proposed Trachyte Soldiers’ Memorial,c.1921,-,15,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Cootamundra,Court House,c.1936,-,215,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Cootamundra,Training Home for Girls,-,-,103,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Cootamundra,"Police Barracks. Plan, elevations and sections showing additions.  Main building and kitchen erected 1877; addition each side of kitchen 1900, stable 1901",-,-,-,4335 [Plan 734],Colonial Architect Plan No. PC154/13,"Appendix B: Architectural Plans, 1848-1967",
,Cootamundra,Lock-up,1864-66,-,-,4332 [2/588],-,"Appendix A: Correspondence, c.1837-96",
,Copmanhurst (Upper Clarence),Soldiers’ Memorial,1925,-,98,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Coramba,Court House and Police Station,-,-,77,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Corowa,"War Memorial, Competitive design","1920, c.1921",-,"22, 25, 38, 53",18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Corowa,Court House,1863-66,-,-,4332 [2/641],-,"Appendix A: Correspondence, c.1837-96",
,Corowa,Police Station,1862-63,-,-,4332 [2/620],-,"Appendix A: Correspondence, c.1837-96",
,Corrimal,Memorial Gates,1922,-,50,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Cowra,Police buildings,-,-,156,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Cowra,"Court House. Plan, elevations and sections of proposed Court House",1877,-,-,4335 [Plan 735],Colonial Architect Plan No. PC157/01,"Appendix B: Architectural Plans, 1848-1967",
,Cowra,"Court House. Plans, elevations and section of proposed additions",1880,-,-,4335 [Plan 736],Colonial Architect Plan No. PC157/02,"Appendix B: Architectural Plans, 1848-1967",
,Cowra,"Court House. Plans, elevations and sections of horse shed fencing and gates",1882,-,-,4335 [Plan 740],Colonial Architect Plan No. PC157/06,"Appendix B: Architectural Plans, 1848-1967",
,Cowra,Court and Watch House,1857-66,-,-,4332 [2/588],-,"Appendix A: Correspondence, c.1837-96",
,Cowra,"Lock-up. Plan, elevations and sections showing alterations and additions",-,-,-,4335 [Plan 741],Colonial Architect Plan No. PC157/07,"Appendix B: Architectural Plans, 1848-1967",
,Cowra,Escort Station,1864,-,-,"4332 [2/584, 2/8155]",-,"Appendix A: Correspondence, c.1837-96",
,Cowra,"Lock-up. Plan, elevations and sections showing alterations and additions",-,-,-,4335 [Plan 742],Colonial Architect Plan No. PC157/08,"Appendix B: Architectural Plans, 1848-1967",
,Cowra,Lock-up,1857-66,-,-,4332 [2/588],-,"Appendix A: Correspondence, c.1837-96",
,Cowra,"Lock-up. Ground floor plan, roof plan, elevations and sections showing additions and alterations",1885,-,-,4335 [Plan 738],Colonial Architect Plan No. PC157/04,"Appendix B: Architectural Plans, 1848-1967",
,Cowra,"Police Buildings. Plans, elevations and sections of kitchen and straw store",1886,-,-,4335 [Plan 737],Colonial Architect Plan No. PC157/03,"Appendix B: Architectural Plans, 1848-1967",
,Cowra,"Police Buildings. Plans, elevations and sections of police quarters",-,-,-,4335 [Plan 739],Colonial Architect Plan No. PC157/05,"Appendix B: Architectural Plans, 1848-1967",
,Cowra,"Police Buildings. Plan, elevations and sections of police officer’s quarters (erected 1885)",-,-,-,4335 [Plan 743],Colonial Architect Plan No. PC157/09,"Appendix B: Architectural Plans, 1848-1967",
,Cowra,"Public School. Plans, elevations and sections of additions",1881,-,-,4335 [Plan 1036],Colonial Architect Plan No. SB423/13,"Appendix B: Architectural Plans, 1848-1967",
,Crookwell,"Court House. Plans, elevations and sections of proposed verandah and fencing",1881,-,-,4335 [Plan 744],Colonial Architect Plan No. PC161/7,"Appendix B: Architectural Plans, 1848-1967",
,Crookwell,"Court House. Plan, elevations and sections of proposed additions",1880,-,-,4335 [Plan 745],Colonial Architect Plan No. PC161/8,"Appendix B: Architectural Plans, 1848-1967",
,Crookwell,"Court House. Plan, elevations and sections of proposed additions",1880,-,-,4335 [Plan 746],Colonial Architect Plan No. PC161/9,"Appendix B: Architectural Plans, 1848-1967",
,Crookwell,"Court House. Plan, elevations and sections",1888,-,-,4335 [Plan 751],Colonial Architect Plan No. PC161/10,"Appendix B: Architectural Plans, 1848-1967",
,Crookwell,Soldiers’ Memorial park gates,1922,-,64,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Cucumbark,School,-,-,131,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Cudal,"Court House and Lock Up. Plans, elevations and sections of proposed Court House and Lock up",1883,-,-,4335 [Plan 747],Colonial Architect Plan No. PC163/01,"Appendix B: Architectural Plans, 1848-1967",
,Cudal,"Court House and Lock Up. Plans, elevations and sections",1884,-,-,4335 [Plan 748],Colonial Architect Plan No. PC163/02,"Appendix B: Architectural Plans, 1848-1967",
,Cudal,Court House and Lock-up,-,-,32,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Cudal,Post and Telegraph Office,-,-,32,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Cumnock,Court House and Police Station,-,-,60,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Cundletown,"Court and Watch House, furniture",1860,-,-,4332 [2/588],-,"Appendix A: Correspondence, c.1837-96",
,Dalby,Court House and Lock-up,1857-59,-,-,4332 [2/588],-,"Appendix A: Correspondence, c.1837-96",
,Dalkeith,Court and Watch House,"1841, 1849-55",-,-,4332 [2/642A],also Ailsa,"Appendix A: Correspondence, c.1837-96",
,Darling Harbour,"Section showing levels of streets intersecting the Road to tunnel proposed to form a communication between Argyle Street and Darling Harbour, 1856?  Bears the Colonial Architect’s Stamp, 31 December 18(55 or 56), no.228.",1897,-,-,4335 [Plan 2347],Mitchell Library No. XVI ST ARG C 1,Appendix G: Archival estrays in the Mitchell Library including those transferred to the Archives Office,
,Darlinghurst,Court House,1845-58,-,-,4332 [2/641],-,"Appendix A: Correspondence, c.1837-96",
,Darlinghurst,Court House. Specification of privies to be constructed,-,-,-,4332 [2/8165],-,"Appendix A: Correspondence, c.1837-96",
,Darlinghurst,Gaol,1854-59,-,-,4332 [2/641],-,"Appendix A: Correspondence, c.1837-96",
,Darlinghurst,Gaol,1865,-,-,4332 [*** ],(In general bundle),"Appendix A: Correspondence, c.1837-96",
,Darlinghurst,Gaol. Correspondence,1853-64,-,-,4332 [2/589A],-,"Appendix A: Correspondence, c.1837-96",
,Darlinghurst,Gaol. Returns,1859-64,-,-,4332 [2/589B],-,"Appendix A: Correspondence, c.1837-96",
,Darlinghurst,Gaol. Watch House,1847-55,-,-,4332 [2/589B],-,"Appendix A: Correspondence, c.1837-96",
,Darlinghurst,Gaol. Sewerage Plan,-,-,-,4335 [Plan 752],Colonial Architect Plan No. PC177/30,"Appendix B: Architectural Plans, 1848-1967",
,Darlinghurst,Tread mill,"1847-51, 1853",-,-,4332 [2/641],-,"Appendix A: Correspondence, c.1837-96",
,Darlinghurst,Gaol. Plan showing drainage,-,-,-,4335 [Plan 753],Colonial Architect Plan No. PC177/32,"Appendix B: Architectural Plans, 1848-1967",
,Darlinghurst,Gaol. Ground plan,1885,-,-,4335 [Plan 754],Colonial Architect Plan No. PC177/33,"Appendix B: Architectural Plans, 1848-1967",
,Darlinghurst,"Police Station. Proposal plans, elevations and sections",-,-,-,4335 [Plan 755],"Colonial Architect Plan No. PC177/57. Signature of architect (traced from damaged negative, signed W.L. Vernon, 17/7/98) appears on the plan","Appendix B: Architectural Plans, 1848-1967",
,Darlinghurst,Court House. On lower right-hand corner is written “Colonial Architect’s Office 22 June 1834 Ambrose Hallen”.,1897,-,-,4335 [Plan 2341],Mitchell Library No. VI PUB CT.H 1,Appendix G: Archival estrays in the Mitchell Library including those transferred to the Archives Office,
,Darlinghurst,"Aerial view; technical college, Court house",-,-,134,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Darlinghurst,Fire Station,-,-,115,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Darlington,Fencing,1880,-,-,4338 [X14],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Dawes Point,Improvements to Reserve. Drawing office No. 1773,15 June 1905,-,-,4335 [Plan GA3107 1759],Colonial Architect Plan No. Misc.273/4. Signature of architect (Vernon)  appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dawes Point,Showing proposed North Sydney Bridge. Drawing Office No. 1368,24 September 1902,-,-,4335 [Plan GA3106 1760],Colonial Architect Plan No. Misc.273/5. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dawes Point,Site for Royal Mint (Sydney Branch). Plan showing some contour lines and spot levels,11 October 1907,-,-,4335 [Plan GA3105 1761],Colonial Architect Plan No. Misc.273/6. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dawes Point,Site for Royal Mint (Sydney Branch). Proposed site and its utilisation.  Lately used for military purposes.  Drawing office No. 29 1464,25 May 1906,-,-,4335 [Plan GA3109 1757],Colonial Architect Plan No. 273/2. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dawes Point,Site for Royal Mint (Sydney Branch). Proposed site. Drawing office No. 11 3393,27 July 1911,-,-,4335 [Plan GA3110 1756],Colonial Architect Plan No. Misc.273/1. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dawes Point,"Battery. Plans, elevations and sections of boat shade, cupboards, forge etc.",6 April 1894,-,-,4335 [Plan GA 1404 1762],Colonial Architect Plan No. Misc.273/7 B183. Signature of architect (signed D.W. St. D.O.N.) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dawes Point,-,-,-,-,-,"see also Sydney, Royal Mint","Appendix B: Architectural Plans, 1848-1967",
,Dawes Point,"Battery. Additions and alterations.  Ground plan, chamber plan, lookout plan",28 March 1912,-,-,4335 [Plan GA1403 1763],Colonial Architect Plan No. Misc.273/8. Signature of architect (Geo. McRae) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dawes Point,"Battery. Engine Room, Smiths and Carpenters Workshop and clothing store",12 January 1893,-,-,4335 [Plan GA1402 1764],"Colonial Architect Plan No. Misc.273/9 (A.16, B619). Signature of architect (H.W. Renny - Tailyour R.E., Colonel Commanding Engineers, Military Forces) appears on the plan","Appendix B: Architectural Plans, 1848-1967",
