Date,Surname,FirstName,Station,Description,Citation,Remarks
1845,Boyd & Co,,Condoblin,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 74",Superintendent: J B Daniels.
1845,Boyd & Co,,Wambangolang,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 72",Superintendent: J Jardine.
1844,Boyd & McGill,,Burnambeet,Forster Fyans Normanby November 1844,"NRS 1391 [X690]; Reel 2756, Page 31",Superintendent:  Nil.
1 July 1845,Boyd & McGill,,Burnambeet,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 39",Superintendent: George Thomson.
1844,Boyd & McGill R A,,Burnambeet,Foster Fyans Portland Bay April 1844,"NRS 1391 [X690]; Reel 2756, Page 16",Superintendent:  Boyd & McGill R A.
1846,Boyd McGill & Co,,Burnambeet,January 1846 Half Yearly Return of Population and Livestock district of Portland Bay situated adjoining county of Grant & Normanby and bounded on the north by Western Port District on the east by the Sea Coast on the south by the Glenelg river and the sea,"NRS 1391 [X691]; Reel 2756, Page 7",Superintendent: Geo Thomson.
1844,Boyde,A,Newton Boyde,Lawrence Vance Dalhunty Bathurst and Wellington,"NRS 906 [X813]; Reel 2748-2749, Page 34",Superintendent: J Duncan.
1846,Boyde,B,Mating and Snowy River,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 42",Superintendent: John McTaggart.
1846,Boyde,B,Mafra,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 42",Superintendent: John McTaggart.
8 April 1844,Boyde,Benjamin,Walla Walla,Lachlan Dstirct from 1 March 1847-1 March 1848 County of King Edgar Beckham esq,"NRS 906 [X811]; Reel 2748-2749, Page 45",Superintendent: George Berther.
8 April 1844,Boyde,Benjamin,Jemalong,Lachlan Dstirct from 1 March 1847-1 March 1848 County of King Edgar Beckham esq,"NRS 906 [X811]; Reel 2748-2749, Page 45",Superintendent: George Berther.
1844,Boye,L S & Confry,Sedcourt,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 34",Superintendent: P F Sheppeard.
1848,Boyiten,B,Garothing,Wellington & Bathurst,"NRS 906 [X817]; Reel 2748-2749, Page 16",Superintendent: Mr Moore.
1843,Boyle,B,Geelgo,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 60",Superintendent: A Carmel.
1839,Boyne,Mary Mrs,Mowenbar,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 18",Superintendent: John Gow.
1839,Boyne,Owen,Nowemben,John Lambie Counties of St Vincent and Murray,"NRS 906 [X815]; Reel 2748-2749, Page 15",Superintendent: John Gow.
1845,Bradley,W,Munthyong,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 45",Superintendent:  Nil.
1844,Bradley,W,Bullangarnang,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 32",Superintendent: P Morrison.
1846,Bradley,William,Coomer and Bingura,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 47",Superintendent: W A Brodribb.
1846,Bradley,William,Myalla,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 47",Superintendent: Joseph Silk.
1846,Bradley,William,Rock Flat,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 47",Superintendent: Henry Davis.
1846,Bradley,William,Dangelong,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 47",Superintendent: Henry Davis.
1847,Bradley,William,Rock Flat,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 63",Superintendent: W A Brodribb.
1847,Bradley,William,Dangelong,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 63",Superintendent: W A Brodribb.
1839,Bradley,William,Myalla,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 17",Superintendent: Richard Fenton.
1847,Bradley,William,Cooma and Bingura,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 68",Superintendent: W A Brodribb.
1845,Bradley,William,Myalla,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 27",Superintendent: Joseph Silk.
1847,Bradley,William,Myalla,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 68",Superintendent: Joseph Silk.
1848,Bradley,William,Rock Flat,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 79",Superintendent: W A Brodribb.
1848,Bradley,William,Cooma,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 81",Superintendent: W A Brodribb.
1848,Bradley,William,Dangelong,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 79",Superintendent: W A Brodribb.
1848,Bradley,William,Myalla,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 81",Superintendent: Joseph Silk.
10 September 1839,Bradley,William,Bullangamang,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 13",Superintendent: Thomas Morrison.
1846,Bradley,William,Cangelong,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 34",Superintendent: Henry Davis.
1846,Bradley,William,Rock Flat,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 34",Superintendent: Henry Davis.
1846,Bradley,William,Cromer and  Bingurd,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 34",Superintendent: W Brodribb.
1845,Bradly,W,Bullanamang,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 45",Superintendent:  Broadribb.
1 July 1845,Bradshaw,C & J,Merrambella,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 40",Superintendent: C Bradshaw.
1846,Bradshaw,Chas,Boorambeta,January 1846 Half Yearly Return of Population and Livestock district of Portland Bay situated adjoining county of Grant & Normanby and bounded on the north by Western Port District on the east by the Sea Coast on the south by the Glenelg river and the sea,"NRS 1391 [X691]; Reel 2756, Page 7",Superintendent: Jas Bradshaw.
1845,Brady,J,Berrygong,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 41",Superintendent: W Renshaw.
1847,Brady,J,Leang Garey,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 53",Superintendent: J Kershaw.
8 April 1844,Brady,James,Duggens Station,Edgar Beckham County King Lachlan District,"NRS 906 [X811]; Reel 2748-2749, Page 12",Superintendent: James Brady.
8 April 1844,Brady,James,Duggins,Lachlan Dstirct from 1 March 1847-1 March 1848 County of King Edgar Beckham esq,"NRS 906 [X811]; Reel 2748-2749, Page 44",Superintendent: James Brady.
22 May 1844,Brady,Thomas,Bald Hills,Bordin Police Office Lachlan District County of King,"NRS 906 [X811]; Reel 2748-2749, Page 3",Superintendent: T Brady.
1843,Bray,J,Tenandra,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 61",Superintendent: J Baledon.
August & September 1843,Bray,J,Cant Read,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 20",Superintendent:  Marshall.
August & September 1843,Bray,J,Cant Read,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 20",Superintendent: J Bray.
10 September 1839,Bray,John,Berrigerrri,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 17",Superintendent: Anthony Marshall.
22 May 1844,Bray,John,Narraburray,Bordin Police Office Lachlan District County of King,"NRS 906 [X811]; Reel 2748-2749, Page 4",Superintendent: J Thompson.
8 April 1844,Bray,Thomas,Nerraburra,Lachlan Dstirct from 1 March 1847-1 March 1848 County of King Edgar Beckham esq,"NRS 906 [X811]; Reel 2748-2749, Page 55",Superintendent: James McGregor.
8 April 1844,Bray,Thomas,Narraburra,Lachlan Dstirct from 1 March 1847-1 March 1848 County of King Edgar Beckham esq,"NRS 906 [X811]; Reel 2748-2749, Page 69",Superintendent: Alexander McGurgon.
8 April 1844,Bray,Thomas,Narraburra,Edgar Beckham County King Lachlan District,"NRS 906 [X811]; Reel 2748-2749, Page 18",Superintendent: John Thompson.
8 April 1844,Bray,Thomas,Narraburn,County King 1 March 1845 - 28 February 1846 Edgar Beckham Esq,"NRS 906 [X811]; Reel 2748-2749, Page 34",Superintendent: Thomas Bray.
1847,Bray  & Palmer,,Coradgong,Wellington & Bathurst,"NRS 906 [X817]; Reel 2748-2749, Page 8",Superintendent: J Baylis.
1846,Breily,Aham,Midway,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 43",Superintendent: J S Redgewey.
1848,Bremter,J,Rosevale,Stephen Simpson Esq Stanley known as Mount Morton District,"NRS 906 [X818]; Reel 2748-2749, Page 10",Superintendent: J Bremter.
1845,Bridle,William,Island Lake,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 25",Superintendent: William Bridle.
1847,Bridle,William,Island Lake,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 67",Superintendent: William Bridle.
1848,Bridle,William,Island Lake,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 81",Superintendent: William Bridle.
1846,Briely,Abram,Arable,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 49",Superintendent: Alexander Hamilton.
1846,Briely,Abram,Woolway,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 49",Superintendent: Alexander Hamilton.
1846,Briely,Abram,Murranumbla,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 50",Superintendent: Alexander Hamilton.
1848,Brierley,Abram,Arable,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 81",Superintendent: Alexander Hamilton.
1848,Brierley,Abram,Woolway,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 81",Superintendent: Alexander Hamilton.
1848,Brierley,Abram,Murranumbla,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 81",Superintendent: Alexander Hamilton.
1847,Brierly,Abraham,Arable,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 68",Superintendent: Alexander Hamilton.
1847,Brierly,Abraham,Woolway,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 68",Superintendent: Alexander Hamilton.
1847,Brierly,Abraham,Murranumbla,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 68",Superintendent: Alexander Hamilton.
1844,Briggs,W,Sherwood,Robert George Massie Esq County of Macquarie called the McLeay River District,"NRS 906 [X816]; Reel 2748-2749, Page 76",Superintendent: W Briggs.
1844,Briggs,W,Sherwood,Robert George Massie Esq County of Macquarie called the McLeay River District,"NRS 906 [X816]; Reel 2748-2749, Page 69",Superintendent: W Briggs.
1841,Briggs,W,Sherwood,Henry Oakes Port Macquarie,"NRS 906 [X817]; Reel 2748-2749, Page 41",Superintendent: W Briggs.
1847,Briggs,W,Sherwood,Robert George Massie Esq County of Macquarie called the McLeay River District,"NRS 906 [X816]; Reel 2748-2749, Page 102",Superintendent: W Briggs.
1844,Briggs,William,Sherwood,Robert George Massie Esq County of Macquarie called the McLeay River District,"NRS 906 [X816]; Reel 2748-2749, Page 92",Superintendent: W Briggs.
1839,Briggs,Wm,Shewood,Henry Oakes Port Macquarie,"NRS 906 [X817]; Reel 2748-2749, Page 35",Superintendent:  Briggs.
July 1839,Brighton,J,Ohio,George James Macdonald Esq County of Brisbane,"NRS 906 [X816]; Reel 2748-2749, Page 1",Superintendent: J Townshend.
1 July 1845,Broadbend & Widdup,,Goose Lagoon,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 40",Superintendent:  Farmers.
1845,Broadbent,William,Nil,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 45",Superintendent:  Nil.
1842,Broadford & Reid,,Springs,Henry Wilson Hutchinson Smythe Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 24",Superintendent:  Broadford & Reid.
1842,Broadhurst & King,,Even Mount,Frederick Armand Powlett Commissioner of Crown Lands Western Port Counties Bourke Called Western Port,"NRS 906 [X817]; Reel 2748-2749, Page 60",Superintendent:  Broadhurst & King.
1840,Brock,,Mr Brock,Itinerary of the Commissioner of Crown Lands Port Phillip Henry Fysche Gisborne 28 Jan-18 Feb 1840,NRS 905 [4/10803.4]; Page 40/2967,Superintendent:  Brock.
1842,Brock,,Bolando Vale,Frederick Armand Powlett Commissioner of Crown Lands Western Port Counties Bourke Called Western Port,"NRS 906 [X817]; Reel 2748-2749, Page 59",Superintendent:  Brock.
1842,Brock,J,,Portland Bay Disctict County of Grant & Normanby,"NRS 906 [X814]; Reel 2748-2749, Page 12",Superintendent: J Brock.
January 1844,Brock & Smith,,Blackmans Flat,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 2",Superintendent:  Farmers.
1840,Broderick,,Mr Broderick,Itinerary of the Commissioner of Crown Lands Port Phillip Henry Fysche Gisborne 28 Jan-18 Feb 1840,NRS 905 [4/10803.4]; Page 40/2967,Superintendent:  Broderick.
1845,Brodie & Cruickshank,,Rocton,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 46",Superintendent: Alexander Neild.
1844,Brodie & Cruickshank,,The Hague,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 34",Superintendent: Alexander Mill.
January 1844,Brodie & Russell,,Sugarloaf,George James McDonald Esq of New England,"NRS 906 [X816]; Reel 2748-2749, Page 46",Superintendent:  Proprietors.
1845,Brodie & Russell,,Sugarloaf,George James McDonald Esq of New England,"NRS 906 [X816]; Reel 2748-2749, Page 66",Superintendent:  Brodie & Russell.
10 July 1839,Brodribb,William Adam,Mannis,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 2",Superintendent: James McArthy.
1844,Broman,J,Lambak,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 65",Superintendent: J Broman.
1 July 1842,Bromfield,J D,Fox Court,Western Port District Bounded on the North by Western Port District by  the East by Sea Coast on the South by Glenelg River and on the West by Portland Bay,"NRS 906 [X814]; Reel 2748-2749, Page 17",Superintendent: J D Bromfield.
1839,Brooks,Henry & Richard,Gejizrick,John Lambie Counties of St Vincent and Murray,"NRS 906 [X815]; Reel 2748-2749, Page 2",Superintendent: Henry Brooks.
1847,Brooks,R,Crackenberry,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 69",Superintendent: R Brooks.
August 1843,Brooks,Richard,Island Lake,Itinerary of John Lambie County of Murray and St Vincent August 1843 to April 1844,NRS 905 [4/10803.2]; Page 14,Superintendent: Richard Brooks.
1847,Brooks,Richard,Gejizrick Cattle Station,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 53",Superintendent: Richard Brooks.
1845,Brooks,Richard,Gejizrick,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 26",Superintendent: Richard Brooks.
1848,Brooks,Richard,Gejizrick,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 82",Superintendent: Richard Brooks.
1848,Brooks,Richard,Craikenberry,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 82",Superintendent: Richard Brooks.
1848,Brooks,Richard,Jindabyne,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 82",Superintendent: Richard Brooks.
1839,Brooks,Richard,Wangelminan,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 22",Superintendent: William Williams.
1847,Brooks,Richard,Gejizrick and Heifer Station,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 69",Superintendent: Richard Brooks.
1839,Brooks,Richard,Gejizrick,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 19",Superintendent: Thomas Woods.
1 July 1842,Brooksbank,,Marsden,Western Port District Bounded on the North by Western Port District by  the East by Sea Coast on the South by Glenelg River and on the West by Portland Bay,"NRS 906 [X814]; Reel 2748-2749, Page 17",Superintendent:  Brooksbank.
1847,Brougham & Woodford,,Chah,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 51",Superintendent:  Brougham & Woodford.
1842,Broughton,,Ginjellock,Henry Wilson Hutchinson Smythe Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 20",Superintendent:  Connor.
1842,Broughton,E,Ginjellock,Henry Wilson Hutchinson Smythe County of Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 11",Superintendent: D Melville.
1845,Broughton,J A,Clearup,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 41",Superintendent: W Pine.
1844,Broughton,J A,Cookup,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 27",Superintendent: D Melville.
1844,Broughton,J A,Coocup,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 31",Superintendent: J Church.
1847,Broughton,J A,Corcup,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 47",Superintendent: J R Vine.
10 July 1839,Broughton,John A,Mundong Indgee,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 2",Superintendent: David Melville.
1837,Broughton,Mrs,Mundownginger,Evelyn Shirley Pitfield Sturt Esq beyond the Murrumbidgee,"NRS 906 [X818]; Reel 2748-2749, Page 27",Superintendent: Richard Negle.
8 April 1844,Broughton,William,Burrowa,County King 1 March 1845 - 28 February 1846 Edgar Beckham Esq,"NRS 906 [X811]; Reel 2748-2749, Page 24",Superintendent: William Broughton.
8 April 1844,Broughton,William,Burrowa,Lachlan Dstirct from 1 March 1847-1 March 1848 County of King Edgar Beckham esq,"NRS 906 [X811]; Reel 2748-2749, Page 36",Superintendent: William Broughton.
8 April 1844,Broughton,William,Burrowa,Edgar Beckham County King Lachlan District,"NRS 906 [X811]; Reel 2748-2749, Page 9",Superintendent: W Broughton.
8 April 1844,Broughton,William,Bowring,County King 1 March 1845 - 28 February 1846 Edgar Beckham Esq,"NRS 906 [X811]; Reel 2748-2749, Page 27",Superintendent: John Moses.
22 May 1844,Broughton,William H,Burowa,Bordin Police Office Lachlan District County of King,"NRS 906 [X811]; Reel 2748-2749, Page 3",Superintendent: James Pring.
January 1840,Broughton,Wm John,Carneys Creek,King & Murray Borowa River Left Banks of Lachlan River Half Yearly Return of Pupulation and Live Stock,"NRS 906 [X813]; Reel 2748-2749, Page 25",Superintendent: J W Croaker.
1842,Brown,,Murton Creek,Portland Bay Disctict County of Grant & Normanby,"NRS 906 [X814]; Reel 2748-2749, Page 7",Superintendent:  Brown.
1842,Brown,,Elephant,Portland Bay Disctict County of Grant & Normanby,"NRS 906 [X814]; Reel 2748-2749, Page 7",Superintendent:  Nil.
1844,Brown,,Nil,Forster Fyans Normanby October 1844,"NRS 1391 [X690]; Reel 2756, Page 28",
1842,Brown,,,Portland Bay Disctict County of Grant & Normanby,"NRS 906 [X814]; Reel 2748-2749, Page 14",Superintendent: J Brown.
1844,Brown,,Daisy,Foster Fyans Portland Bay May 1844,"NRS 1391 [X690]; Reel 2756, Page 17",Superintendent:  Brown.
November 1839,Brown,,Mr Brown,Itineraries of  Henry Fysche Gisborne 30 Aug - 26 Dec 1839 Geelong and Lines of Road To Portland Bay,NRS 905 [4/10803.3]; Page 2,Superintendent:  Brown.
1844,Brown,,,Foster Fyans Portland Bay June 1844,"NRS 1391 [X690]; Reel 2756, Page 19",Superintendent:  Brown.
1845,Brown,A,Caigan,Graham D Hunter Counties of Bligh and Wellington,"NRS 906 [X814]; Reel 2748-2749, Page 63",Superintendent: W Brown.
1840,Brown,A,Ulanguila,Graham D Hunter Counties of Bligh Brisbane and Wellington,"NRS 906 [X814]; Reel 2748-2749, Page 60",Superintendent: William Brown.
1840,Brown,A,Tyrone,Graham D Hunter Counties of Bligh Brisbane and Wellington,"NRS 906 [X814]; Reel 2748-2749, Page 60",Superintendent: W Brown.
1847,Brown,A,Caigan,Graham D Hunter Counties of Bligh Brisbane and Wellington,"NRS 906 [X814]; Reel 2748-2749, Page 65",Superintendent: W Brown.
1 July 1842,Brown,Andrew,Elephant Hill,Western Port District Bounded on the North by Western Port District by  the East by Sea Coast on the South by Glenelg River and on the West by Portland Bay,"NRS 906 [X814]; Reel 2748-2749, Page 17",Superintendent: Andrew Brown.
November 1839,Brown,Capt,Capt Brown Head Station Sheep Station,Itineraries of  Henry Fysche Gisborne 30 Aug - 26 Dec 1839 Geelong and Lines of Road To Portland Bay,NRS 905 [4/10803.3]; Page 1 back of,Superintendent: Mr Alexander.
1 July 1845,Brown,Charles (Publican),Golden Fleece,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 40",Superintendent: Charles (Publican) Brown.
1846,Brown,Chas,Golden Fleece,January 1846 Half Yearly Return of Population and Livestock district of Portland Bay situated adjoining county of Grant & Normanby and bounded on the north by Western Port District on the east by the Sea Coast on the south by the Glenelg river and the sea,"NRS 1391 [X691]; Reel 2756, Page 7",Superintendent: Chas Brown.
1840,Brown,G,Caigan,Graham D Hunter Counties of Bligh Brisbane and Wellington,"NRS 906 [X814]; Reel 2748-2749, Page 60",Superintendent: W Brown.
1847,Brown,George,Green Gully,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 63",Superintendent: William Read.
1848,Brown,George,Green Gully,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 79",Superintendent: William Read.
1846,Brown,George,Kydra,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 46",Superintendent: William Reed.
1846,Brown,George,Kydra,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 34",Superintendent: William Reid.
1842,Brown,Gosling,Holland Station,Henry Wilson Hutchinson Smythe Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 13",Superintendent: H Evans.
1841,Brown,H H,Barney Down,George James McDonald Brisbane 1 Jan - 6 May 1840,"NRS 906 [X816]; Reel 2748-2749, Page 32",Superintendent: J Nichol.
1844,Brown,J,Urander,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 24",Superintendent: J Brown.
1844,Brown,J,Dairy,Forster Fyans Normanby October 1844,"NRS 1391 [X690]; Reel 2756, Page 27",Superintendent: J Brown.
1844,Brown,J,Grange,Forster Fyans Normanby October 1844,"NRS 1391 [X690]; Reel 2756, Page 27",Superintendent:  Brown.
1844,Brown,J,Brush Creek Elephant,Foster Fyans Portland Bay June 1844,"NRS 1391 [X690]; Reel 2756, Page 19",Superintendent: J Brown.
January 1844,Brown,J & A,Muston Creek,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 2",Superintendent:  Nil.
1 July 1845,Brown,J & A,Mount Napier,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 39",Superintendent: William Brown.
1 July 1845,Brown,J & A,Mount Elephant,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 39",
1 July 1845,Brown,J & A,Musten Creek,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 39",
1844,Brown,J & A,Mt Elephant,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 34",Superintendent: J & A Brown.
1845,Brown,J & A,Mt Elephant,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 45",Superintendent: J & A Brown.
January 1844,Brown,J A,Bushey Creek,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 1",Superintendent: J A Brown.
1844,Brown,J C,Grantham,Stephen Simpson Esq County of Stanley,"NRS 906 [X818]; Reel 2748-2749, Page 3",Superintendent: J C Brown.
1844,Brown,J C,Taboorea,Stephen Simpson Esq County of Stanley,"NRS 906 [X818]; Reel 2748-2749, Page 1",Superintendent: G Mocutter.
August 1843,Brown,James,Bendethery,Itinerary of John Lambie County of Murray and St Vincent August 1843 to April 1844,NRS 905 [4/10803.2]; Page 9,Superintendent: David Desmond.
January 1844,Brown,James,Grange,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 2",Superintendent: A Wall.
1845,Brown,James,Grange Burn,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 46",Superintendent: Alexander Watt.
August 1843,Brown,James,Bonalbery,Itinerary of John Lambie County of Murray and St Vincent August 1843 to April 1844,NRS 905 [4/10803.2]; Page 5,Superintendent: David Desmond.
1848,Brown,James,Mouth of Moroya River,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 79",Superintendent:  Nil.
