,SURNAME,FIRSTNAME,RESIDENCE,DISTRICT,SITUATION,DATE OF LICENCE,LICENCE,COPY,ITEM,REMARKS,SERIES,
,DANGAR,Henry,Neotsfield,Liverpool Plains,-,30/08/1841,0351,5072,[4/97],,NRS 14363,
,DANGAR,Henry,Neotsfield,Liverpool Plains,-,28/08/1840,0308,5070,[4/94],,NRS 14363,
,DANGAR,Henry,Singleton,New England and Liverpool Plains,Gostwick and Gostwick Plains,30/09/1843,0470,5076,[4/100],,NRS 14363,
,DANGAR,Henry,Neotsfield,New England,Gostwyck Plains,26/10/1839,0482,5068,[4/92],,NRS 14363,
,DANGAR,Henry,Neotsfield,New England,Goswych Plains,30/08/1841,0352,5072,[4/97],,NRS 14363,
,DANGAR,J,-,Liverpool Plains,Thalaba,13/12/1845,1098,5081,[4/106],"and DANGAR, W",NRS 14363,
,DANGAR,J,-,Liverpool Plains,Thalaba,13/12/1845,1097,5081,[4/106],"and DANGAR, W",NRS 14363,
,DANGAR,J (Mr),-,New England,Kangaroo Hills and Serpentine,16/08/1845,0035,5079,[4/105],"and DANGAR, William",NRS 14363,
,DANGAR,John,Scone,Liverpool Plains and New England,"Namoi River (On the), and Reddestone",19/09/1843,0291,5075,[4/101],"and DANGAR, William",NRS 14363,
,DANGAR,John,Scone,Liverpool Plains,Namoi River,30/08/1841,0350,5072,[4/97],"and DANGAR, William; Other names mentioned: DANGAR, H",NRS 14363,
,DANGAR,John,Scone,Liverpool Plains,Namoi River,28/08/1840,0307,5070,[4/94],"and DANGAR, William",NRS 14363,
,DANGAR,John,Scone,Liverpool Plains,Namoi River (On the),12/07/1842,0122,5073,[4/98],"and DANGAR, William",NRS 14363,
,DANGAR,Thomas,Invermein,Namoi River,Northern,29/06/1838,0259,5067,[4/91],and CO; Other names mentioned: FLOWERS (Mr),NRS 14363,
,DANGAR,Thomas,-,Liverpool Plains,-,30/09/1844,0608,5078,[4/102],"(Trustees of); Other names mentioned: MOGRIDGE, Edward (XO); Licence reads ""Edwd MOGRIDGE"" (Crossed out). Replaced with ""Trustees of Thos DANGAR""",NRS 14363,
,DANGAR,W,-,Liverpool Plains,Thalaba,13/12/1845,1097,5081,[4/106],"and DANGAR, J",NRS 14363,
,DANGAR,W,-,Liverpool Plains,Oreel,13/12/1845,1098,5081,[4/106],"and DANGAR, J",NRS 14363,
,DANGAR,William,Scone,Liverpool Plains,Namoi River (On the),12/07/1842,0122,5073,[4/98],"and DANGAR, John",NRS 14363,
,DANGAR,William,Invermein,Liverpool Plains,Namoi (On the),09/07/1839,0092,5068,[4/92],,NRS 14363,
,DANGAR,William,-,New England,Reddlestone,23/09/1844,0343,5077,[4/103],,NRS 14363,
,DANGAR,William,Scone,Liverpool Plains and New England,"Namoi River (On the), and Reddestone",19/09/1843,0291,5075,[4/101],"and DANGAR, John",NRS 14363,
,DANGAR,William,-,New England,Kangaroo Hills and Serpentine,16/08/1845,0035,5079,[4/105],"and DANGAR, J (Mr)",NRS 14363,
,DANGAR,William,Scone,Liverpool Plains,Namoi River,30/08/1841,0350,5072,[4/97],"and DANGAR, John; Other names mentioned: DANGAR, H",NRS 14363,
,DANGAR,William,Scone,Liverpool Plains,Namoi River,28/08/1840,0307,5070,[4/94],"and DANGAR, John",NRS 14363,
,DANGAR,William,-,Liverpool Plains,Namoi River (On the),23/09/1844,0344,5077,[4/103],,NRS 14363,
,DANGER,Henry,Neotsfield,New England and Liverpool Plains,Goswych Plains,30/09/1842,0594,5074,[4/99],or DANGAR,NRS 14363,
,DANGER,Henry,Patrick's Plains,Peel's River,Western,14/01/1837,0076,GvtG,,or DANGAR?,NRS 14363,
,DANIEL,S B,-,Wellington,Eribinderry,20/09/1845,0357,5079,[4/105],or J B,NRS 14363,
,DANIEL,S V,-,Lachlan,Errinbinderry,26/09/1844,0403,5078,[4/102],or J B,NRS 14363,
,DANIEL,Silvana B,Bathurst,Wellington and Lachlan,Erinbinderry and Maryabba,20/07/1843,0052,5075,[4/101],,NRS 14363,
,DANIEL,Silvanus,Lachlan River,Wellington and Lachlan,Lower Lachlan River and Maryabba,29/09/1842,0551,5074,[4/99],,NRS 14363,
,DANVERS,William,Parramatta,Lachlan,Moramboro,04/07/1839,0044,5068,[4/92],,NRS 14363,
,DARBY,(Messrs),Carfield/Casfield?,New England,Chain of Ponds near the Bundarah,14/02/1842,0633,5071,[4/96],and GOLDFINCH; First licence,NRS 14363,
,DARBY,(Messrs),-,New England,-,30/09/1843,0497,5076,[4/100],and GOLDFINCH,NRS 14363,
,DARBY,-,-,New England,Henga,28/04/1845,0861,5078,[4/104],and GOLDFINCH,NRS 14363,
,DARBY,-,-,New England,Tienga,24/03/1846,1208,5081,[4/108],and GOLDFINCH,NRS 14363,
,DARCHY,Thomas,-,Lachlan,Black Range,20/11/1844,0723,5078,[4/102],,NRS 14363,
,DARCHY,Thomas,Black Range,Lachlan,Black Range,10/03/1843,0706,5074,[4/99],,NRS 14363,
,DARCHY,Thomas,Black Range,Lachlan,Black Range,30/09/1843,0462,5076,[4/100],,NRS 14363,
,DARE,A E,"Elderslie, Hunters River",New England,Yarrow,20/07/1841,0184,5070,[4/95],£10 per Mr GORE'S cheque; Other names mentioned: GORE,NRS 14363,
,DARE,Alexander Ellison,"Elderslie, Hunters River",New England,Yarrow,01/05/1841,0620,5070,[4/95],,NRS 14363,
,DARGIN,James,Richmond,Wellington,Obala,22/09/1842,0428,5074,[4/99],,NRS 14363,
,DARGIN,James,Bathurst,Wellington,Obelly (from Saunders and Webb),31/08/1841,0361,5072,[4/97],Other names mentioned: SAUNDERS and WEBB,NRS 14363,
,DARGIN,John,Bathurst,Wellington,Boga Plains,31/08/1841,0360,5072,[4/97],,NRS 14363,
,DARGIN,John,Bathurst,Wellington,Mungera,26/08/1844,0189,5077,[4/103],,NRS 14363,
,DARGIN,John,-,Wellington,Mungery,16/09/1845,0253,5079,[4/105],,NRS 14363,
,DARGIN,John,Bathurst,Wellington,Mungery near Bogan River,21/09/1839,0398,5068,[4/92],,NRS 14363,
,DARGIN,John,Bathurst,Wellington,Bogan River,23/09/1842,0434,5074,[4/99],,NRS 14363,
,DARGIN,John,Bathurst,Wellington,Bogan River (On the),09/08/1843,0101,5075,[4/101],,NRS 14363,
,DARGIN,John,Bathurst,Wellington,Bogee Plains,08/08/1840,0239,5069,[4/93],,NRS 14363,
,DARVALL,(Messrs),Boree Creek,Wellington,Boree Creek,15/08/1845,0030,5079,[4/105],and BARTON,NRS 14363,
,DARVALL,(Messrs),-,Wellington,Boree Nyrang,11/07/1844,0025,5077,[4/103],and BARTON,NRS 14363,
,DARVALL,(Messrs),Boree,Wellington,Boree Nyrang,08/08/1843,0094,5075,[4/101],and BARTON,NRS 14363,
,DARVALL,F C,Bori Myrang,Wellington,Bori Myrang,09/07/1841,0151,5070,[4/95],,NRS 14363,
,DARVALL,Frederick Orme,Boree Nyrang,Wellington,Boree Nyrang,03/08/1840,0223,5069,[4/93],,NRS 14363,
,DARVALL,W O,Boree Nyang,Wellington,Boree Nyang,20/06/1842,0022,5073,[4/98],"and BARTON, R J",NRS 14363,
,DAVIDSON,(Messrs),Bullenbung,Murrumbidgee,Bullenbung,05/09/1845,0144,5079,[4/105],and ROBERTSON,NRS 14363,
,DAVIDSON,-,-,Murrumbidgee,"Namoi and Barbers Creek, country situated between",12/01/1846,1126,5081,[4/106],and HAY,NRS 14363,
,DAVIDSON,Alexander,-,Moreton Bay,Bullenbung,26/10/1844,0700,5078,[4/102],"and ROBERTSON, George",NRS 14363,
,DAVIDSON,Anthony,Burindi,Liverpool Plains,Burindi,09/05/1843,0734,5074,[4/99],,NRS 14363,
,DAVIDSON,Anthony,-,Liverpool Plains,Burindi,12/08/1843,0117,5075,[4/101],,NRS 14363,
,DAVIDSON,J,-,Wellington,Murrundry,27/09/1845,0559,5080,[4/107],and DAVIDSON R,NRS 14363,
,DAVIDSON,J,Buckinbar,Wellington,Murrundrie,04/09/1844,0239,5077,[4/103],"and DAVIDSON, R",NRS 14363,
,DAVIDSON,R,Buckinbar,Wellington,Murrundrie,04/09/1844,0239,5077,[4/103],"and DAVIDSON, J",NRS 14363,
,DAVIDSON,R,-,Wellington,Murrundry,27/09/1845,0559,5080,[4/107],"and DAVIDSON, J",NRS 14363,
,DAVIDSON,R,Buckinbah,Wellington,Buckinbah,25/09/1843,0346,5075,[4/101],,NRS 14363,
,DAVIES,George,-,Murrumbidgee,Jeremiah,09/11/1844,0715,5078,[4/102],or DAVIS,NRS 14363,
,DAVIES,George,Jeremiah,Murrumbidgee,Jeremiah,08/07/1843,0024,5075,[4/101],,NRS 14363,
,DAVIS,George,Murrumbidgee,Yass,South,16/02/1838,0034,5067,[4/91],Other names mentioned: ROBERTS (Mr),NRS 14363,
,DAVIS,George,Gownion/Goronion? (near Yass),Murrumbidgee,Jeremiah,25/06/1840,0036,5069,[4/93],,NRS 14363,
,DAVIS,George,Yass,Murrumbidgee,Western,22/03/1837,0299,5067,[4/91],,NRS 14363,
,DAVIS,George (Junior),Kitchendiadla,Murrumbidgee,Kitchendiadla,25/06/1840,0035,5069,[4/93],,NRS 14363,
,DAVIS,George (Senior),-,Murrumbidgee,Jeremiah,27/08/1845,0083,5079,[4/105],,NRS 14363,
,DAVIS,George (Senior),Gownion (near Yass),Murrumbidgee,Jeremiah,18/07/1842,0145,5073,[4/98],Issued as 146,NRS 14363,
,DAVIS,George (Senior),Gownion? (near Yass),Murrumbidgee,Jeremiah,09/08/1841,0274,5072,[4/97],"Other names mentioned: PHILLIPS, E",NRS 14363,
,DAVIS,George (Senior),Gungan Creek,Murrumbidgee,Murrumbidgee district,18/07/1839,0166,5068,[4/92],,NRS 14363,
,DAVIS,J M,Wollombi,Liverpool Plains,Piallaway,08/04/1845,0854,5078,[4/104],,NRS 14363,
,DAVIS,J Martin,Maryville,Liverpool Plains,North Western,14/01/1837,0099,GvtG,,,NRS 14363,
,DAVIS,John,Chilliscombe/Chittiscombe,Murrumbidgee,Chilliscombe?/Chittiscombe?,19/07/1843,0051,5075,[4/101],,NRS 14363,
,DAVIS,John,Booruroomba,Murrumbidgee,Chittiscombe and Gudgenby,25/01/1843,0680,5074,[4/99],,NRS 14363,
,DAVIS,John M,Jerry's Plains Hunters,Liverpool Plains,Northern,02/06/1838,0144,5067,[4/91],Other names mentioned: BROWNLOW and CO,NRS 14363,
,DAVIS,John M,-,Liverpool Plains,Pialaway,15/08/1843,0127,5075,[4/101],,NRS 14363,
,DAVIS,John M,Wollombi,Liverpool Plains,Pialaway,05/07/1841,0131,5070,[4/95],,NRS 14363,
,DAVIS,John M,Wollombi,Liverpool Plains,Pialaway,05/08/1842,0218,5073,[4/98],,NRS 14363,
,DAVIS,John Martin,Wollombi,Liverpool Plains,Pialaway,29/06/1840,0076,5069,[4/93],,NRS 14363,
,DAVIS,John Martin,Jerrys Plains,Liverpool Plains,Pialliway,01/07/1839,0001,5068,[4/92],,NRS 14363,
,DAVIS,William,Lanyon,Murrumbidgee,Booruroomba,17/09/1842,0404,5074,[4/99],,NRS 14363,
,DAVIS,William,-,Murrumbidgee,Boorurroomba,09/09/1844,0257,5077,[4/103],,NRS 14363,
,DAVIS,William (Senior),Boorooba,Murrumbidgee,Boorooba,30/08/1843,0175,5075,[4/101],,NRS 14363,
,DAVIS,William (Senior),-,Murrumbidgee,Booroomba,25/09/1845,0445,5080,[4/107],,NRS 14363,
,DAWES,William,Sydney,Maneroo,Bollero,03/08/1840,0224,5069,[4/93],,NRS 14363,
,DAWS,William,Sydney,Maneroo,Bolero,10/08/1839,0250,5068,[4/92],Licence register No 250 issued and fee received October 21st 1839,NRS 14363,
,DAWSON,-,Sydney,Maneroo,Gillimatong,19/07/1841,0179,5070,[4/95],and FOTHERINGHAM,NRS 14363,
,DAWSON,Robert,-,Maneroo,Gillamatong,27/08/1845,0087,5079,[4/105],,NRS 14363,
,DAWSON,Robert,Sydney,Maneroo,Gillimatong,27/06/1840,0061,5069,[4/93],"and FOTHERINGHAM, Alexander",NRS 14363,
,DAWSON,Robert (Junior),Gillimatong,Maneroo,Gillimatong,11/09/1844,0274,5077,[4/103],,NRS 14363,
,DAWSON,Robert (Senior),Gillimatong,Maneroo,Gillimatong,10/08/1842,0227,5073,[4/98],,NRS 14363,
,DAWSON,Robert (Senior),Gillimatong,Maneroo,Gillimatong,29/08/1843,0171,5075,[4/101],,NRS 14363,
,DAY,Charles,-,Clarence River,Ritchie's,15/09/1845,0239,5079,[4/105],Other names mentioned: RITCHIE (Station),NRS 14363,
,DAY,Charles,Clarence River,Port Macquarie,"Clarence River; The Upper stores bounded on the west by J H Grose, east by the Police station and on the south by the Clarence River",11/01/1842,0613,5071,[4/96],,NRS 14363,
,DAY,Charles,Upper Stores,Clarence River,Ritchie's,10/08/1844,0118,5077,[4/103],,NRS 14363,
,DAY,Charles,Clarence River,Clarence River,Upper Stores bounded on the West by J H GROSE East by the police station and on the South by the Clarence River,06/08/1842,0221,5073,[4/98],"Other names mentioned: GROSE, J H (Station)",NRS 14363,
,DAY,Charles,Copmanhurst,Port Macquarie,"Day's Store, 1 mile below Mr Grose's Station on the north bank of the Macquarie River",30/09/1841,0417,5072,[4/97],"Licence ""Cancelled""; Other names mentioned: GROSE (Mr) (Station)",NRS 14363,
,DAY,Charles,-,Clarence River,-,28/12/1843,0657,5076,[4/100],,NRS 14363,
,DAY,Edward D,Muswell Brook,New England,New England (known as),27/03/1840,0632,5069,[4/93],,NRS 14363,
,DAY,Edward D,Maitland,New England,Aberfoil,30/09/1842,0560,5074,[4/99],,NRS 14363,
,DAY,Edward D,Maitland,New England,Aberfoil,30/09/1843,0512,5076,[4/100],,NRS 14363,
,DAY,Edward D,Muswell Brook,New England,Aberfoill,30/09/1841,0549,5072,[4/97],,NRS 14363,
,DAY,Edward Denny,Muswell Brook,New England,Aberfaill,26/06/1840,0046,5069,[4/93],,NRS 14363,
,DE SALIS,(Messrs),Darby Lara,Murrumbidgee,Darby Lara station lately occupied by William Cadell,29/09/1841,0486,5072,[4/97],"and SMYTHE; Other names mentioned: CADELL, William",NRS 14363,
,DE SALIS,-,-,Lachlan,Junie,30/09/1845,0788,5080,[4/107],and SMYTHE,NRS 14363,
,DE SALIS,-,-,Murrumbidgee,Darba Lara,27/09/1845,0552,5080,[4/107],and SMYTHE,NRS 14363,
,DE SALIS,-,-,Murrumbidgee,Darby Lara,28/09/1844,0527,5078,[4/102],and SMYTHE,NRS 14363,
,DE SALIS,-,Darby Lara,Murrumbidgee,Darby Lara,24/09/1842,0460,5074,[4/99],and SMYTH,NRS 14363,
,DE SALIS,-,-,Lachlan,Jenna,28/09/1844,0526,5078,[4/102],and SMYTHE,NRS 14363,
,DE SALLIS,(Messrs),Sydney,Murrumbidgee,Darby Laro,28/09/1843,0412,5076,[4/100],and SMYTHE,NRS 14363,
,DEAN,-,-,Murrumbidgee,Mount Adrah,23/08/1844,0175,5077,[4/103],and SAWYER,NRS 14363,
,DEAN,-,Clifton,Murrumbidgee,Clifton,03/10/1843,0553,5076,[4/100],and SAWYER,NRS 14363,
,DEAN,William (Senior),Eastern Creek,Monaroo,Southern,14/01/1837,0011,GvtG,,,NRS 14363,
,DEANE,-,Clifton,Murrumbidgee,-,16/07/1842,0143,5073,[4/98],and SAWYER; Issued as 144,NRS 14363,
,DEANE,-,-,Murrumbidgee,Mount Adrah,11/08/1845,0013,5079,[4/105],and SAWYER,NRS 14363,
,DENISON,(Messrs),Cassilas,Clarence River,Richmond River (On the),25/11/1843,0623,5076,[4/100],and HAMILTON,NRS 14363,
,DENISON,(Messrs),-,Clarence River,Stilton,28/08/1845,0093,5079,[4/105],and HAMILTON,NRS 14363,
,DENISON,(Messrs),Melville Plains,Liverpool Plains,Melville Plains,03/10/1843,0789,5074,[4/99],,NRS 14363,
,DENISON,-,Colleroy by Merton,Clarence River,Stilton,10/08/1844,0116,5077,[4/103],and HAMILTON,NRS 14363,
,DENISON,-,Llangollen,Liverpool Plains,Melville Plains and Saintalbin?,15/11/1841,0569,5072,[4/97],Other names mentioned: BOYDELL and MAYNE,NRS 14363,
,DENISON,Alfred,-,Liverpool Plains,Gunadaddy,15/11/1845,1046,5081,[4/106],,NRS 14363,
,DENNE,(Messrs),-,New England,Tea,25/10/1843,0584,5076,[4/100],,NRS 14363,
,DENNE,(Messrs),-,New England,Tia,11/09/1845,0192,5079,[4/105],,NRS 14363,
,DENNE,R,Tiee,New England,Tiee,31/08/1842,0324,5073,[4/98],"and DENNE, W",NRS 14363,
,DENNE,R,-,New England,Tea,25/09/1844,0396,5078,[4/102],"and DENNE, W",NRS 14363,
,DENNE,R,Tia,New England,Tia,29/10/1840,0549,5070,[4/94],"and DENNE, W",NRS 14363,
,DENNE,W,Tiee,New England,Tiee,31/08/1842,0324,5073,[4/98],"and DENNE, R",NRS 14363,
,DENNE,W,-,New England,Tea,25/09/1844,0396,5078,[4/102],"and DENNE, R",NRS 14363,
,DENNE,W,Tia,New England,Tia,29/10/1840,0549,5070,[4/94],"and DENNE, R",NRS 14363,
,DENNE,William,-,New England,Cooplacoompa,12/09/1845,0202,5079,[4/105],or DEAN,NRS 14363,
,DENNIE,R,New England,New England,-,03/05/1842,0667,5071,[4/96],"and DENNIE, W",NRS 14363,
,DENNIE,W,New England,New England,-,03/05/1842,0667,5071,[4/96],"and DENNIE, R",NRS 14363,
,DENNIS,Henry,-,Darling Downs,Condamine,23/09/1845,0409,5080,[4/107],,NRS 14363,
,DENNIS,Henry,-,Darling Downs,-,12/04/1845,0856,5078,[4/104],,NRS 14363,
,DENNISON,(Messrs),Cassillis,Liverpool Plains,Melville Plains,03/10/1843,0554,5076,[4/100],,NRS 14363,
,DENNISON,A,-,Liverpool Plains,Melville Plains,27/09/1844,0431,5078,[4/102],or DENISON,NRS 14363,
,DEVLIN,(Messrs),Clarence River,Clarence River,Swan,26/09/1843,0366,5075,[4/101],and SMALL,NRS 14363,
,DEVLIN,(Messrs),-,Clarence River,Swan Creek,28/09/1844,0444,5078,[4/102],and SMALL,NRS 14363,
,DEVLIN,-,-,Clarence River,Swan Creek,24/09/1845,0439,5080,[4/107],and SMALL,NRS 14363,
,DEVLIN,J,Kissing Point,Clarence River,Swan,29/08/1842,0305,5073,[4/98],"and SMALL, Thomas",NRS 14363,
,DEVLIN,James,Yass,Yass,Southern,07/07/1838,0307,5067,[4/91],,NRS 14363,
,DEVLIN,James,-,Clarence River,South Island,28/09/1844,0503,5078,[4/102],,NRS 14363,
,DEVLIN,James,Kissing Point,Clarence River,South Island,30/09/1843,0442,5076,[4/100],,NRS 14363,
,DEVLIN,James,Kissing Point,Clarence River,South Island and Clarence River,28/09/1842,0510,5074,[4/99],,NRS 14363,
,DEVLIN,James,South Island,Macquarie,South Island on the Clarence River,22/01/1842,0619,5071,[4/96],,NRS 14363,
,DEVLIN,James,Kissing Point,Lachlan and Murrumbidgee,Gamaine and Bellintull,28/09/1842,0509,5074,[4/99],,NRS 14363,
,DEVLIN,James,-,Lachlan,Gamman,10/03/1846,1190,5081,[4/106],,NRS 14363,
,DEVLIN,James,-,Lachlan,Gammie,28/09/1844,0504,5078,[4/102],,NRS 14363,
,DEVLIN,James,-,Murrumbidgee,Gammie,28/09/1844,0505,5078,[4/102],,NRS 14363,
,DEVLIN,James,Kissing Point,Lachlan and Murrumbidgee,Gammin? and Bellintale,30/09/1843,0443,5076,[4/100],,NRS 14363,
,DEVLIN,James,Kissing Point,Lachlan,"Ganmane, Devlins Station",07/09/1839,0347,5068,[4/92],Other names mentioned: DEVLIN (Station),NRS 14363,
,DEVLIN,James,-,Lachlan,Cookabiloo,10/03/1846,1189,5081,[4/106],,NRS 14363,
,DEVLIN,James,Kissing Point,Lachlan,Ganmine,30/09/1841,0704,5071,[4/96],,NRS 14363,
,DEVLIN,James,Kissing Point,Lachlan,Ganmine,30/09/1841,0533,5072,[4/97],,NRS 14363,
,DEVLIN,James,Kissing Point,Murrumbidgee,Western,14/01/1837,0135,GvtG,,,NRS 14363,
,DEVLIN,James,Sydney,Murrumbidgee,Bellintull?,08/10/1841,0555,5072,[4/97],,NRS 14363,
,DEVLIN,James,Sydney,Murrumbidgee,Billinbill?,08/10/1841,0709,5071,[4/96],,NRS 14363,
,DEVLIN,James,-,Murrumbidgee,Yanco,10/03/1846,1191,5081,[4/106],,NRS 14363,
,DICKSON,-,Goulburn near Merton,Liverpool Plains,Reedy Creek,30/09/1840,0477,5070,[4/94],and NAGLE,NRS 14363,
,DICKSON,D,-,New England,Enstling?/Eastling?,04/10/1845,0861,5081,[4/106],"and DICKSON, J",NRS 14363,
,DICKSON,D,-,New England,Wallamana,04/10/1845,0860,5081,[4/106],"and DICKSON, J",NRS 14363,
,DICKSON,D,Maitland,New England,Ejerton,19/02/1845,0817,5078,[4/104],"and DICKSON, J",NRS 14363,
,DICKSON,Francis,Merton,Liverpool Plains,Monulla,10/07/1839,0112,5068,[4/92],,NRS 14363,
,DICKSON,J,Maitland,New England,Ejerton,19/02/1845,0817,5078,[4/104],"and DICKSON, D",NRS 14363,
,DICKSON,J,-,New England,Enstling?/Eastling?,04/10/1845,0861,5081,[4/106],"and DICKSON, D",NRS 14363,
,DICKSON,J,-,New England,Wallamana,04/10/1845,0860,5081,[4/106],"and DICKSON, D",NRS 14363,
,DIGHT,(Messrs),Patricks Plains,Liverpool Plains,Coomah Namoi River,10/07/1839,0097,5068,[4/92],and HOWE,NRS 14363,
,DIGHT,(Messrs),Patricks Plains,Liverpool Plains,Namoi and McIntyre River,25/08/1843,0151,5075,[4/101],,NRS 14363,
,DIGHT,G,-,Liverpool Plains,Namoi,04/09/1844,0237,5077,[4/103],"and DIGHT, S",NRS 14363,
,DIGHT,G,Patricks Plains,Liverpool Plains,Namoi and McIntyre River,21/09/1841,0429,5072,[4/97],"and DIGHT, S B",NRS 14363,
,DIGHT,G,Patricks Plains,Liverpool Plains,Namoi and McIntyre Rivers,30/06/1840,0101,5069,[4/93],"and DIGHT, S B",NRS 14363,
,DIGHT,G (Mr),Liverpool Plains,Liverpool Plains,Namoi and McIntyre River,05/09/1842,0347,5073,[4/98],"and DIGHT, S B",NRS 14363,
,DIGHT,George,-,Liverpool Plains,Burall,10/10/1845,0936,5081,[4/106],,NRS 14363,
,DIGHT,H (Mrs),-,Liverpool Plains,Namoi,04/09/1844,0236,5077,[4/103],,NRS 14363,
,DIGHT,Hannah,Richmond,Liverpool Plains,Namoi and McIntyre River,21/09/1841,0428,5072,[4/97],,NRS 14363,
,DIGHT,Hannah,-,Liverpool Plains,Carrol and Yetman,10/10/1845,0937,5081,[4/106],,NRS 14363,
,DIGHT,Hannah,Richmond,Liverpool Plains,Namoi and McIntyre River,05/09/1842,0348,5073,[4/98],,NRS 14363,
,DIGHT,Hannah,Richmond,Liverpool Plains,Namoi and McIntyre River,25/08/1843,0152,5075,[4/101],,NRS 14363,
,DIGHT,Hannah,Richmond,Liverpool Plains,Namoi and McIntyre Rivers,30/06/1840,0100,5069,[4/93],,NRS 14363,
,DIGHT,Hannah,Richmond,Liverpool Plains,Carroll on the Namoi,06/07/1839,0072,5068,[4/92],,NRS 14363,
,DIGHT,Hannah,Richmond,Liverpool Plains,Northern,13/06/1838,0172,5067,[4/91],Other names mentioned: BOOTH,NRS 14363,
,DIGHT,John,Campbell Town,Murrumbidgee,"Murray River?, adjacent to Mounted Police",17/08/1839,0268,5068,[4/92],,NRS 14363,
,DIGHT,John,-,Murrumbidgee,Bungawannah,30/09/1844,0645,5078,[4/102],,NRS 14363,
,DIGHT,John,Melbourne,Murrumbidgee,-,02/07/1842,0090,5073,[4/98],"Licence ""Cancelled""",NRS 14363,
,DIGHT,John,Campbelltown,Hume River,South Western,30/06/1838,0278,5067,[4/91],,NRS 14363,
,DIGHT,John,Hume River,Murrumbidgee,Dights Station,29/06/1840,0073,5069,[4/93],,NRS 14363,
,DIGHT,John,Melbourne,Murrumbidgee,-,30/04/1842,0665,5071,[4/96],,NRS 14363,
,DIGHT,John,Melbourne,Murrumbidgee,-,29/06/1842,0064,5073,[4/98],,NRS 14363,
,DIGHT,John,Bungowama?,Murrumbidgee,Bungowama?,25/09/1843,0361,5075,[4/101],,NRS 14363,
,DIGHT,John,-,Murrumbidgee,Bungowannah,17/09/1845,0304,5079,[4/105],,NRS 14363,
,DIGHT,John,Richmond,Liverpool Plains,Northern,14/01/1837,0020,GvtG,,,NRS 14363,
,DIGHT,John (Junior),Campbell Town,-,Southern,06/03/1837,0275a,5067,[4/91],,NRS 14363,
,DIGHT,S,-,Liverpool Plains,Namoi,04/09/1844,0237,5077,[4/103],"and DIGHT, G",NRS 14363,
,DIGHT,S B,Patricks Plains,Liverpool Plains,Namoi and McIntyre River,21/09/1841,0429,5072,[4/97],"and DIGHT, G",NRS 14363,
,DIGHT,S B,Patricks Plains,Liverpool Plains,Namoi and McIntyre Rivers,30/06/1840,0101,5069,[4/93],"and DIGHT, G",NRS 14363,
,DIGHT,S B (Mr),Liverpool Plains,Liverpool Plains,Namoi and McIntyre River,05/09/1842,0347,5073,[4/98],"and DIGHT, G",NRS 14363,
,DINES,Richard,Kerrall,Liverpool Plains,Howes (Mr) (Station),02/07/1841,0118,5070,[4/95],Other names mentioned: HOWE (Station),NRS 14363,
,DINES,Richard,Kerrall,Liverpool Plains,William Howe's Station,27/08/1840,0302,5070,[4/94],"Other names mentioned: HOWE, William (Station)",NRS 14363,
,DITMAS,-,-,Darling Downs,Jerica?/Terica?,21/03/1846,1204,5081,[4/108],and TREVETHAN,NRS 14363,
,DITMAS,Philip,Port Macquarie,New England,Keddleston,06/07/1840,0145,5069,[4/93],,NRS 14363,
,DITMAS,Philip,Reddlestone,New England,Reddlestone,09/10/1843,0569,5076,[4/100],,NRS 14363,
,DITMAS,Philip,Port Macquarie,New England,Kiddeston,31/08/1842,0322,5073,[4/98],,NRS 14363,
,DITMAS,Philip,Port Macquarie,New England,Kiddleston,31/08/1842,0750,5071,[4/96],,NRS 14363,
,DITMAS,Phillip,-,New England,Clairvault,16/10/1845,0974,5081,[4/106],,NRS 14363,
,DIXON,-,Wallandhun,Murrumbidgee,Wallandhun,01/07/1839,0028,5068,[4/92],and MCDERMOTT and CO,NRS 14363,
,DIXON,Robert,Sydney,Moreton Bay,Burton Vale on the Albert River,12/01/1843,0672,5074,[4/99],,NRS 14363,
,DIXON,T,Sydney,Lachlan,Calabash Flat,13/07/1840,0151,5069,[4/93],"and MCDERMOTT, H",NRS 14363,
,DOBIE,John,Sydney,Clarence River,Clarence River,19/09/1844,0307,5077,[4/103],"Station details: ""Details of this licence same as previous licence""",NRS 14363,
,DOBIE,John,Sydney,Clarence River,Clarence River coming from the range of hills down to the 3rd fall on the Clarence River forming the Eastern boundary Mr Dobies sheep run to the junction of the Orrara and Clarence Rivers to the course of the Orrara River on its North Eastern,14/08/1843,0124,5075,[4/101],Other names mentioned: FOSTER (Station),NRS 14363,
,DOBIE,John,Sydney,Clarence River,Clarence River coming from the range of hills down to the 3rd fall on the Clarence River forming the Eastern boundary of Mr Dobie's sheep run to the junction of the Orrara River on its North Easte,06/08/1842,0220,5073,[4/98],Other names mentioned: FORSTER (Mrs) (Station),NRS 14363,
,DOBIE,John,Sydney,Port Macquarie,Clarence River coming from the range of hills down to the 3rd fall on the Clarence River forming the eastern boundary of Mr Dobie's sheep run to the junction of the Orrara River on its nort,01/09/1841,0369,5072,[4/97],Other names mentioned: FORSTER (Mr) (Station),NRS 14363,
,DOBIE,John,Sydney,New England,Big River (The),15/11/1839,0521,5069,[4/93],,NRS 14363,
,DOBIE,John,-,Clarence River,Stratheden,16/09/1845,0251,5079,[4/105],,NRS 14363,
,DOBIE,John,Sydney,Port Macquarie,Clarence River,27/07/1840,0200,5069,[4/93],,NRS 14363,
