SA Item,SG Map,Area,Firstname,Surname,Date,Description,Remarks
[5354],R.1794.d,Roads,J,Berry,24 Oct 1861,(County of Clarendon)Plan of the road from Wagga Wagga to Jewnee (Junee).Shows land in the immediate vicinity,
[2865],G.12.1481,Gold Field,J,Berry,26 Mar 1861,"Corowa Gold Field, County Hume, shows Corowa Inn on road Albury to Deniliquin",
[3091],H.4.974,Lord Howe Island,T,Berry,Dec 1880,Plan of portion No. 25 on Lord Howe Island applied for by Captain R Armstrong for Coffee Culture etc.,
[3092],H.5.974,Lord Howe Island,T,Berry,Nov 1880,Plan of portion of land No. 22 on Lord Howe Island applied for by Captain R Armstrong,
[3093],H.6.974,Lord Howe Island,T,Berry,Nov 1880,Plan of a portion of land No. 23 on Lord Howe Island proposed to be leased by H Wilson for cultivation purposes,
[3094],H.7.974,Lord Howe Island,T,Berry,Nov 1880,Plan of 2 portions of land Nos.14-15 on Lord Howe Island proposed to be leased by J Robbins for cultivation purposes,
[3095],H.8.974,Lord Howe Island,T,Berry,Nov 1880,"Plan of a portion of land No. 21 on Lord Howe Island, proposed to be leased by AJ Moseley for cultivation purposes",
[3096],H.9.974,Lord Howe Island,T,Berry,Nov 1880,Plan of a portion of land No. 20 on Lord Howe Island proposed to be leased by N Thompson for cultivation purposes,
[3097],H.10.974,Lord Howe Island,T,Berry,Nov 1880,Plan of a portion of land No. 19 on Lord Howe Island proposed to be leased by Campbell Stevens for residence & cultivation purposes,
[3098],H.11.974,Lord Howe Island,T,Berry,Nov 1880,Plan of a portion of land No. 17 on Lord Howe Island proposed to be leased by E King for cultivation purposes,
[3090],H.1.974,Lord Howe Island,T,Berry,21 Nov 1878,Plan of 12 portions on Lord Howe's Island proposed to be leased to occupants with locations.This plan now superseded by Ms.1445 Sy. Lands Department,
[2470],C.2208,Colombo,AC,Betts,1876,"Colombo Village site on Bemboka River, County Auckland, Road crossing Colombo Creek shown",
[5656],S.3.1267,Squatting District,H,Bingham,1846,Murrumbidgee Squatting District showing locations of stations.,
[2474],C.1a.2253,Couridjah,-,Binstead,1879,"Couridjah Village design.This design cancelled by C.1c.2253c by GH Sheaffe 22 Jun 1880, in Lands Department - Parish Couridjah, County Camden",
[3635],M.583f,Maitland,-,Birmingham,1855,Compilation of the town,
[4855],P.121.750,Parramatta,FBW,Birmingham,7 Jan 1856,"Plan of 22 allotments bounded by Albert, Brickfield, Isabella and Sorrell Streets, North Parramatta",
[4856],P.122.750,Parramatta,FBW,Birmingham,8 Mar 1856,Survey of Pennant Hills Road (Parramatta end).Shows the design for allotments,
[4857],P.124.750,Parramatta,FBW,Birmingham,7 Jul 1856,"Plan of 23 surveyed allotments, Parramatta North. Area bounded by Albert, Brickfield, Grose and Sorrell Streets",
[4858],P.126.750,Parramatta,FBW,Birmingham,7 Jul 1856,"Plan of 14 surveyed allotments on east side of Galloway Street, between Factory and Albert Streets, Parramatta North",
[5859],P.128.750,Parramatta,FBW,Birmingham,31 Jul 1856,"Plan of 15 surveyed allotments, North Parramatta, between Brickfield, Grose, Buller & Fennell Streets",
[4861],P.135.750,Parramatta,FBW,Birmingham,3 Apr 1857,Survey of the Police Paddock at Parramatta.Bounded on north by Western Road and east by Pitt Row,
[4862],P.136.750,Parramatta,FBW,Birmingham,3 Apr 1857,Proposed design for the subdivision of the Police Paddock at Parramatta,
[4863],P.138.750,Parramatta,FBW,Birmingham,26 Oct 1857,"Plan of an allotment, corner of Pennant Hills Road and Isabella Street, North Parramatta",
[4864],P.139.750,Parramatta,FBW,Birmingham,31 Oct 1857,"Survey of 13 allotments for sale as town lots, between Pennant Hills Road and Isabella and Sorrel Streets, North Parramatta",
[4865],P.143.750,Parramatta,FBW,Birmingham,3 Jun 1858,"Survey of allotment on north side of Parramatta River close to bridge, North Parramatta",
[4866],P.144.750,Parramatta,FBW,Birmingham,3 Jun 1858,"Survey of allotment in Macquarie Street, Parramatta South, applied for by James Hodison",
[4867],P.146.750,Parramatta,FBW,Birmingham,3 Jun 1858,"Survey of allotment, corner George and Charles Streets, applied for by H Harvey for W Byrne",
[4868],P.148.750,Parramatta,FBW,Birmingham,26 Jul 1858,"Survey of allotment, corner of Fennell and Brickfield Streets, Parramatta North, applied for by T Hobbs",
[5532],S.249.858,Sydney,FBW,Birmingham,7 Aug 1858,"Survey of 8 allotments (Allotment Nos.2, 3, 4, 5, 20, 21, 22 and 23) on Pitt Street (South) and Park Street, near the Haymarket",
[1515],B.3.1337,Binalong,-,Bishop,1860,"Mounted lithograph superseding B.2.1337. (Allotments 1, 2, 3, 4, sec.13 for Church of England.See letter 60.4013)",
[4622],N.1640d,Nimmitabel,-,Bishop,19 Jul 1858,Nimmitabel Town Design and Environs,
[2852],G.1539e,Grafton,-,Bishop,1860,Mounted lithograph superseding G.1.1359,
[2365],C.1590.c?,Casino,G,Bishop,May 1859,"Lithograph showing Town of Casino with parts of the Parishes of North and South Casino, Counties of Rous and Richmond",
[2416],C.1753.a,Crookwell,G,Bishop,1860,"Crookwell Town, Counties King and Georgiana.Cancelled by plans C.1753.b dated 1873",
[1198],A.1032.d,Argyle (County),G,Bishop,1862,"County of Argyle, compiled by George Bishop",
[4427],N.1085f,Northumberland (County),G,Bishop,Jul 1864,"Lithograph copy, County Northumberland, Scale 2 miles to an inch - with reference sheet; compiled by G Bishop, lithographed by J Taylor at the Surveyor General's Office, Jul 1864 (fair condition)",
[3825],M.991c,Mudgee,G,Bishop,Mar 1859,"Town and environs, County Wellington.Used as office map until cancelled by M.991d, Oct 1863",
[4426],N.1085e,Northumberland (County),-,Bishop (drawn by),1863,Compilation of the County of Northumberland at a scale of 2 miles to an inch,2 sheets
[3887],M2.1170,Monaro & Gippsland,-,Bland,1841,"Copy of M.1170 (SR Map No. 3884) on a reduced scale.Covers a smaller area and only shows details of the coast, rivers, creeks and some hilly country",
[1565],B.1786,Bowna,-,Bolton,28 Nov 1863,"Bowna village site, Parish Bowna, County Goulburn, on Bowna Creek",
[2437],C.1919.a,Currathool,-,Bolton,1880,Proposed design for Village of Currathool,
[2472],C.2209.a,Cargellico,-,Bolton,1878,Similar plan but shows design by Bolton to Surveyor General 16 Aug 1878,
[2477],C.2258,Coolamon,-,Bolton,1881,"Coolamon Village design tracing Parish Kindra, County Bourke - originally proposed to be Kindra",
[3286],K.2230,Kooroongal,-,Bolton,12 Dec 1877,"Design for Village, County Sturt",
[4248],M.285.1427,Murrumbidgee District,C,Bolton,1 May 1863,"Survey of Bungambrewatha Creek, County of Goulburn",
[2698],E.1914,Eurongilly,C,Bolton,24 Mar 1865,"Eurongilly site, County Clarendon by C Bolton 24 Mar 1865 shows mining claims and design",
[2479],C.2293,Currathool West,C,Bolton,1882,Currathool West Village design at Railway Station called Carrathool extending south to Murrumbidgee River,
[3172],I.2324a,Ivanhoe,C,Bolton,13 Oct 1884,"Ivanhoe tracing design; Parish Ivanhoe, County Mossgeil",
[3465],L.40.1422,Lachlan District,C,Bolton,24 Mar 1865,"Plan of features in vicinity of Eurongilly, County Clarendon, and road to Billibung Creek",
[3173],I.2324.a,Ivanhoe,C,Bolton,Oct 1884,Design for the Village of Ivanhoe (tracing),
[4365],M.2459,Mandamah,C,Bolton,24 Mar 1884,"Village design, tracing, Parish Mandamah, County Bourke",
[2933],G.2309,Grong Grong,CF,Bolton,1884,"Grong Grong, Parishes Berembed & Lupton, County Bourke.Village design",
[2010],G.2011,Gerogery,E,Bolton,30 Jun 1868,"Gerogery, Parish Gerogery, County Goulburn.Village site and design",1 of 2 plans
[2011],G.2011,Gerogery,E,Bolton,30 Jun 1868,"Gerogery, Parish Gerogery, County Goulburn.Village site and design",2 of 2 plans
[2480],C.2293,Currathool West,-,Bottom,Oct 1882,"Proposed Reserve for pasturage in connection with the Village of Currathool-West, County of Sturt",
[5980],W.1191,Wilton,J,Bourke,1842,"Wilton town design at East Bargo or Allens Creek, County Camden",1 of 2 plans
[5981],W.1191,Wilton,J,Bourke,1842,"Wilton town design at East Bargo or Allens Creek, County Camden",2 of 2 plans
[5146],R.15.902,Roads,F,Boyle,Oct 1856,"(Parish of St George)Plan of an intended new line of road leading from the south-western boundary of Laycock's property to the Salt-pan Creek, Parish of St George. Shows cross sections of abridge and two culverts over creeks",
[5560],S.40.707 (1),Sydney Streets,E,Bradridge,7 Dec 1871,Plan showing proposed extension of Cleveland Street,
[5591],S.100.907,Sydney Streets,T,Bradridge,9 Aug 1871,"Plan of Victoria Street South, from George Street to Quay Street. Laid before the Executive Council 12 Sep 1871",
[SZ456],S.2.690,-,M,Bradshaw,Sep 1830,"Rough chart of Cockburn Sound, west coast of New Holland surveyed by Manser Bradshaw, Master RN, with sailing directions for entering via Challenger passage. Scale 40 chains to an inch",
[2686],E.1204.a.,Eden,-,Bransby,1855,"Eden, at Twofold Bay by Bransby, 1855",
[6042],W.1610,Wyndham,-,Bransby,10 Mar 1856,"Wyndham Village site & design on Stock yard Reserve, County Auckland.Originally proposed as ""Martagnah"", for the greater part of this village see W.2.1610, & A.1970.2098 in the Lands Department",
[3787],M.111.831,Monaro/Murrumbidgee,-,Bransby,Aug 1856,"Road through allotments near Eden (from Parkinson's survey of 27 Sep 1850, plan E.2.1205), Lake Curalo, County Auckland",
[3803],M.303.831,Monaro/Murrumbidgee,-,Bransby,"Apr 1862, Dec 1861","Plans of Bemboka River & tributaries i.e. Sandy & Sheep Station Creek - to Tantawangalo County Auckland (M.304.831), 22 Apr 1862.Also Polack's Flat Crek, Nimmitybell Flat, Colombo Creek & Station, Brown Mountain, Hut Station, Three Mile Flat Station, Be",1 of 2
[3804],M.304.831,Monaro/Murrumbidgee,-,Bransby,"Apr 1862, Dec 1861","Plans of Bemboka River & tributaries i.e. Sandy & Sheep Station Creek - to Tantawangalo County Auckland (M.304.831), 22 Apr 1862.Also Polack's Flat Crek, Nimmitybell Flat, Colombo Creek & Station, Brown Mountain, Hut Station, Three Mile Flat Station, Be",2 of 2
[5322],R.1585,Road,-,Bransby,1855,"Plan of road through portions Parish Pambula, County Auckland showing several roads.Cancelled by R.696.1603 and see R.1666.1603 in the Lands Department",
[5325],R.1c.1585,Roads (Monaro),RGS,Bransby,1857,Tracing showing a portion of the road from Eden to Monaro passing through farms to the west of Panbula,
[5351],R.2.1784,Road,S,Bransby,1861,Road to Towamba River and Perico Creek - County Auckland,
[5351],R.2.1784,Road,S,Bransby,1861,Plan of road Towamba River to Perico Creek - County Auckland,
[5727],S.1706,Sturt,S,Bransby,23 Feb 1856,Sturt - design of Village on Towamba Reserve - Towamba Station house on site,
[5663],S.9.1267,Squatting District,-,Brindley,1848,"Squatting District Features.Compilation Wellington Pastoral District between Lachlan River and Macquarie River, with stations",
[5666],S.12.1267,Squatting District,-,Brindley,1847,Squatting District Features.Compilation map of Lachlan and Murrumbidgee Squatting Districts between Yass and Lachlan and Murray or Hume Rivers - includes stations and reserves,
[2034],C.227.730,Church Lands,-,Brindley,Dec 1845,"(Campbelltown)Survey of site of Wesleyan School and Minister's Residence, Campbelltown",
[5986],W.1251,Willoughby,-,Brindley,1844,Parish of Willoughby,
[3380],L.2.1187,Larbert,-,Brindley,1842,Approved Plan of Larbert Village (proposed as Kurraduckbidgee). Used as office map until withdrawn 28 Jun 1888,
[1485],B.1293,Brisbane Water,-,Brindley,1846,Compilation map of the environs of Brisbane Water,
[5626],S.1195,Sydney,-,Brindley,1842,"Map of Sydney and division into Municipal Wards (2 maps, one in pencil - important buildings shown)",2 of 2
[3258],K.1.1217,Kiola,-,Brindley,1843,Copy of K.1217 approved by Council,
[3110],H.1126a,Huskisson,-,Brindley,16 Nov 1840,"Huskisson Town plan, County St Vincent at Jervis Bay",
[1424],B.8.793,Bathurst,-,Brindley,1846,Compilation map of town,
[5636],S.4.1261,Sydney,-,Brindley,1845,Sames as S.3.1261?,
[5625],S.1195,Sydney,-,Brindley,1842,"Map of Sydney and division into Municipal Wards (2 maps, one in pencil - important buildings shown)",1 of 2
[1444],B.985.b,Broulee,-,Brindley,1839,"Deposit plan in C.S.O., returned to Surveyor General by Colonial Secretary Letter 44/413",
[5985],W.1241A,Wingham,-,Brindley,Sep 1843,"Wingham Town, County Macquarie",
[1452],B.1051.c,Braidwood,J,Brindley,Jan 1840,Design plan.Surveyor:John Brindley (draftsman),
[5273],R.1220b,Rydal,R,Brindley,1843,Rydal Village design on Solitary Creek - Bathurst Road - to Colonial Secretary by TL Mitchell Mar 1843. Ford's Inn shown and Victoria Inn to north,
[5854],U.983b,Ulladulla,R,Brindley (copier),20 Sep 1839,Ulladulla design as approved Aug 1837,
[1445],B.4.1041,Bowning,-,Brindley (draftsman),May 1841,"Flat Bowning Village, County Harden plan as approved by Executive Council.Used as office map until withdrawn, Jul 29 1901.",
[3884],M.1170,Monaro & Gippsland,R,Brindley (draftsman),Aug 1841,Plan of the County of Moniera (sic) and Gippsland compiled from Ryrie's work by Robert Brindley,
[3418],L.29.1307,Liverpool Plains,-,Broomfield,12 Jul 1851,"Survey Brigalow Creek and other Creeks rising in Warrabangle (Warrumbungle). Pastoral stations along all creeks shown, Co White",
[3432],L.43.1307,Liverpool Plains,-,Broomfield,12 Jan 1852,"Plan Muluerinda and tributaries from Peel River, with stations, including Parnell's ""Tulcumbah"" and Borah",
[3617],M.388,Manning River,-,Brown,1827?,Copy by Brown from Armstrong,
[2981],H.365,Hunter River,-,Brown,nd,"Finished Plan of Hunter River, Port Stephens. Showing Parishes and land holdings inland to Ravensworth",
[6140],Y.954.d,Yass,-,Browning,nd,Lithograph of part Yass,2 of 2 plans
[6139],Y.954.d,Yass,-,Browning,nd,Lithograph of part Yass,1 of 2 plans
[2317],C.5.1273,(Counties),-,Brownrigg,1851,"Skeleton map of newly proclaimed counties - Auckland, Dampier, Wellesley, Wallace, Beresford, Cowley and Buccleuch",
[4757],P.7.574,Port Jackson,JM,Brownrigg,1840,Plan of the harbour of Port Jackson and the Parramatta River,
[4803],P.714.g,Parramatta,W,Brownrigg,nd,Lithographic Plan of the Town of Parramatta and adjacent properties,"(originally 4 sheets, only 1 sheet held)"
[3485],L.11.1634,Lithographs,WM,Brownrigg,nd,"Plan Birch Grove Estate, Balmain (private sub-division). Birch Grove House in Louisa Street and boat house shown",
[4666],N.2314,Nana,-,Burgess,1883,Preliminary survey showing features of village of Nana,
[6110],W.2039c,Woodburn,-,Burgess,1884,Preliminary survey for design for further sub-divisions,2 of 2
[6109],W.2039b,Woodburn,-,Burgess,1884,Preliminary survey for design for further sub-divisions,1 of 2
[5852],T.2301,Tucabia,James,Burgess,18/26 Aug 1882,"Tucabia village site and design at Long Point, Parish Coldstream, County Clarence.",
[1796],C.10.649,Cataract River,-,Burke,Jun 1842,Survey of country about Cataract River and road from Rixons Inn towards Wollongong,
[5288],R.1239,Roads (Illawarra),J,Burke,9 Oct 1843,"Plan showing the line of road for the use of the Parish of Dapto, Illawarra",
[1991],C.179.730,Church Lands (Kiama),JS,Burke,Sep 1843,"Survey of 1 acre of the Presbyterian Burial Ground, near Kiama",
[5086],R.6.818,Roads (Illawarra),L,Burke,31 Jul 1843,Survey of part of the proposed road from Dapto to Berrima.Shows from Dapto to Sugar Loaf,
[2872],G.19.1481,Gold Diggings (Gulgong),AJ,Burnell,1872,Plan of part of the Gulgong Gold Field.Map also shows land and town holdings,
[5869],V.611e,St Vincent (County),-,Burnett,nd,Unfinished Plan of the County of St Vincent,
[4886],P.9.805,Parry (County),-,Burnett,14 May 1842,Survey Dividing Range,2 of 2
[4887],P.10.805,Parry (County),-,Burnett,20 Oct 1842,Survey Dividing Range,1 of 2
[3836],M.101.1076,Moreton Bay,-,Burnett,31 Jan 1851,Plan of principal heads of River Severn (or Dumaresq) and Quart Pot Creek with some sheep stations shown.Plans M.100.1076 and M.101.1076 are in what is now Queensland north of the Counties Arrawatta & Clive,
[4891],P.14-.17a.805,Parry (County),-,Burnett,20 Dec 1842,Dividing Range,1 of 6
[4885],P.8.805,Parry (County),-,Burnett,14 May 1842,Survey Dividing Range,1 of 2
[4893],P.14-.17a.805,Parry (County),-,Burnett,,Dividing Range,3 of 6
[4888],P.11.805,Parry (County),-,Burnett,20 Oct 1842,Survey Dividing Range,2 of 2
[4894],P.14-.17a.805,Parry (County),-,Burnett,,Dividing Range,4 of 6
[4895],P.14-.17a.805,Parry (County),-,Burnett,,Dividing Range,5 of 6
[4892],P.14-.17a.805,Parry (County),-,Burnett,20 Dec 1842,Dividing Range,2 of 6
[4896],P.14-.17a.805,Parry (County),-,Burnett,,Dividing Range,6 of 6
[3248],K.2.990,Kiama,-,Burnett,10 Dec 1838,"Design plan.Existing location shown.Town reserve.Government cottage, Smith's other locations shown",
[5290],R.2.1246,Richmond River,-,Burnett,1843,Richmond River (sheet 2),
[5291],R.3.1246,Richmond River,-,Burnett,1843,Richmond River (sheet 3),
[5292],R.4.1246,Richmond River,-,Burnett,1844,Richmond River (sheet 4),
[5293],R.5.1246,Richmond River,-,Burnett,1845,"Richmond River ""called by natives at mouth Bul-loona""",
[2530],D.1.1315,Darling Downs,-,Burnett,1848,Sketch Darling Downs,
[3877],M.9.1151,Moreton Bay,-,Burnett,5 Jul 1845,Coastline between Richmond River and Evans Creek,
[3878],M.10.1151,Moreton Bay,-,Burnett,5 Jul 1845,Coastline Evans Creek to Clarence River,
[5217],R.1059,Road,J,Burnett,1839,Plan proposed road Kiama to Minnamurra Rivulet and roads in use,
[3834],M.99.1076,Moreton Bay,JC,Burnett,31 Jan 1851,"Plan of River Severn (part), shows Heatherington's ""Banshaa"", Kangar's ""Maidenhead"" and Ekins Flat Stations, County Arrawatta",
[3835],M.100.1076,Moreton Bay,JC,Burnett,31 Jan 1851,"Plan of part River Severn (now Dumaresq) and Pike's Creek, also shows Morgan's Mingoola near the Mole, Macleod's Station, Wright's Glenlion on Pike's Creek & Captain Pike's Pikedale Station & Mackenzie's Nundubbimyre (?) Station",
[1953],C.132.730,Church Lands,JC,Burnett,Jul 1841,"(Wollongong)Survey ofthe Roman Catholic Burial Ground, Wollongong",
[2311],C.1233,Camden & Cumberland,JC,Burnett,1840,Original plots (very faint),
[3154],I.6a.672,Illawarra Farms,JC,Burnett,Nov 1841,"Survey of the lines of Alexander Berry's grant of 2, 000 acres at Shoalhaven, of Hamilton Hume's 1,200 acres & a portion of land forsale. Also 200 acres surrendered by Mr Berry to the Crown",
[5227],R.1094,Roads (Dapto),JC,Burnett,29 Jan 1840,Plan of the road near Mullet Creek showing the proposed alteration of the line,
[5289],R.1.1246,Richmond River,JC,Burnett,1843,"Survey of heads of Coreela and Pinnacle Creeks and Richmond River.Mount Lindesay (Tullgulboon), Mount Barney, Mount Clunie (Callyugaidoona) Wilson's Peak and Coonumcully, St Elliots shown on plan",
[3109],H.1126,Huskisson,JC,Burnett,31 Oct 1840,Huskisson Village township Reserve at Jervis Bay,
[5084],R.4.818,Road,JC,Burnett,1840,Plan of part of road Wollongong to Appin from top of mountain (Elliott's survey) to Stringybark Brush (site Rixon's 2 acres for inn) - County Camden,
[5085],R.5.818,Road,JC,Burnett,1841,Survey of new line of road to Illawarra and existing roads.County Camden from Cataract River etc.southerly,
[1937],C.122.730,Church Lands,JC,Burnett,Dec 1840,"(Wollongong)Survey of Protestant Burial Ground, town of Wollongong",
[4270],M.1587a,Moonbi,-,Burningham,1855,"Copy of M.1587, for approval",
[5689],S.3.1292,Sydney,-,Burrowes,19 Nov 1850,"Survey Lachlan Swamps or Water Reserve now Centennial Park, and parts Waverly - Land Holders",
[4920],P.1543,Pyrmont,-,Burrowes,31 Jan 1854,Plan copy showing sub-division at Pyrmont - Jones and Elizabeth Bays,
[4922],P.1.1543,Pyrmont,-,Burrowes,14 Feb 1854,Pyrmont at Jones' Bay and adjoining land,
[5640],S.8.1261,Sydney,-,Burrowes,31 Jan 1854,Sketch showing proposed new wharf - Lime Street Darling Harbour,
[5642],S.10a.1261,Sydney,-,Burrowes,4 May 1855,Copy of above.,
[2296],C.1179,Clarence River,-,Burrowes,1842,Plan of Upper Clarence River from near Orara River - Parish Copmanhurst,
[5650],S.4.1264,Sydney,-,Burrowes,18 Jun 1855,Plan of west part Circular Quay - buildings shown (no survey details),
[2097],C.309a.730,Church Lands (Dungog),EL,Burrowes,May 1848,Plan showing the relative positions of the Cemetery and Village of Dungog,
[2179],C.468.730,Church Lands (Prospect),EL,Burrowes,Jul 1851,"Plan showing sites for Roman Catholic Church, Parsonage and School, Prospect",
[2180],C.469.730,Church Lands (Petersham),EL,Burrowes,Aug 1851,"Plan of site of Episcopal Residence for the Lord Bishop of Sydney, Parish of Petersham.Annotations show land grant to the University of Sydney 1865",
[4964],Q.11.1301,Sydney (Quit Rent),EL,Burrowes,16 Sep 1852,"Plan of part of allotment in Elizabeth Street Sydney, originally granted to John Mackaness, on which Messrs Morehead & Young wished to redeem the quit rent",
[5648],S.1264 (2),Sydney Cove,EL,Burrowes,nd,"Plan showing the boundaries of the Circular Quay. Shows buildings, allotments and streets.Similar to S.3.1264",
[5649],S.3.1264,Sydney Cove,EL,Burrowes,22 Oct 1851,Plan showing the boundaries of the Circular Quay.Similar to S.1264 (2),
[4845],P.99.750,Parramatta,EL,Burrowes,15 Dec 1850,"Survey of allotments applied for by J Stow, between O'Connell and Galloway Streets, Parramatta North",
[4846],P.101.750,Parramatta,EL,Burrowes,28 Jun 1851,"Survey of allotments applied for by William Liversidge, Early Street, Parramatta South",
[4847],P.103.750,Parramatta,EL,Burrowes,26 Apr 1853,"Survey of allotments applied for by EH Stratham, bounded by Factory, Fleet, Albert and Cardwell Streets, North Parramatta.The Site of Female Factory also shown",
[4848],P.105.750,Parramatta,EL,Burrowes,25 Apr 1853,"Plan of allotments applied for by Mrs Elliott, Albert Street, Parramatta North",
[4849],P.108.750,Parramatta,EL,Burrowes,9 May 1853,"Plan of allotments applied for by S Arundale, bounded by Harold, Villiers and Fennell Streets and Duck Lane, Parramatta North",
[2252],C.3.1120,Clarence River,EL,Burrowes,Mar 1842,Plan of 5 acres of land on the North Bank of the Clarence Riverat Great Marlow,
[4850],P.111.750,Parramatta,EL,Burrowes,15 Apr 1853,"Plan of land authorised as a training ground for children of the Roman Catholic Orphan School, Fleet Street, Parramatta North.Shown also are site of Female Factory & part of Industrial School for Females",
[5563],S.45.907,Sydney Streets,EL,Burrowes,2 May 1851,"Plan of a proposed road (""Bomerang Road"") leading from junction of College & Wooloomooloo Sts to intersection of William & Yurong Sts, showing the longitudinal section of ground along centre of the proposed line. Laid before Executive Council 31 July,1851",
[2114],C.339.730,Church Lands,EL,Burrowes,Apr 1849,"(Watson's Bay) Plan of land as sites for Roman Catholic Church, School and Parsonage, Watson's Bay",
[5564],S.47.907,Sydney Streets,EL,Burrowes,26 Jun 1852,Plan showing the proposed alignment of Gresham Street and also the portion of Street to be resumed as part of the site for an Exchange,
[2116],C.342.730,Church Lands,EL,Burrowes,May 1849,"(Murrurundi) Sketch showing sites for a Church of England Church, Parsonage and School, Village of Murrurundi",
[4854],P.120.750,Parramatta,EL,Burrowes,16 Feb 1855,"Plan of allotment applied for by GB Suttor, corner of Albertand Galloway Streets, Parramatta North",
[5567A],S.53.907,Sydney Streets,EL,Burrowes,20 Jun 1857,Plan for the alignment of the proposed easterly extension of Argyle Street from George Street to the Circular Quay.Laid before the Executive Council 5 Oct 1857,
[2193],C.485.730,Church Lands (Sydney),EL,Burrowes,Mar 1852,"Survey of Allotments as site for Mariner's Church, Parish of St James",
[5567B],(To be kept with S.53.907),Sydney Streets,EL,Burrowes,4 Sep 1857,Longitudinal and cross sections of the proposed easterly extension of Argyle Street.Laid before the Executive Council 5 Oct 1857,
[5313],R.1.1401,Roads,EL,Burrowes,28 Nov 1850,"(County of Cumberland)Survey of a line of road leading from the intersection of the Old Point Piper and the Old South Head Roads into the present road leading to Mudbank Botany, together with a sketch of the ground immediately around it",
[2121],C.348.730,Church Lands,EL,Burrowes,Jun 1849,"(Clarence Town)Plan of sites for a Church of England Church, School and Parsonage, at Clarence Town",
[5314],R.3.1401,Roads (County of Cumberland),EL,Burrowes,4 Jan 1855,"Plan showing the proposed line of road 1 chain wide from the junction of the Rushcutter's Bay Rd with the Bellevue Rd to the Beach at Bondi Bay. Shows grants & reserves in the immediate vicinity, & the layout of the Village of Anglesey.",
[2122],C.349.730,Church Lands (Seaham),EL,Burrowes,Jun 1849,"Plans of sites for a Wesleyan Church, School and Parsonage, Seaham",
[2528],D.3.1240,Driftway (Pennant Hills),EL,Burrowes,Oct 1853,Plan showing the portion of the Driftway at Pennant Hills in the illegal occupation of S Ogden formerly Leekin,
[5317],R.3.1418,Railway,EL,Burrowes,29 Nov 1850,"Plan of three portions of Land authorised to be appropriated for Railway purposes, in the City of Sydney, Parish of St Lawrence",
[2123],C.350.730,Church Lands (Dungog),EL,Burrowes,Jun 1849,"Plan of site of Wesleyan Parsonage, Dungog",
[2529],D.4.1240,Driftway (Pennant Hills),EL,Burrowes,Mar 1854,Tracing showing the portion in the illegal occupation of John Douglass,
[4860],P.133.750,Parramatta,EL,Burrowes,16 Dec 1856,"Plan of allotment, corner of Marsden and Hunter Streets, Parramatta South, applied for by J McManus",
[5511],S.183.858,Sydney,EL,Burrowes,10 Nov 1850,Plan of the site of Mechanics School of Arts in George Street,
[2124],C.351.730,Church Lands (Tyraman),EL,Burrowes,Jun 1849,Plan of site for Presbyterian Church at Tyraman,
[2628],D.1628,Darling Harbour,EL,Burrowes,Oct 1865,Plan of the Head of Darling Harbour.Shows Port Jackson from Miller's Point to the Heads,
[2201],C.492.730,Church Lands (Petersham),EL,Burrowes,Aug 1852,"Survey of land for Roman Catholic Church, School and Residence, Parish of Petersham",
[2126],C.361a.730,Church Lands (Sydney),EL,Burrowes,Jul 1851,"Survey of land as an addition to a site for Hebrew Grammar School, Parish of St Philip, Sydney",
[5697],S.1451,Sydney,EL,Burrowes,8 Mar 1851,Plan of a part of Wooloomooloo Bay showing the encroachments below high water mark,
[5515],S.193.858,Sydney,EL,Burrowes,24 Sep 1851,"Plan of allotment appropriated as a site for a Commercial Exchange, bounded by Macquarie Place, Castlereagh and Bridge Streets",
[5701],S.4.1451,Sydney,EL,Burrowes,27 Jul 1854,Plan showing the proposed direction in which certain allotments at Wooloomooloo may be extended into the waters of the bay,
[2145],C.395.730,Church Lands,EL,Burrowes,Mar 1850,"(Upper Picton) Plan of site of Church of England Burial Ground, Village of Upper Picton",
[5517],S.198.858,Sydney,EL,Burrowes,26 Apr 1852,"Plan of three allotments appropriated as a site for a Watch House, and for Police purposes, corner of New George and Devonshire Streets",
[2147],C.400.730,Church Lands,EL,Burrowes,Apr 1850,"(Parramatta)Survey of land as an addition to the site for a Presbyterian School, Parish of St John, Parramatta",
[5519],S.201.858,Sydney,EL,Burrowes,7 May 1852,"Survey of Town Allotments - Section 106, Allotment No.1a in Phillip Street at Circular Quay (George Clarke)",
[2132],C.374.730,Church Lands (Kiama),EL,Burrowes,Nov 1849,"Survey showing site of Wesleyan Parsonage and School, Kiama",
[5520],S.205.858,Sydney,EL,Burrowes,21 Oct 1852,Plan of land reclaimed from Darling Harbour by Thomas Barker,
[5521],S.210.858,Sydney,EL,Burrowes,22 Aug 1853,Survey of land to be surrendered by Messrs Moreland and Young for the prolongation of Pitt Street,
[2135],C.377.730,Church Lands,EL,Burrowes,Dec 1849,"(Upper Picton)Plan of Allotments as site for Wesleyan Chapel, School and Parsonage, Village of Upper Picton",
[5523],S.222.858,Sydney,EL,Burrowes,20 Jul 1854,"Sketch showing portion of ground to be purchased from Rawach Brothersby the Crown, and required for continuation of Pitt Street",
[5123],R.2.889,Road (Cook's River),EL,Burrowes,10 Sep 1850,"Plan of marked road from Dam at Cook's River to Rocky Point, George's River allotments",
[5526],S.229.858,Sydney,EL,Burrowes,6 Dec 1854,Survey of site for boathouse for the Customs' Department at Dawes' Point,
